eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,563,286,59,311,145,63,68,39,5,4,1
PAST,204,90,171,18,78,11,5,14,0,1,0
PRES PART,73,51,51,21,32,10,0,5,2,1,0
PRES PROG,35,21,16,45,19,16,15,18,0,0,0
PRES ~ PRES PART,59,25,13,16,9,9,6,7,0,0,0
FUT,33,12,6,26,41,2,10,2,0,0,0
PAST PROG,19,12,66,0,21,1,1,4,0,0,0
PRES ~ PRES PROG,37,8,7,23,18,10,10,9,0,0,1
PAST ~ PAST PROG,22,11,53,1,12,2,0,1,0,0,0
PAST ~ PRES PART,42,12,30,1,7,1,0,1,0,0,0
PAST ~ PRES,24,11,2,7,11,4,1,1,0,0,0
FUT ~ PRES,10,7,6,4,14,6,4,2,0,0,0
FUT ~ MOD shall,11,9,7,12,4,8,0,0,0,0,0
PRES ~ PRES PERF,11,9,1,8,8,2,4,4,0,0,0
PRES PERF,18,4,3,5,5,3,3,2,0,0,0
TO INF,10,5,4,10,8,3,0,3,0,0,0
PAST PERF,7,1,24,0,8,0,0,3,0,0,0
PAST PROG ~ PRES PART,9,5,22,1,1,0,0,1,0,0,0
FUT ~ FUT going-to,9,2,2,5,12,0,3,1,0,0,1
PAST ~ PRES PERF,13,1,0,2,7,4,2,1,0,1,0
FUT ~ PRES PROG,9,3,0,6,6,2,4,1,0,0,0
PRES PART ~ PRES PROG,6,2,4,6,4,2,2,3,0,1,0
PAST ~ PAST PERF,7,1,12,0,4,0,0,2,0,0,0
PAST ~ TO INF,2,6,3,1,4,0,0,0,0,0,0
FUT ~ TO INF,2,1,0,2,1,6,0,0,0,0,0
MOD may ~ PRES,3,1,3,4,0,0,0,0,1,0,0
MOD could ~ PAST,5,2,3,0,1,0,0,0,0,0,0
FUT going-to ~ PRES PROG,2,0,1,2,5,0,1,0,0,0,0
FUT going-to ~ PRES,3,0,1,4,3,0,0,0,0,0,0
PRES ~ TO INF,4,3,0,2,0,0,0,0,0,0,1
FUT ~ PRES PART,0,4,0,4,0,1,0,0,0,0,0
PRES PART ~ TO INF,2,2,3,0,2,0,0,0,0,0,0
IMPV ~ PRES,4,0,2,0,0,0,1,1,0,0,0
MOD can ~ PRES,3,0,1,2,1,0,0,0,0,0,0
MOD could,3,0,1,2,1,0,0,0,0,0,0
MOD is to ~ PRES,0,1,0,1,0,3,2,0,0,0,0
PRES PERF ~ PRES PROG,2,1,0,1,1,0,1,0,0,0,0
IMPV,1,0,0,0,1,0,1,2,0,0,0
MOD shall ~ PRES,2,0,0,2,0,0,1,0,0,0,0
PAST PERF ~ PAST PROG,0,1,1,0,3,0,0,0,0,0,0
MOD can,3,1,0,0,0,0,1,0,0,0,0
MOD should,0,0,2,1,1,0,0,1,0,0,0
FUT going-to ~ MOD shall,0,1,0,0,0,0,3,0,0,0,0
MOD would,2,0,0,1,1,0,0,0,0,0,0
MOD would ~ PRES,1,0,0,0,0,1,0,2,0,0,0
MOD would ~ PAST,1,1,1,0,0,0,0,1,0,0,0
PAST ~ PRES PROG,0,0,0,2,1,1,0,0,0,0,0
MOD is to ~ MOD shall,3,0,0,0,0,0,1,0,0,0,0
PAST ~ PAST PERF PROG,2,0,2,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,2,0,1,0,0,1,0,0,0,0,0
PRES PERF PROG ~ PRES PROG,1,0,0,0,2,0,1,0,0,0,0
FUT ~ MOD must,0,1,1,1,0,0,1,0,0,0,0
IMPV ~ MOD may,0,1,3,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,1,0,0,0,0,2,0,0,0,0,0
FUT ~ MOD is to,0,0,0,2,0,0,1,0,0,0,0
MOD should ~ TO INF,0,1,1,1,0,0,0,0,0,0,0
PRES ~ PRES PERF PROG,1,0,0,1,0,0,1,0,0,0,0
MOD should ~ MOD would,0,1,1,0,0,1,0,0,0,0,0
MOD shall ~ TO INF,0,0,0,1,0,2,0,0,0,0,0
PRES PERF PROG,0,0,0,2,1,0,0,0,0,0,0
MOD may,1,0,0,0,0,0,0,1,1,0,0
MOD can ~ TO INF,1,0,0,1,1,0,0,0,0,0,0
PRES PART ~ PRES PERF,1,0,0,0,1,0,1,0,0,0,0
MOD is to,1,0,0,0,0,0,0,1,1,0,0
MOD was to ~ PAST,2,0,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,0,0,3,0,0,0,0,0,0,0
MOD let ~ PRES,1,1,0,1,0,0,0,0,0,0,0
MOD was to ~ PAST PROG,1,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES PART,1,0,0,0,0,1,0,0,0,0,0
PAST PERF ~ PAST PERF PROG,0,0,1,0,1,0,0,0,0,0,0
PAST PERF ~ PRES,2,0,0,0,0,0,0,0,0,0,0
MOD was to ~ TO INF,0,1,1,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,0,0,1,0,1,0,0,0,0,0,0
PAST PERF PROG ~ PAST PROG,0,0,2,0,0,0,0,0,0,0,0
MOD may ~ PAST,0,1,0,1,0,0,0,0,0,0,0
MOD must ~ PRES,1,0,1,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,0,0,2,0,0,0,0,0,0,0,0
MOD may ~ TO INF,0,0,0,0,0,0,0,0,2,0,0
PRES ~ PRES PROG keep,1,1,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,0,0,0,0,0,2,0,0,0,0,0
MOD can ~ PRES PART,0,1,0,0,1,0,0,0,0,0,0
PRES PROG ~ TO INF,0,1,0,0,1,0,0,0,0,0,0
FUT ~ PAST PROG,2,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,1,1,0,0,0,0,0,0,0,0,0
MOD let,0,0,0,0,1,0,0,0,1,0,0
PAST ~ VB,0,0,0,0,1,0,0,0,0,0,0
PRES PART ~ PRES PERF PROG,0,0,0,0,0,1,0,0,0,0,0
PAST PROG ~ TO INF,0,0,0,0,1,0,0,0,0,0,0
PRES PERF ~ PRES PERF PROG,0,0,0,0,0,0,0,1,0,0,0
PRES PERF ~ TO INF,1,0,0,0,0,0,0,0,0,0,0
PRES PROG ~ PRES PROG keep,1,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,0,0,0,0,1,0,0,0,0,0,0
MOD would ~ PRES PROG,0,0,0,0,1,0,0,0,0,0,0
HAB used to ~ PAST,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD would,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,0,0,0,0,0,1,0,0,0,0,0
IMPV ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,0,0,0,0,1,0,0,0,0,0,0
HAB used to ~ PAST PERF,0,0,1,0,0,0,0,0,0,0,0
FUT ~ VB,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PERF,0,0,0,0,0,0,0,0,0,1,0
FUT ~ PAST,0,0,0,0,0,0,0,0,1,0,0
FUT ~ MOD would,0,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD can,0,0,0,1,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,0,0,0,0,0,1,0,0,0,0
FUT going-to ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,0,0,0,0,0,0,0,0,1,0,0
MOD may ~ PRES PART,0,0,0,1,0,0,0,0,0,0,0
MOD might,0,0,0,0,0,0,0,1,0,0,0
MOD must,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,0,0,1,0,0,0,0,0,0,0,0
MOD need not ~ TO INF,0,0,0,1,0,0,0,0,0,0,0
MOD shall,0,0,0,0,1,0,0,0,0,0,0
MOD shall ~ PAST,0,1,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0
