eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,2.74,5.4,26.17,4.96,10.65,24.51,22.71,39.59,308.8,386.0,1544.0
PAST,2.9,6.58,3.46,32.89,7.59,53.82,118.4,42.29,inf,592.0,inf
PRES PART,3.37,4.82,4.82,11.71,7.69,24.6,inf,49.2,123.0,246.0,inf
PRES PROG,5.29,8.81,11.56,4.11,9.74,11.56,12.33,10.28,inf,inf,inf
PRES ~ PRES PART,2.44,5.76,11.08,9.0,16.0,16.0,24.0,20.57,inf,inf,inf
FUT,4.0,11.0,22.0,5.08,3.22,66.0,13.2,66.0,inf,inf,inf
PAST PROG,6.53,10.33,1.88,inf,5.9,124.0,124.0,31.0,inf,inf,inf
PRES ~ PRES PROG,3.32,15.37,17.57,5.35,6.83,12.3,12.3,13.67,inf,inf,123.0
PAST ~ PAST PROG,4.64,9.27,1.92,102.0,8.5,51.0,inf,102.0,inf,inf,inf
PAST ~ PRES PART,2.24,7.83,3.13,94.0,13.43,94.0,inf,94.0,inf,inf,inf
PAST ~ PRES,2.54,5.55,30.5,8.71,5.55,15.25,61.0,61.0,inf,inf,inf
FUT ~ PRES,5.3,7.57,8.83,13.25,3.79,8.83,13.25,26.5,inf,inf,inf
FUT ~ MOD shall,4.64,5.67,7.29,4.25,12.75,6.38,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.27,5.22,47.0,5.88,5.88,23.5,11.75,11.75,inf,inf,inf
PRES PERF,2.39,10.75,14.33,8.6,8.6,14.33,14.33,21.5,inf,inf,inf
TO INF,4.3,8.6,10.75,4.3,5.38,14.33,inf,14.33,inf,inf,inf
PAST PERF,6.14,43.0,1.79,inf,5.38,inf,inf,14.33,inf,inf,inf
PAST PROG ~ PRES PART,4.33,7.8,1.77,39.0,39.0,inf,inf,39.0,inf,inf,inf
FUT ~ FUT going-to,3.89,17.5,17.5,7.0,2.92,inf,11.67,35.0,inf,inf,35.0
PAST ~ PRES PERF,2.38,31.0,inf,15.5,4.43,7.75,15.5,31.0,inf,31.0,inf
FUT ~ PRES PROG,3.44,10.33,inf,5.17,5.17,15.5,7.75,31.0,inf,inf,inf
PRES PART ~ PRES PROG,5.0,15.0,7.5,5.0,7.5,15.0,15.0,10.0,inf,30.0,inf
