eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,1.74,4.4,25.17,3.96,9.65,23.51,21.71,38.59,307.8,385.0,1543.0
PAST,1.9,5.58,2.46,31.89,6.59,52.82,117.4,41.29,inf,591.0,inf
PRES PART,2.37,3.82,3.82,10.71,6.69,23.6,inf,48.2,122.0,245.0,inf
PRES PROG,4.29,7.81,10.56,3.11,8.74,10.56,11.33,9.28,inf,inf,inf
PRES ~ PRES PART,1.44,4.76,10.08,8.0,15.0,15.0,23.0,19.57,inf,inf,inf
FUT,3.0,10.0,21.0,4.08,2.22,65.0,12.2,65.0,inf,inf,inf
PAST PROG,5.53,9.33,0.88,inf,4.9,123.0,123.0,30.0,inf,inf,inf
PRES ~ PRES PROG,2.32,14.37,16.57,4.35,5.83,11.3,11.3,12.67,inf,inf,122.0
PAST ~ PAST PROG,3.64,8.27,0.92,101.0,7.5,50.0,inf,101.0,inf,inf,inf
PAST ~ PRES PART,1.24,6.83,2.13,93.0,12.43,93.0,inf,93.0,inf,inf,inf
PAST ~ PRES,1.54,4.55,29.5,7.71,4.55,14.25,60.0,60.0,inf,inf,inf
FUT ~ PRES,4.3,6.57,7.83,12.25,2.79,7.83,12.25,25.5,inf,inf,inf
FUT ~ MOD shall,3.64,4.67,6.29,3.25,11.75,5.38,inf,inf,inf,inf,inf
PRES ~ PRES PERF,3.27,4.22,46.0,4.88,4.88,22.5,10.75,10.75,inf,inf,inf
PRES PERF,1.39,9.75,13.33,7.6,7.6,13.33,13.33,20.5,inf,inf,inf
TO INF,3.3,7.6,9.75,3.3,4.38,13.33,inf,13.33,inf,inf,inf
PAST PERF,5.14,42.0,0.79,inf,4.38,inf,inf,13.33,inf,inf,inf
PAST PROG ~ PRES PART,3.33,6.8,0.77,38.0,38.0,inf,inf,38.0,inf,inf,inf
FUT ~ FUT going-to,2.89,16.5,16.5,6.0,1.92,inf,10.67,34.0,inf,inf,34.0
PAST ~ PRES PERF,1.38,30.0,inf,14.5,3.43,6.75,14.5,30.0,inf,30.0,inf
FUT ~ PRES PROG,2.44,9.33,inf,4.17,4.17,14.5,6.75,30.0,inf,inf,inf
PRES PART ~ PRES PROG,4.0,14.0,6.5,4.0,6.5,14.0,14.0,9.0,inf,29.0,inf
PAST ~ PAST PERF,2.71,25.0,1.17,inf,5.5,inf,inf,12.0,inf,inf,inf
PAST ~ TO INF,7.0,1.67,4.33,15.0,3.0,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,5.0,11.0,inf,5.0,11.0,1.0,inf,inf,inf,inf,inf
MOD may ~ PRES,3.0,11.0,3.0,2.0,inf,inf,inf,inf,11.0,inf,inf
MOD could ~ PAST,1.2,4.5,2.67,inf,10.0,inf,inf,inf,inf,inf,inf
FUT going-to ~ PRES PROG,4.5,inf,10.0,4.5,1.2,inf,10.0,inf,inf,inf,inf
FUT going-to ~ PRES,2.67,inf,10.0,1.75,2.67,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,1.5,2.33,inf,4.0,inf,inf,inf,inf,inf,inf,9.0
FUT ~ PRES PART,inf,1.25,inf,1.25,inf,8.0,inf,inf,inf,inf,inf
PRES PART ~ TO INF,3.5,3.5,2.0,inf,3.5,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,1.0,inf,3.0,inf,inf,inf,7.0,7.0,inf,inf,inf
MOD can ~ PRES,1.33,inf,6.0,2.5,6.0,inf,inf,inf,inf,inf,inf
MOD could,1.33,inf,6.0,2.5,6.0,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,inf,6.0,inf,6.0,inf,1.33,2.5,inf,inf,inf,inf
PRES PERF ~ PRES PROG,2.0,5.0,inf,5.0,5.0,inf,5.0,inf,inf,inf,inf
IMPV,4.0,inf,inf,inf,4.0,inf,4.0,1.5,inf,inf,inf
MOD shall ~ PRES,1.5,inf,inf,1.5,inf,inf,4.0,inf,inf,inf,inf
PAST PERF ~ PAST PROG,inf,4.0,4.0,inf,0.67,inf,inf,inf,inf,inf,inf
MOD can,0.67,4.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf
MOD should,inf,inf,1.5,4.0,4.0,inf,inf,4.0,inf,inf,inf
FUT going-to ~ MOD shall,inf,3.0,inf,inf,inf,inf,0.33,inf,inf,inf,inf
MOD would,1.0,inf,inf,3.0,3.0,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,3.0,inf,inf,inf,inf,3.0,inf,1.0,inf,inf,inf
MOD would ~ PAST,3.0,3.0,3.0,inf,inf,inf,inf,3.0,inf,inf,inf
PAST ~ PRES PROG,inf,inf,inf,1.0,3.0,3.0,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,0.33,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf
PAST ~ PAST PERF PROG,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,1.0,inf,3.0,inf,inf,3.0,inf,inf,inf,inf,inf
PRES PERF PROG ~ PRES PROG,3.0,inf,inf,inf,1.0,inf,3.0,inf,inf,inf,inf
FUT ~ MOD must,inf,3.0,3.0,3.0,inf,inf,3.0,inf,inf,inf,inf
IMPV ~ MOD may,inf,3.0,0.33,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,2.0,inf,inf,inf,inf,0.5,inf,inf,inf,inf,inf
FUT ~ MOD is to,inf,inf,inf,0.5,inf,inf,2.0,inf,inf,inf,inf
MOD should ~ TO INF,inf,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF PROG,2.0,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf
MOD should ~ MOD would,inf,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf
MOD shall ~ TO INF,inf,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf
PRES PERF PROG,inf,inf,inf,0.5,2.0,inf,inf,inf,inf,inf,inf
MOD may,2.0,inf,inf,inf,inf,inf,inf,2.0,2.0,inf,inf
MOD can ~ TO INF,2.0,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf,inf
MOD is to,2.0,inf,inf,inf,inf,inf,inf,2.0,2.0,inf,inf
MOD was to ~ PAST,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST PROG,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES PART,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
PAST PERF ~ PAST PERF PROG,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ TO INF,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
PAST PERF PROG ~ PAST PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
