,SBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,LBH
,prose,prose,prose,prose,instruction,poetry,list,instruction,list,poetry,prophetic,list,poetry,list
,Q,N,N,Q,Q,Q,N,N,N,Q,Q,Q,N,Q
PAST..IND,-83.36,63.31,14.43,-16.31,-13.15,3.19,12.86,11.04,7.55,2.04,-1.27,-0.49,2.07,-0.37
PRES.PERF.IND,150.31,-195.72,-64.43,23.08,20.88,-2.12,-9.46,-8.54,-6.5,-0.47,1.85,2.15,-0.68,0.0
PAST.PERF.IND,-60.9,53.85,23.93,-9.17,-12.17,-2.26,-1.21,-0.22,-0.16,-0.65,-0.2,-0.21,-0.22,0.75
PRES..IND,40.5,-55.84,-16.78,5.32,4.85,0.9,-2.2,-2.38,-1.88,-0.12,0.72,0.0,0.0,0.0
PAST..SUBJ,0.3,0.42,0.0,0.0,-0.39,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,-1.4,2.25,-0.0,-0.29,-0.39,0.28,0.29,0.0,0.46,0.0,0.0,0.0,0.0,1.35
FUT..IND,1.23,-2.1,-0.41,0.57,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,-0.26,1.38,-0.21,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,1.26,-1.42,-0.21,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,-0.48,1.11,-0.21,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,-0.28,0.29,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
