eng_TAMsimp,WQt0,WQtX,MSyn
FUT,0.18,5.49,inf
FUT ~ MOD shall,0.54,1.88,530.0
PRES,0.26,3.87,491.0
IMPV ~ MOD shall,0.01,68.67,inf
IMPV,0.01,113.67,inf
MOD is to ~ MOD shall,0.56,1.8,inf
PAST,0.29,3.48,inf
MOD shall,1.03,0.97,inf
MOD must ~ MOD shall,0.35,2.82,inf
FUT ~ PRES,0.22,4.5,inf
MOD may,0.2,5.0,inf
PAST ~ PRES,0.94,1.06,inf
MOD shall ~ PRES,0.4,2.5,inf
FUT ~ MOD may,0.2,5.0,inf
PRES PERF,0.25,4.0,inf
MOD shall ~ TO INF,0.04,27.0,inf
PRES ~ PRES PART,0.23,4.4,inf
PRES ~ PRES PERF,0.62,1.6,inf
MOD would,0.32,3.17,inf
TO INF,0.0,inf,inf
FUT ~ MOD lest,0.14,7.0,inf
MOD would ~ PAST,0.41,2.43,inf
MOD may ~ TO INF,0.05,22.0,inf
MOD may ~ PRES,0.5,2.0,inf
MOD let,0.05,20.0,inf
FUT ~ IMPV,0.0,inf,inf
PRES ~ TO INF,0.06,18.0,inf
MOD may ~ MOD shall,0.12,8.0,inf
PAST ~ PRES PART,0.0,inf,inf
FUT ~ TO INF,0.07,15.0,inf
MOD shall ~ PRES PART,0.07,15.0,inf
IMPV ~ PRES,0.07,14.0,inf
IMPV ~ MOD let,0.08,13.0,inf
PRES PART,0.0,inf,inf
IMPV ~ TO INF,0.0,inf,inf
PAST ~ PRES PERF,0.3,3.33,inf
FUT ~ MOD let,0.0,inf,inf
FUT ~ PRES PART,0.0,inf,inf
MOD can ~ MOD may,0.0,inf,inf
FUT ~ MOD would,0.38,2.67,inf
MOD can ~ MOD shall,0.0,inf,inf
MOD shall ~ PAST,0.8,1.25,inf
MOD let ~ MOD shall,0.5,2.0,inf
MOD is to ~ PRES,0.14,7.0,inf
MOD is to ~ MOD let,0.6,1.67,inf
MOD let ~ MOD may,0.33,3.0,inf
FUT ~ PAST,0.14,7.0,inf
MOD is to ~ PAST,0.0,inf,inf
MOD lest ~ MOD may,0.0,inf,inf
PAST ~ TO INF,0.75,1.33,inf
MOD lest ~ TO INF,0.0,inf,inf
PAST ~ PAST PROG,0.75,1.33,inf
MOD shall ~ PRES PERF,0.2,5.0,inf
FUT ~ PRES PERF,0.2,5.0,inf
IMPV ~ MOD lest,0.0,inf,inf
MOD shall ~ MOD would,0.0,inf,inf
MOD may ~ MOD must,0.0,inf,inf
MOD can,0.25,4.0,inf
MOD would ~ PRES,0.0,inf,inf
IMPV ~ PAST,0.0,inf,inf
MOD should ~ PRES,0.33,3.0,inf
HAB used to ~ PAST,1.0,1.0,inf
IMPV ~ MOD may,0.0,inf,inf
IMPV ~ MOD must,0.0,inf,inf
PAST PERF,0.0,inf,inf
MOD shall ~ MOD should,0.33,3.0,inf
FUT ~ MOD can,0.0,inf,inf
MOD let ~ TO INF,0.0,inf,inf
FUT ~ FUT PERF,0.0,inf,inf
MOD should,0.0,inf,inf
MOD could ~ MOD may,0.0,inf,inf
PAST ~ PAST PERF,0.0,inf,inf
MOD can ~ PRES,0.5,2.0,inf
MOD should ~ TO INF,0.0,inf,inf
IMPV ~ MOD would,0.0,inf,inf
MOD VB ~ PRES,0.0,inf,inf
MOD is to ~ TO INF,0.0,inf,inf
HAB used to ~ MOD would,2.0,0.5,inf
HAB used to,0.5,2.0,inf
MOD was to,0.5,2.0,inf
FUT ~ FUT going-to,0.0,inf,inf
IMPV ~ MOD is to,0.0,inf,inf
MOD that be ~ TO INF,0.0,inf,inf
MOD was to ~ PAST,0.0,inf,inf
PRES ~ PRES PROG,0.0,inf,inf
FUT ~ MOD must,1.0,1.0,inf
IMPV ~ PRES PART,0.0,inf,inf
MOD would ~ PRES PART,0.0,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf
PRES PART ~ PRES PERF,0.0,inf,inf
MOD may ~ PRES PART,0.0,inf,inf
MOD can ~ MOD let,0.0,inf,inf
MOD lest ~ MOD might,0.0,inf,inf
MOD may ~ MOD should,0.0,inf,inf
MOD let ~ PRES,0.0,inf,inf
MOD must ~ PRES,0.0,inf,inf
MOD let ~ MOD must,1.0,1.0,inf
MOD lest ~ PRES PART,0.0,inf,inf
MOD lest ~ MOD must,0.0,inf,inf
MOD must ~ PRES PART,0.0,inf,inf
MOD is to ~ MOD may,0.0,inf,inf
MOD let ~ PRES PART,0.0,inf,inf
MOD should ~ MOD would,inf,0.0,inf
MOD let ~ MOD should,0.0,inf,inf
MOD let ~ MOD would,0.0,inf,inf
MOD can ~ TO INF,0.0,inf,inf
MOD would ~ PRES PROG,0.0,inf,inf
FUT ~ MOD is to,inf,0.0,inf
FUT ~ MOD VB,inf,0.0,inf
MOD ~ MOD would,0.0,inf,inf
MOD would ~ TO INF,inf,0.0,inf
MOD must,inf,0.0,inf
FUT ~ FUT PROG,0.0,inf,inf
MOD might ~ MOD would,0.0,inf,inf
PAST PROG ~ TO INF,0.0,inf,inf
FUT PROG,inf,0.0,inf
FUT ~ MOD should,0.0,inf,inf
FUT ~ MOD that be,inf,0.0,inf
PAST PERF ~ PRES PART,0.0,inf,inf
MOD could,0.0,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf
MOD let ~ MOD might,inf,0.0,inf
MOD might,inf,0.0,inf
MOD quest must ~ MOD shall,0.0,inf,inf
PRES ~ VB,0.0,inf,inf
MOD could ~ MOD would,0.0,inf,inf
MOD lest ~ PRES,0.0,inf,inf
HAB used to ~ PAST PROG,inf,0.0,inf
HAB used to ~ PRES PART,0.0,inf,inf
MOD could ~ TO INF,0.0,inf,inf
IMPV ~ MOD VB,0.0,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf
MOD VB ~ MOD can,0.0,inf,inf
