,N,Q
PAST ~ PRES PART,7.97,-7.97
PAST ~ PAST PERF,26.44,-26.44
?PAST ~ PAST,9.49,-9.49
PAST ~ PRES PERF,-40.18,40.18
PAST ~ PRES,-7.18,7.18
PAST ~ TO INF,6.82,-6.82
PRES ~ PRES PERF,-8.96,8.96
PAST ~ PAST PROG,5.28,-5.28
FUT ~ PRES,-1.56,1.56
?PRES ~ PRES,-2.2,2.2
MOD could ~ PAST,1.21,-1.21
?VB ~ PAST,-1.07,1.07
?PRES ~ PAST,-0.96,0.96
?PAST ~ PRES PART,-0.0,0.0
FUT ~ PAST,-0.69,0.69
PRES PART ~ PRES PERF,-2.16,2.16
FUT ~ PRES PERF,-0.44,0.44
PRES ~ PRES PART,-0.83,0.83
MOD would ~ PAST,-0.0,0.0
PRES ~ PRES PROG,-1.72,1.72
PAST PERF ~ PRES PERF,-1.72,1.72
?PAST did not ~ PAST,-0.2,0.2
?PAST ~ ?VB,-0.0,0.0
?TO INF ~ PAST,0.52,-0.52
MOD let ~ PAST,-0.0,0.0
?PAST ~ PRES,-0.0,0.0
IMPV ~ PAST,0.52,-0.52
PRES ~ TO INF,-1.29,1.29
FUT ~ MOD shall,-1.29,1.29
PRES PERF ~ TO INF,-1.29,1.29
PAST PERF ~ PRES PART,-0.0,0.0
?VB ~ PRES PERF,-0.86,0.86
?FUT ~ PAST,0.27,-0.27
PRES PERF ~ PRES PROG,-0.86,0.86
MOD may ~ PAST,0.0,-0.0
?PRES PERF ~ PRES,-0.86,0.86
?PRES ~ ?PRES PERF,-0.86,0.86
?PRES ~ PRES PART,-0.86,0.86
?PRES ~ PRES PERF,-0.86,0.86
?VB ~ PRES,0.0,-0.0
?PAST ~ IMPV,0.27,-0.27
??VB ~ ?PAST question,-0.86,0.86
MOD can ~ PRES,0.27,-0.27
?FUT ~ PRES,-0.0,0.0
??VB ~ PAST,-0.43,0.43
??PAST ~ ?TO INF,-0.0,0.0
?PAST ~ ?TO INF,-0.0,0.0
??PAST ~ PAST,-0.0,0.0
??PRES ~ PAST,-0.43,0.43
?PAST wh-question ~ TO INF,-0.0,0.0
?PAST wh-question ~ PAST,-0.43,0.43
?PAST wh-question ~ MOD let,-0.43,0.43
?PAST wh-question ~ ?PRES,-0.43,0.43
??VB ~ PRES,-0.43,0.43
?FUT ~ PRES PART,-0.43,0.43
?PAST do-support ~ PAST,-0.0,0.0
?PAST did not ~ TO INF,-0.43,0.43
??VB ~ PRES PERF,-0.43,0.43
?FUT ~ ?PRES,-0.43,0.43
PRES PART ~ TO INF,-0.0,0.0
?PAST did not ~ ?PAST question,-0.43,0.43
?PAST PERF ~ PAST PERF,-0.43,0.43
?MOD would ~ PAST,-0.0,0.0
?MOD let ~ PAST,-0.0,0.0
MOD may ~ PRES,-0.43,0.43
?PRES PERF ~ PAST,-0.43,0.43
?PAST ~ PAST PERF,-0.0,0.0
MOD should ~ PRES,-0.43,0.43
MOD let ~ PRES PART,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
MOD might ~ PRES PERF,-0.43,0.43
MOD let ~ MOD may,-0.43,0.43
MOD is to ~ PRES PERF,-0.43,0.43
MOD must ~ PAST,-0.43,0.43
MOD could ~ MOD might,-0.43,0.43
IMPV ~ PRES PART,-0.0,0.0
IMPV ~ PRES,-0.43,0.43
MOD must ~ PRES,-0.0,0.0
MOD should ~ MOD would,-0.0,0.0
MOD should ~ TO INF,-0.43,0.43
PAST ~ PAST PERF PROG,-0.0,0.0
FUT ~ MOD would,-0.43,0.43
MOD would ~ PRES,-0.43,0.43
?TO INF ~ PRES,-0.43,0.43
PAST PERF ~ TO INF,-0.0,0.0
?PRES ~ TO INF,-0.43,0.43
PAST PROG ~ PRES PART,-0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0
?PRES ~ FUT,-0.43,0.43
?PRES ~ ?VB,-0.43,0.43
?PAST ~ PRES PERF,-0.43,0.43
PAST PROG ~ PRES PERF PROG,-0.43,0.43
??PAST ~ ?PAST,-0.0,0.0
