,V,RV,_W_SV,RSV,_W_V,SV,CV,ISV,QSV,ASV,CSV,_W_ISV,AV,_W_ASV,_W_RV,CASV,QV,OSV,_W_SAV,COSV,_W_AV,IV,_W_IV,CISV,_W_OSV,_W_QSV,_W_OV,_W_QV,_W_CV,SAV,OV,QASV,CAV,_W_IASV,QOSV,IASV,CQV,COV,_W_CSV,_W_IAV,CIV,CSAV,_W_CAV,_W_CASV,CAOV,SOV,COASV,ROV,ARSV,QAV,OASV,CIASV,IISV,_W_SOV,ACV
PRES,1.69,1.24,0.26,0.76,0.97,1.03,1.06,0.29,2.94,0.7,1.31,0.08,0.76,1.29,1.96,0.46,1.96,1.45,0.6,0.34,0.36,0.46,0.13,0.0,0.56,1.01,1.69,2.26,4.23,0.84,3.39,0.0,0.42,0.0,0.0,0.0,3.38,3.38,0.0,0.0,1.69,1.69,inf,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf
PAST,0.47,2.24,3.43,0.23,0.85,1.1,0.3,0.0,0.0,0.18,0.3,1.52,1.66,0.34,2.02,0.72,0.0,0.24,2.8,0.0,4.26,0.0,1.01,0.0,2.01,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,3.02,0.0,0.0,6.04,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,2.86,0.24,1.02,0.11,1.41,0.74,0.0,0.16,2.24,1.24,0.25,3.46,0.38,0.43,0.58,0.0,2.63,0.62,1.84,0.0,0.0,0.0,1.2,0.0,2.24,5.24,2.24,0.0,0.0,7.86,0.0,3.13,0.0,3.92,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.15,0.19,0.3,10.28,0.22,0.73,1.76,11.2,0.89,0.95,0.69,0.0,0.0,0.57,0.0,2.51,1.6,5.04,0.0,8.16,2.78,3.48,5.72,21.14,2.97,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,0.0
PRES ~ PRES PART,1.69,1.6,0.2,0.59,1.42,0.31,0.26,0.59,0.78,1.75,0.0,0.0,0.0,0.0,1.02,1.02,1.02,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,27.82,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,1.65,0.05,0.29,0.31,0.32,0.95,4.22,5.7,0.0,4.85,0.0,0.68,1.51,1.73,0.0,6.75,3.67,2.53,0.0,3.8,1.89,0.0,0.0,4.32,4.32,0.0,4.32,0.0,5.04,0.0,0.0,6.05,20.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.32,0.37,0.46,8.54,0.11,1.27,1.6,2.17,0.43,1.46,2.2,1.46,0.76,1.8,0.0,2.43,0.0,2.63,1.74,3.96,0.0,8.72,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PAST PROG,0.06,0.5,11.62,0.22,0.0,2.48,0.31,0.0,0.0,0.0,1.68,4.21,0.0,1.88,0.0,2.54,0.0,0.0,0.0,1.93,0.0,0.0,18.88,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.17,1.39,6.83,0.43,0.29,1.13,1.21,0.0,0.0,0.0,2.1,1.91,0.0,1.13,0.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,1.28,1.1,1.39,0.0,1.65,1.1,0.0,0.0,0.0,0.0,0.0,4.71,2.36,1.29,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,9.4,0.0,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.84,4.05,0.0,0.22,1.52,0.49,0.0,0.0,0.0,2.01,0.0,1.49,1.6,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
