eng_TAMsimp,V,RV,_W_SV,RSV,_W_V,SV,CV,ISV,QSV,ASV,CSV,_W_ISV,AV,_W_ASV,_W_RV,CASV,QV,OSV,_W_SAV,COSV,_W_AV,IV,_W_IV,CISV,_W_OSV,_W_QSV,_W_OV,_W_QV,_W_CV,SAV,OV,QASV,CAV,_W_IASV,QOSV,IASV,CQV,COV,_W_CSV,_W_IAV,CIV,CSAV,_W_CAV,_W_CASV,CAOV,SOV,COASV,ROV,ARSV,QAV,OASV,CIASV,IISV,_W_SOV,ACV
PRES,2.89,4.13,26.33,17.25,15.01,15.16,37.52,107.21,32.63,75.05,55.59,750.5,115.46,93.81,100.07,250.17,100.07,125.08,300.2,500.33,500.33,500.33,1501.0,inf,750.5,500.33,375.25,375.25,300.2,750.5,375.25,inf,1501.0,inf,inf,inf,750.5,750.5,inf,inf,1501.0,1501.0,1501.0,inf,inf,inf,1501.0,1501.0,inf,inf,inf,inf,inf,inf,1501.0
PAST,6.04,2.83,4.52,52.18,16.88,14.35,114.8,inf,inf,287.0,191.33,63.78,63.78,287.0,82.0,191.33,inf,574.0,95.67,inf,82.0,inf,287.0,inf,287.0,inf,574.0,inf,inf,inf,inf,inf,inf,574.0,inf,574.0,inf,inf,574.0,287.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,1.98,15.19,10.12,121.5,11.05,20.25,inf,243.0,27.0,48.6,243.0,30.37,243.0,243.0,243.0,inf,60.75,243.0,121.5,inf,inf,inf,243.0,inf,243.0,121.5,243.0,inf,inf,121.5,inf,243.0,inf,243.0,243.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PROG,16.91,18.6,31.0,2.7,62.0,20.67,23.25,6.2,62.0,62.0,93.0,inf,inf,186.0,inf,62.0,93.0,37.2,inf,37.2,93.0,93.0,62.0,46.5,186.0,inf,inf,inf,186.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,186.0,inf,186.0,inf,186.0,inf,inf
PRES ~ PRES PART,2.56,3.28,47.0,23.5,10.85,47.0,141.0,70.5,70.5,35.25,inf,inf,inf,inf,141.0,141.0,141.0,inf,inf,inf,inf,70.5,inf,inf,inf,inf,inf,inf,inf,141.0,inf,141.0,inf,inf,inf,inf,inf,inf,141.0,inf,inf,inf,inf,inf,141.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,2.6,65.0,32.5,43.33,43.33,16.25,10.83,9.29,inf,14.44,inf,130.0,65.0,65.0,inf,26.0,43.33,65.0,inf,65.0,130.0,inf,inf,130.0,130.0,inf,130.0,inf,130.0,inf,inf,130.0,65.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,8.93,10.42,20.83,2.84,125.0,12.5,25.0,20.83,125.0,41.67,31.25,62.5,125.0,62.5,inf,62.5,inf,62.5,125.0,62.5,inf,41.67,inf,125.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,125.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,125.0,inf,inf,inf,inf,inf,125.0,inf,inf,inf
PAST PROG,40.0,8.0,1.94,60.0,inf,7.06,120.0,inf,inf,inf,40.0,24.0,inf,60.0,inf,60.0,inf,inf,inf,120.0,inf,inf,24.0,inf,inf,120.0,inf,inf,inf,inf,inf,inf,inf,120.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,16.17,3.59,2.49,32.33,48.5,13.86,32.33,inf,inf,inf,32.33,48.5,inf,97.0,inf,inf,inf,inf,48.5,inf,inf,inf,inf,inf,inf,97.0,inf,inf,inf,inf,inf,inf,inf,97.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,3.04,4.25,7.73,inf,9.44,14.17,inf,inf,inf,inf,inf,21.25,42.5,85.0,inf,inf,inf,inf,inf,inf,85.0,inf,inf,inf,inf,inf,inf,inf,inf,85.0,85.0,inf,inf,85.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,4.07,1.91,inf,61.0,10.17,30.5,inf,inf,inf,30.5,inf,61.0,61.0,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,3.0,54.0,13.5,7.71,6.75,18.0,18.0,54.0,27.0,inf,27.0,inf,27.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.0,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.0,6.0,48.0,12.0,24.0,6.0,16.0,inf,48.0,48.0,inf,inf,48.0,24.0,48.0,inf,inf,inf,inf,inf,inf,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,2.82,48.0,24.0,inf,4.0,6.86,inf,12.0,inf,48.0,48.0,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,20.5,2.05,20.5,41.0,inf,20.5,20.5,10.25,41.0,inf,41.0,inf,41.0,inf,41.0,inf,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,20.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,20.5,1.21,20.5,inf,inf,41.0,inf,inf,41.0,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
