,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PAST,4.18,0.29,0.44,0.31,0.12,0.42,0.41,1.02,0.29,0.29,0.15,0.15
PAST ~ PRES PART,1.18,0.86,0.55,1.29,0.0,2.91,1.59,0.0,0.0,0.0,65.37,0.0
PAST ~ PAST PERF,0.67,1.51,1.23,2.88,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.08,8.04,5.35,0.45,3.98,1.52,3.52,0.0,0.0,0.0,0.0,0.0
PRES,0.06,3.47,3.55,14.47,28.27,0.0,3.86,0.0,38.68,38.45,0.0,76.91
?PAST ~ PAST,1.97,0.51,0.86,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.06,9.48,3.17,1.46,5.28,7.75,8.75,0.0,0.0,0.0,0.0,0.0
?PAST,2.72,0.54,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.17,3.52,3.43,3.24,7.77,0.0,3.94,23.12,0.0,0.0,0.0,0.0
PAST ~ TO INF,1.38,0.33,2.45,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.61,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.06,7.09,2.82,4.14,15.79,6.77,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.52,2.21,1.04,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.77,1.34,0.0,3.21,0.0,10.85,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.09,7.39,0.0,0.0,18.48,20.88,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES,0.0,8.63,0.0,14.71,33.57,22.62,0.0,0.0,0.0,0.0,0.0,0.0
?PRES,0.1,11.84,0.0,0.0,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.4,0.74,5.78,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,1.03,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.29,3.69,0.0,0.0,0.0,0.0,38.09,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.69,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PAST,0.31,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PART,1.15,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.92,0.0,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.34,1.84,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.06,29.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.06,11.07,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.92,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,0.23,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.23,0.0,0.0,0.0,110.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.69,0.0,0.0,0.0,0.0,90.54,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ PAST,0.08,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.08,7.37,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.0,14.74,12.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,0.46,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES,0.46,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.46,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,0.11,3.68,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.11,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST,0.23,0.0,0.0,80.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES,0.0,7.37,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?VB ~ PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,0.23,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ ?PRES PERF,0.23,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PERF,0.0,7.37,0.0,80.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ ?PAST question,0.0,7.37,25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ PRES PART,0.0,7.37,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST question,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST do-support ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ MOD let,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST wh-question ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD would ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ ?PAST question,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST PERF ~ PAST PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?FUT ~ ?PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PRES ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PAST PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?TO INF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ FUT,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES ~ ?VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PRES PERF ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
