eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoT,jussM,infa,cohoM
PAST,0.18,9.23,30.03,102.32,209.62,311.91,352.29,1563.57,2737.0,5475.0,10951.0,10951.0
PAST ~ PRES PART,0.19,8.5,46.5,62.33,inf,94.0,189.0,inf,inf,inf,189.0,inf
PAST ~ PAST PERF,0.34,4.9,21.12,28.5,inf,inf,176.0,inf,inf,inf,inf,inf
PRES PERF,2.69,0.97,5.1,176.0,28.5,176.0,87.5,inf,inf,inf,inf,inf
PRES,3.38,2.18,7.53,6.36,5.0,inf,80.0,inf,80.0,161.0,inf,161.0
?PAST ~ PAST,0.12,14.5,30.0,123.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,3.48,0.81,8.33,55.0,21.4,36.33,36.33,inf,inf,inf,inf,inf
?PAST,0.09,13.57,101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,1.29,2.12,7.67,25.0,14.6,inf,77.0,77.0,inf,inf,inf,inf
PAST ~ TO INF,0.17,22.33,10.67,69.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,0.38,2.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,3.56,1.05,9.25,19.5,7.2,40.0,inf,inf,inf,inf,inf,inf
PRES PART,0.44,3.33,25.0,25.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,0.3,5.5,inf,25.0,inf,25.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES,2.5,1.0,inf,inf,6.0,13.0,inf,inf,inf,inf,inf,inf
?PRES ~ PRES,inf,0.86,inf,5.5,3.33,12.0,inf,inf,inf,inf,inf,inf
?PRES,2.25,0.62,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf
MOD would,0.57,10.0,4.5,10.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,0.22,inf,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,0.8,2.0,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf
?VB ~ PAST,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PAST,0.75,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PART,0.2,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,0.67,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,4.0,0.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,4.0,0.67,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PERF,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,0.33,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf
?PAST did not ~ PAST,3.0,0.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?VB,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,inf,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?TO INF ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
