,x,Wx,Ø,W
PRES,1.26,0.65,1.25,0.95
FUT,0.84,0.98,1.34,1.36
FUT ~ MOD shall,0.71,1.64,0.8,1.09
IMPV ~ MOD shall,1.25,1.4,0.33,0.0
PAST,0.52,0.93,2.7,1.67
FUT ~ PRES,0.93,1.15,0.87,1.11
MOD must ~ MOD shall,1.06,1.08,1.05,0.14
MOD is to ~ MOD shall,1.14,1.07,0.86,0.25
MOD can,1.7,1.01,0.29,0.09
MOD shall,1.75,0.63,0.92,0.0
MOD may,1.6,0.79,0.22,1.83
IMPV,0.53,2.24,0.81,0.95
MOD shall ~ PRES,1.19,0.82,1.13,0.5
MOD would,1.33,0.48,1.27,1.59
PAST ~ PRES,0.79,0.69,2.02,1.66
FUT ~ MOD may,0.81,1.03,0.9,2.65
PRES ~ PRES PART,1.27,0.73,0.97,1.06
PRES ~ PRES PERF,1.73,0.52,0.97,0.56
MOD should,3.02,0.49,0.27,0.31
MOD can ~ PRES,2.1,0.87,0.2,0.0
FUT ~ MOD lest,1.71,1.24,0.0,0.0
FUT ~ MOD can,1.27,1.35,0.11,0.78
PRES PERF,1.83,0.48,0.88,0.82
MOD may ~ MOD shall,0.79,1.42,0.87,0.95
PRES PART,0.73,1.34,1.33,0.51
IMPV ~ PRES,0.56,2.24,0.81,0.53
TO INF,0.62,1.17,1.62,1.66
MOD may ~ PRES,1.58,0.67,0.65,1.11
MOD can ~ MOD shall,2.04,0.81,0.0,1.16
MOD should ~ PRES,1.64,0.81,0.16,1.79
PRES ~ TO INF,0.98,0.78,1.41,1.25
FUT ~ MOD would,1.78,0.69,0.55,0.62
MOD could,2.14,0.74,0.0,1.35
MOD shall ~ TO INF,1.0,1.17,0.39,2.16
MOD must,1.53,0.67,0.62,1.43
MOD let,0.35,1.64,1.41,4.09
MOD can ~ MOD may,1.23,1.32,0.0,1.52
PAST ~ PRES PERF,0.56,0.38,3.92,2.44
MOD shall ~ MOD should,3.98,0.53,0.0,0.0
MOD would ~ PAST,0.24,2.59,2.61,0.0
FUT ~ TO INF,0.52,1.38,1.55,1.95
MOD would ~ PRES,2.17,0.41,0.65,1.11
FUT ~ IMPV,0.3,1.11,4.21,1.22
PAST ~ PRES PART,0.69,1.38,0.34,4.08
MOD shall ~ PRES PART,1.15,0.92,0.76,1.28
MOD should ~ TO INF,6.12,0.35,0.0,0.0
MOD must ~ PRES,1.99,1.06,0.0,0.0
PRES ~ PRES PROG,1.68,0.64,0.97,0.0
MOD lest ~ MOD may,1.68,1.26,0.0,0.0
MOD let ~ PRES,0.28,0.69,4.56,3.76
FUT ~ PRES PART,1.15,0.69,1.05,1.74
FUT ~ PAST,0.38,2.42,0.49,3.76
MOD shall ~ PAST,1.37,1.11,0.52,0.0
FUT ~ MOD let,0.42,0.75,3.8,1.87
