eng_TAMsimp,x,Wx,Ø,W
PRES,0.61,0.2,0.15,0.04
FUT,0.49,0.24,0.18,0.1
FUT ~ MOD shall,0.49,0.35,0.11,0.06
IMPV,0.63,0.29,0.06,0.02
MOD let,0.15,0.07,0.49,0.28
IMPV ~ MOD shall,0.62,0.33,0.05,0.0
PAST,0.41,0.25,0.28,0.06
FUT ~ PRES,0.53,0.28,0.12,0.06
MOD may,0.37,0.13,0.13,0.37
MOD must ~ MOD shall,0.58,0.28,0.13,0.01
MOD is to ~ MOD shall,0.6,0.28,0.11,0.01
MOD can,0.69,0.27,0.04,0.0
MOD shall,0.69,0.19,0.12,0.01
FUT ~ MOD may,0.32,0.18,0.13,0.38
MOD shall ~ PRES,0.59,0.23,0.16,0.02
IMPV ~ MOD let,0.31,0.19,0.33,0.17
MOD would,0.55,0.13,0.18,0.14
MOD let ~ MOD may,0.18,0.09,0.51,0.22
PAST ~ PRES,0.49,0.19,0.24,0.08
PRES ~ PRES PART,0.62,0.22,0.12,0.04
PRES ~ PRES PERF,0.69,0.16,0.12,0.02
MOD should,0.75,0.14,0.05,0.06
TO INF,0.29,0.19,0.14,0.38
FUT ~ MOD lest,0.68,0.32,0.0,0.0
MOD can ~ PRES,0.72,0.24,0.03,0.01
MOD can ~ MOD may,0.32,0.16,0.0,0.52
MOD may ~ PRES,0.54,0.15,0.16,0.15
FUT ~ MOD can,0.6,0.31,0.01,0.07
PRES PERF,0.7,0.15,0.11,0.03
IMPV ~ PRES,0.37,0.39,0.22,0.02
MOD may ~ MOD shall,0.48,0.33,0.12,0.07
PRES PART,0.48,0.32,0.18,0.02
MOD can ~ MOD shall,0.72,0.22,0.0,0.07
FUT ~ MOD would,0.63,0.17,0.11,0.09
MOD may ~ TO INF,0.15,0.02,0.0,0.83
MOD should ~ PRES,0.67,0.24,0.02,0.07
PRES ~ TO INF,0.51,0.2,0.16,0.13
MOD could,0.71,0.2,0.02,0.07
MOD must,0.65,0.18,0.12,0.05
MOD shall ~ TO INF,0.55,0.29,0.05,0.11
PAST ~ PRES PERF,0.41,0.12,0.35,0.12
IMPV ~ MOD may,0.38,0.26,0.21,0.15
FUT ~ MOD let,0.18,0.09,0.35,0.38
FUT ~ TO INF,0.35,0.29,0.16,0.19
MOD shall ~ MOD should,0.84,0.16,0.0,0.0
MOD let ~ PRES,0.24,0.14,0.48,0.14
MOD would ~ PAST,0.24,0.48,0.28,0.0
FUT ~ IMPV,0.29,0.25,0.33,0.12
MOD would ~ PRES,0.71,0.12,0.08,0.08
MOD let ~ TO INF,0.0,0.09,0.23,0.68
PAST ~ PRES PART,0.48,0.33,0.05,0.14
MOD shall ~ PRES PART,0.62,0.24,0.1,0.05
MOD must ~ PRES,0.68,0.26,0.05,0.0
MOD should ~ TO INF,0.84,0.11,0.0,0.05
FUT ~ PRES PART,0.47,0.16,0.26,0.11
FUT ~ PAST,0.29,0.41,0.18,0.12
MOD let ~ MOD shall,0.41,0.18,0.35,0.06
MOD lest ~ MOD may,0.69,0.31,0.0,0.0
PRES ~ PRES PROG,0.69,0.19,0.12,0.0
MOD let ~ MOD must,0.14,0.36,0.29,0.21
IMPV ~ MOD must,0.71,0.14,0.14,0.0
MOD lest ~ PRES,0.71,0.29,0.0,0.0
MOD should ~ MOD would,0.43,0.29,0.14,0.14
MOD shall ~ PAST,0.64,0.29,0.07,0.0
MOD might,0.62,0.08,0.15,0.15
PAST ~ TO INF,0.62,0.15,0.15,0.08
HAB used to ~ PAST,0.75,0.25,0.0,0.0
MOD let ~ PAST,0.25,0.08,0.58,0.08
MOD may ~ MOD must,0.42,0.33,0.08,0.17
FUT ~ MOD should,0.75,0.25,0.0,0.0
IMPV ~ MOD can,0.17,0.75,0.08,0.0
