eng_TAMsimp,x,Wx,Ø,W
PRES,0.64,3.91,5.74,25.37
FUT,0.88,2.82,5.41,19.1
FUT ~ MOD shall,1.02,1.82,8.28,22.66
IMPV ~ MOD shall,0.62,2.0,20.0,inf
PAST,1.43,2.96,2.66,14.96
FUT ~ PRES,0.82,2.42,7.81,22.0
MOD must ~ MOD shall,0.72,2.56,6.51,168.0
MOD is to ~ MOD shall,0.67,2.59,7.91,97.0
MOD can,0.45,2.74,23.45,268.0
MOD shall,0.44,4.34,7.42,inf
MOD may,0.48,3.48,30.33,13.46
IMPV,1.43,1.25,8.35,25.71
MOD shall ~ PRES,0.64,3.35,6.05,48.33
MOD would,0.58,5.76,5.39,15.43
PAST ~ PRES,0.96,4.0,3.4,14.71
FUT ~ MOD may,0.94,2.68,7.58,9.3
PRES ~ PRES PART,0.6,3.8,7.0,23.0
PRES ~ PRES PERF,0.44,5.29,7.0,43.0
MOD should,0.25,5.58,25.33,78.0
MOD can ~ PRES,0.37,3.18,34.5,inf
FUT ~ MOD lest,0.45,2.23,inf,inf
FUT ~ MOD can,0.6,2.05,63.0,31.0
PRES PERF,0.42,5.78,7.71,29.5
MOD may ~ MOD shall,0.96,1.94,7.83,25.5
PRES PART,1.04,2.06,5.13,48.0
IMPV ~ PRES,1.35,1.24,8.4,46.0
TO INF,1.24,2.36,4.22,14.67
MOD may ~ PRES,0.48,4.11,10.5,22.0
MOD can ~ MOD shall,0.38,3.4,inf,21.0
MOD should ~ PRES,0.47,3.4,43.0,13.67
PRES ~ TO INF,0.78,3.56,4.86,19.5
FUT ~ MOD would,0.43,4.0,12.33,39.0
MOD could,0.36,3.75,inf,18.0
MOD shall ~ TO INF,0.76,2.36,17.5,11.33
MOD must,0.5,4.14,11.0,17.0
MOD let,2.18,1.69,4.83,6.0
MOD can ~ MOD may,0.62,2.09,inf,16.0
PAST ~ PRES PERF,1.36,7.25,1.75,10.0
MOD shall ~ MOD should,0.19,5.2,inf,inf
MOD would ~ PAST,3.14,1.07,2.62,inf
FUT ~ TO INF,1.45,2.0,4.4,12.5
MOD would ~ PRES,0.35,6.67,10.5,22.0
FUT ~ IMPV,2.5,2.5,1.62,20.0
PAST ~ PRES PART,1.1,2.0,20.0,6.0
MOD shall ~ PRES PART,0.67,3.0,9.0,19.0
MOD should ~ TO INF,0.12,8.0,inf,inf
MOD must ~ PRES,0.38,2.6,inf,inf
PRES ~ PRES PROG,0.45,4.33,7.0,inf
MOD lest ~ MOD may,0.45,2.2,inf,inf
MOD let ~ PRES,2.75,4.0,1.5,6.5
FUT ~ PRES PART,0.67,4.0,6.5,14.0
FUT ~ PAST,2.0,1.14,14.0,6.5
MOD shall ~ PAST,0.56,2.5,13.0,inf
FUT ~ MOD let,1.8,3.67,1.8,13.0
MOD lest ~ PRES,0.4,2.5,inf,inf
MOD should ~ MOD would,1.33,2.5,6.0,6.0
IMPV ~ MOD may,0.86,1.6,inf,12.0
MOD let ~ MOD shall,1.17,3.33,2.25,inf
FUT ~ MOD should,0.33,3.0,inf,inf
HAB used to ~ PAST,0.33,3.0,inf,inf
MOD may ~ TO INF,0.71,11.0,inf,2.0
IMPV ~ MOD must,0.5,5.0,5.0,inf
IMPV ~ MOD let,0.83,2.67,4.5,inf
IMPV ~ MOD can,4.5,0.22,inf,inf
MOD might,0.38,10.0,4.5,inf
PAST ~ TO INF,0.57,4.5,4.5,inf
MOD may ~ MOD must,1.0,1.5,9.0,inf
PAST ~ PAST PERF,0.67,2.33,9.0,inf
MOD is to,0.0,inf,inf,inf
MOD was to ~ PAST,0.12,inf,inf,8.0
MOD can ~ MOD should,0.0,inf,inf,inf
MOD can ~ MOD could,1.0,1.67,7.0,inf
MOD lest,0.4,inf,inf,2.5
PAST PERF,2.5,0.75,6.0,inf
FUT ~ MOD must,1.33,1.33,6.0,inf
MOD should ~ MOD was to,0.17,inf,6.0,inf
MOD might ~ MOD would,1.0,2.0,inf,5.0
MOD could ~ PAST,1.0,1.0,inf,inf
FUT ~ PRES PERF,0.5,inf,2.0,inf
PAST ~ PAST PROG,1.0,1.0,inf,inf
FUT going-to ~ MOD shall,0.2,inf,inf,5.0
MOD lest ~ MOD might,0.0,inf,inf,inf
MOD shall ~ MOD would,0.2,5.0,inf,inf
MOD let ~ MOD must,inf,1.0,1.0,inf
PRES PART ~ TO INF,2.0,1.0,5.0,inf
MOD is to ~ MOD may,0.2,5.0,inf,inf
MOD could ~ MOD would,0.5,2.0,inf,inf
FUT ~ FUT going-to,0.0,inf,inf,inf
MOD VB ~ MOD may,1.5,1.5,4.0,inf
MOD can ~ PRES PART,1.5,0.67,inf,inf
MOD is to ~ MOD must,0.25,inf,4.0,inf
MOD can ~ TO INF,0.67,1.5,inf,inf
IMPV ~ PRES PART,0.67,1.5,inf,inf
MOD lest ~ TO INF,0.0,inf,inf,inf
MOD might ~ TO INF,0.67,4.0,inf,4.0
MOD may ~ PRES PART,4.0,0.67,inf,4.0
MOD would ~ TO INF,0.25,4.0,inf,inf
MOD might ~ PAST,4.0,inf,4.0,0.67
MOD might ~ MOD should,0.67,4.0,4.0,inf
MOD was to,1.5,0.67,inf,inf
?VB ~ PAST,1.0,1.0,inf,inf
IMPV ~ TO INF,inf,0.0,inf,inf
PRES PERF ~ TO INF,inf,3.0,inf,0.33
MOD could ~ MOD might,1.0,1.0,inf,inf
MOD can ~ PAST,1.0,1.0,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf
MOD VB ~ PRES,0.33,3.0,inf,inf
PAST PERF ~ PRES,1.0,inf,3.0,3.0
IMPV ~ PAST,3.0,1.0,inf,3.0
MOD should ~ PAST,0.0,inf,inf,inf
HAB used to,1.0,1.0,inf,inf
IMPV ~ MOD lest,1.0,1.0,inf,inf
MOD let ~ MOD may,1.0,3.0,3.0,inf
FUT ~ PRES PROG,0.5,inf,2.0,inf
MOD shall ~ PRES PERF,2.0,0.5,inf,inf
MOD would ~ PRES PART,0.5,inf,2.0,inf
FUT ~ MOD that be,inf,0.0,inf,inf
MOD can ~ MOD let,2.0,2.0,2.0,inf
PAST PROG,2.0,0.5,inf,inf
MOD can ~ MOD might,0.5,2.0,inf,inf
MOD lest ~ MOD would,2.0,0.5,inf,inf
MOD could ~ MOD must,0.0,inf,inf,inf
MOD could ~ MOD should,0.0,inf,inf,inf
IMPV ~ MOD is to,0.5,inf,2.0,inf
PRES PART ~ PRES PERF,0.5,2.0,inf,inf
MOD may ~ MOD might,0.5,2.0,inf,inf
FUT PROG ~ PRES,0.5,2.0,inf,inf
MOD is to ~ PRES PART,2.0,inf,0.5,inf
PRES ~ PRES do,inf,0.0,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf
MOD lest ~ MOD should,0.0,inf,inf,inf
MOD should ~ PRES PERF,1.0,inf,inf,1.0
MOD lest ~ MOD shall,1.0,1.0,inf,inf
IMPV ~ MOD should,0.0,inf,inf,inf
MOD is to ~ TO INF,1.0,inf,1.0,inf
MOD let ~ PAST,inf,1.0,1.0,inf
MOD need not ~ PRES,1.0,inf,1.0,inf
MOD need not ~ MOD shall,1.0,1.0,inf,inf
MOD let ~ TO INF,inf,1.0,inf,1.0
MOD can ~ MOD must,1.0,inf,1.0,inf
PAST PROG ~ PRES,1.0,1.0,inf,inf
MOD could ~ TO INF,inf,0.0,inf,inf
MOD may ~ PRES PERF,0.0,inf,inf,inf
PRES PROG,1.0,1.0,inf,inf
MOD must ~ MOD should,inf,1.0,inf,1.0
PRES ~ PRES can,0.0,inf,inf,inf
PRES PART ~ PRES PROG,0.0,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf
FUT PERF ~ PRES,0.0,inf,inf,inf
HAB used to ~ MOD would,0.0,inf,inf,inf
PRES ~ PRES shall,0.0,inf,inf,inf
HAB used to ~ PRES,0.0,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,0.0,inf
