eng_TAMsimp,x,Wx,Ø,W
PRES,1.64,4.92,6.67,25.73
FUT,1.94,3.97,6.17,14.0
FUT ~ MOD shall,2.03,2.85,9.15,20.8
IMPV,1.59,3.25,22.26,50.08
IMPV ~ MOD shall,1.61,3.02,21.12,inf
PAST,2.43,3.96,3.66,15.96
FUT ~ PRES,1.86,3.43,8.25,20.43
MOD let,6.12,10.49,1.99,4.17
MOD must ~ MOD shall,1.72,3.56,7.51,169.0
MOD may,2.23,6.52,10.19,3.33
MOD is to ~ MOD shall,1.67,3.59,8.91,98.0
MOD can,1.45,3.75,24.55,270.0
MOD shall,1.45,5.37,8.46,220.0
MOD shall ~ PRES,1.65,4.29,7.14,50.0
FUT ~ MOD may,2.53,4.62,7.88,3.83
MOD would,1.62,6.67,6.0,15.0
IMPV ~ MOD let,3.86,5.33,2.73,5.33
PAST ~ PRES,1.98,5.05,4.44,13.88
MOD let ~ MOD may,6.12,10.4,1.86,4.95
PRES ~ PRES PART,1.6,4.8,8.0,24.0
PRES ~ PRES PERF,1.44,6.29,8.0,44.0
MOD should,1.32,6.92,20.75,20.75
FUT ~ MOD lest,1.47,3.13,inf,inf
MOD can ~ PRES,1.37,4.18,35.5,inf
TO INF,3.09,4.73,6.45,3.23
FUT ~ MOD can,1.6,3.05,64.0,32.0
MOD may ~ PRES,1.72,6.2,6.89,8.86
PRES PERF,1.42,6.78,8.71,30.5
MOD may ~ MOD shall,2.07,3.05,8.29,14.5
IMPV ~ PRES,2.5,2.39,6.11,55.0
MOD can ~ MOD may,2.38,4.55,inf,2.78
PRES PART,2.04,3.06,6.13,49.0
PRES ~ TO INF,1.96,5.0,6.43,7.5
MOD should ~ PRES,1.5,4.09,45.0,15.0
MOD can ~ MOD shall,1.38,4.4,inf,22.0
FUT ~ MOD would,1.5,5.25,10.5,21.0
MOD must,1.52,5.43,9.5,19.0
MOD shall ~ TO INF,1.81,3.45,19.0,9.5
MOD could,1.36,4.75,inf,19.0
PAST ~ PRES PERF,2.36,8.25,2.75,11.0
MOD may ~ TO INF,4.71,33.0,inf,1.32
MOD shall ~ MOD should,1.19,6.2,inf,inf
IMPV ~ MOD may,2.31,3.75,7.5,6.0
FUT ~ TO INF,2.64,3.22,5.8,7.25
MOD would ~ PAST,4.14,2.07,3.62,inf
MOD would ~ PRES,1.35,7.67,11.5,23.0
FUT ~ IMPV,3.83,3.83,2.88,7.67
MOD let ~ PRES,3.67,7.33,2.2,7.33
PAST ~ PRES PART,2.1,3.0,21.0,7.0
FUT ~ MOD let,3.5,7.0,2.62,5.25
MOD shall ~ PRES PART,1.67,4.0,10.0,20.0
MOD should ~ TO INF,1.19,9.5,inf,19.0
MOD must ~ PRES,1.38,3.6,inf,inf
FUT ~ PRES PART,1.89,5.67,4.25,17.0
MOD let ~ TO INF,inf,17.0,5.67,1.31
MOD lest ~ MOD may,1.45,3.2,inf,inf
PRES ~ PRES PROG,1.45,5.33,8.0,inf
MOD let ~ MOD shall,2.5,7.5,2.5,15.0
FUT ~ PAST,3.0,2.14,15.0,7.5
IMPV ~ MOD must,1.4,7.0,7.0,inf
MOD lest ~ PRES,1.4,3.5,inf,inf
MOD shall ~ PAST,1.56,3.5,14.0,inf
MOD should ~ MOD would,2.33,3.5,7.0,7.0
PAST ~ TO INF,1.62,6.5,6.5,13.0
FUT ~ MOD should,1.33,4.0,inf,inf
HAB used to ~ PAST,1.33,4.0,inf,inf
MOD might,1.38,11.0,5.5,inf
MOD may ~ MOD must,2.2,2.75,11.0,11.0
IMPV ~ MOD can,5.5,1.22,inf,inf
MOD is to,1.0,inf,inf,inf
PAST ~ PAST PERF,1.67,3.33,10.0,inf
MOD let ~ MOD must,9.0,2.25,3.0,9.0
MOD was to ~ PAST,1.12,inf,inf,9.0
MOD is to ~ MOD let,1.8,4.5,9.0,9.0
MOD can ~ MOD should,1.0,inf,inf,inf
MOD let ~ PAST,8.0,8.0,1.6,8.0
MOD let ~ MOD should,1.33,inf,8.0,8.0
MOD can ~ MOD could,2.0,2.67,8.0,inf
IMPV ~ PAST,3.5,1.75,inf,7.0
MOD could ~ MOD would,1.75,3.5,7.0,inf
IMPV ~ MOD should,1.75,2.33,inf,inf
FUT ~ MOD must,2.33,2.33,7.0,inf
MOD lest,1.4,inf,inf,3.5
MOD should ~ MOD was to,1.17,inf,7.0,inf
PAST PERF,3.5,1.75,7.0,inf
IMPV ~ PRES PART,2.33,1.75,inf,inf
MOD might ~ MOD would,2.33,3.5,inf,3.5
IMPV ~ TO INF,3.5,1.4,inf,inf
FUT ~ FUT going-to,1.2,inf,inf,6.0
PRES PART ~ TO INF,3.0,2.0,6.0,inf
MOD lest ~ MOD might,1.0,inf,inf,inf
MOD could ~ PAST,2.0,2.0,inf,inf
FUT ~ PRES PERF,1.5,inf,3.0,inf
MOD can ~ TO INF,2.0,3.0,inf,6.0
MOD is to ~ MOD may,1.2,6.0,inf,inf
MOD may ~ PRES PART,6.0,2.0,inf,3.0
MOD could ~ MOD might,3.0,3.0,6.0,6.0
FUT going-to ~ MOD shall,1.2,inf,inf,6.0
MOD shall ~ MOD would,1.2,6.0,inf,inf
?VB ~ MOD let,1.0,inf,inf,inf
PAST ~ PAST PROG,2.0,2.0,inf,inf
MOD can ~ PRES PART,2.5,1.67,inf,inf
MOD VB ~ MOD may,2.5,2.5,5.0,inf
MOD is to ~ MOD must,1.25,inf,5.0,inf
MOD might ~ TO INF,1.67,5.0,inf,5.0
MOD can ~ MOD let,2.5,2.5,5.0,inf
MOD lest ~ TO INF,1.0,inf,inf,inf
MOD would ~ TO INF,1.25,5.0,inf,inf
MOD let ~ PRES PART,2.5,1.67,inf,inf
MOD might ~ PAST,5.0,inf,5.0,1.67
MOD was to,2.5,1.67,inf,inf
MOD might ~ MOD should,1.67,5.0,5.0,inf
MOD should ~ PAST,1.0,inf,inf,inf
MOD VB ~ PRES,1.33,4.0,inf,inf
