,Main,SubAdv,SubMod
PAST,30.21,-30.92,-0.0
PAST ~ PRES PART,-0.13,0.13,0.0
PAST ~ PAST PERF,-3.18,3.24,0.0
PRES PERF,-3.27,3.33,0.0
PRES,-5.04,5.11,0.0
?PAST ~ PAST,-0.0,0.0,0.0
PAST ~ PRES PERF,-15.53,15.67,0.0
?PAST,0.19,-0.19,0.0
PAST ~ PRES,-4.15,4.2,0.0
PAST ~ TO INF,-0.0,0.0,0.0
PAST PERF,-3.13,3.16,0.0
PRES ~ PRES PERF,-0.38,0.38,0.0
PAST ~ PAST PROG,-0.52,0.53,0.0
PRES PART,-3.47,3.5,0.0
FUT ~ PRES,-0.0,0.0,0.0
?PRES,-0.0,0.0,0.0
?PRES ~ PRES,-0.8,0.81,0.0
MOD would,-0.0,0.0,0.0
MOD could ~ PAST,-0.0,0.0,0.0
TO INF,-2.24,2.25,0.0
?VB ~ PAST,-0.0,0.0,0.0
?PRES ~ PAST,-0.0,0.0,0.0
FUT ~ PAST,-0.0,0.0,0.0
?PAST ~ PRES PART,-0.0,0.0,0.0
PAST PROG,-0.0,0.0,0.0
?VB,-0.0,0.0,0.0
PRES PART ~ PRES PERF,-4.66,4.69,0.0
FUT ~ PRES PERF,-0.0,0.0,0.0
PAST PERF ~ PRES PERF,-0.0,0.0,0.0
MOD would ~ PAST,-0.0,0.0,0.0
?PAST did not ~ PAST,-0.0,0.0,0.0
PRES ~ PRES PART,-0.0,0.0,0.0
PRES ~ PRES PROG,-0.0,0.0,0.0
?TO INF ~ PAST,-0.0,0.0,0.0
MOD let ~ PAST,-0.0,0.0,0.0
?PAST ~ PRES,-0.0,0.0,0.0
?PAST ~ ?VB,-1.41,1.42,0.0
PRES ~ TO INF,-0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.0,0.0
MOD let,-0.0,0.0,0.0
FUT ~ MOD shall,-0.0,0.0,0.0
PAST PERF ~ PRES PART,-1.41,1.42,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0
??PAST,-0.0,0.0,0.0
?PRES PERF ~ PRES,-0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0,0.0
?PAST ~ IMPV,-0.0,0.0,0.0
?VB ~ PRES,-0.0,0.0,0.0
?VB ~ PRES PERF,-0.0,0.0,0.0
FUT,-0.0,0.0,0.0
?PRES ~ ?PRES PERF,-0.0,0.0,0.0
?PRES ~ PRES PERF,-1.58,1.59,0.0
?FUT ~ PAST,-0.0,0.0,0.0
?PRES PERF,-0.0,0.0,0.0
MOD can ~ PRES,-0.0,0.0,0.0
??VB ~ ?PAST question,-0.0,0.0,0.0
MOD may ~ PAST,-0.0,0.0,0.0
?PRES ~ PRES PART,-0.0,0.0,0.0
?PAST wh-question,-0.0,0.0,0.0
?PAST wh-question ~ ?PRES,-0.0,0.0,0.0
?PAST question,-0.0,0.0,0.0
?PAST do-support ~ PAST,-0.0,0.0,0.0
?PAST wh-question ~ MOD let,-0.0,0.0,0.0
?PAST did not ~ TO INF,-0.0,0.0,0.0
?PAST wh-question ~ PAST,-0.0,0.0,0.0
?PAST wh-question ~ TO INF,-0.0,0.0,0.0
?PAST ~ ?TO INF,-0.0,0.0,0.0
?MOD would ~ PAST,-0.0,0.0,0.0
?PAST did not ~ ?PAST question,-0.0,0.0,0.0
?PAST PERF ~ PAST PERF,-0.0,0.0,0.0
?MOD would,-0.0,0.0,0.0
?MOD let ~ PAST,-0.0,0.0,0.0
?FUT ~ PRES PART,-0.0,0.0,0.0
?FUT ~ PRES,-0.0,0.0,0.0
?FUT ~ ?PRES,-0.0,0.0,0.0
??VB ~ PRES PERF,-0.0,0.0,0.0
??VB ~ PRES,-0.0,0.0,0.0
??VB ~ PAST,-0.0,0.0,0.0
??PRES ~ PAST,-0.0,0.0,0.0
??PAST ~ PAST,-0.0,0.0,0.0
??PAST ~ ?TO INF,-0.0,0.0,0.0
??PAST ~ ?PAST,-0.0,0.0,0.0
PRES PERF PROG,-0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0
