eng_TAMsimp,Main,SubAdv,SubMod
PAST,0.01,134.17,3738.67
PAST ~ PRES PART,0.02,62.33,inf
PAST ~ PAST PERF,0.05,19.22,inf
PRES PERF,0.05,18.67,inf
PRES,0.07,13.73,inf
?PAST ~ PAST,0.01,123.0,inf
PAST ~ PRES PERF,0.2,4.89,inf
?PAST,0.0,inf,inf
PAST ~ PRES,0.1,10.14,inf
PAST ~ TO INF,0.0,inf,inf
PAST PERF,0.1,10.0,inf
PRES ~ PRES PERF,0.03,40.0,inf
PAST ~ PAST PROG,0.04,26.0,inf
PRES PART,0.18,5.5,inf
FUT ~ PRES,0.0,inf,inf
?PRES,0.0,inf,inf
?PRES ~ PRES,0.08,12.0,inf
MOD would,0.0,inf,inf
MOD could ~ PAST,0.0,inf,inf
TO INF,0.29,3.5,inf
?VB ~ PAST,0.0,inf,inf
?PRES ~ PAST,0.0,inf,inf
FUT ~ PAST,0.0,inf,inf
?PAST ~ PRES PART,0.0,inf,inf
PAST PROG,0.0,inf,inf
?VB,0.0,inf,inf
PRES PART ~ PRES PERF,1.5,0.67,inf
FUT ~ PRES PERF,0.0,inf,inf
PAST PERF ~ PRES PERF,0.0,inf,inf
MOD would ~ PAST,0.0,inf,inf
?PAST did not ~ PAST,0.0,inf,inf
PRES ~ PRES PART,0.0,inf,inf
PRES ~ PRES PROG,0.0,inf,inf
?TO INF ~ PAST,0.0,inf,inf
MOD let ~ PAST,0.0,inf,inf
?PAST ~ PRES,0.0,inf,inf
?PAST ~ ?VB,0.5,2.0,inf
PRES ~ TO INF,0.0,inf,inf
IMPV ~ PAST,0.0,inf,inf
MOD let,0.0,inf,inf
FUT ~ MOD shall,0.0,inf,inf
PAST PERF ~ PRES PART,0.5,2.0,inf
PRES PERF ~ TO INF,0.0,inf,inf
??PAST,0.0,inf,inf
?PRES PERF ~ PRES,0.0,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf
?PAST ~ IMPV,0.0,inf,inf
?VB ~ PRES,0.0,inf,inf
?VB ~ PRES PERF,0.0,inf,inf
FUT,0.0,inf,inf
?PRES ~ ?PRES PERF,0.0,inf,inf
?PRES ~ PRES PERF,1.0,1.0,inf
?FUT ~ PAST,0.0,inf,inf
?PRES PERF,0.0,inf,inf
MOD can ~ PRES,0.0,inf,inf
??VB ~ ?PAST question,0.0,inf,inf
MOD may ~ PAST,0.0,inf,inf
?PRES ~ PRES PART,0.0,inf,inf
?PAST wh-question,0.0,inf,inf
?PAST wh-question ~ ?PRES,0.0,inf,inf
?PAST question,0.0,inf,inf
?PAST do-support ~ PAST,0.0,inf,inf
?PAST wh-question ~ MOD let,0.0,inf,inf
?PAST did not ~ TO INF,0.0,inf,inf
?PAST wh-question ~ PAST,0.0,inf,inf
?PAST wh-question ~ TO INF,0.0,inf,inf
?PAST ~ ?TO INF,0.0,inf,inf
?MOD would ~ PAST,0.0,inf,inf
?PAST did not ~ ?PAST question,0.0,inf,inf
?PAST PERF ~ PAST PERF,0.0,inf,inf
?MOD would,0.0,inf,inf
?MOD let ~ PAST,0.0,inf,inf
?FUT ~ PRES PART,0.0,inf,inf
?FUT ~ PRES,0.0,inf,inf
?FUT ~ ?PRES,0.0,inf,inf
??VB ~ PRES PERF,0.0,inf,inf
??VB ~ PRES,0.0,inf,inf
??VB ~ PAST,0.0,inf,inf
??PRES ~ PAST,0.0,inf,inf
??PAST ~ PAST,0.0,inf,inf
??PAST ~ ?TO INF,0.0,inf,inf
??PAST ~ ?PAST,0.0,inf,inf
PRES PERF PROG,0.0,inf,inf
MOD let ~ PRES PART,0.0,inf,inf
PRES PART ~ TO INF,0.0,inf,inf
?PAST ~ PAST PERF,0.0,inf,inf
MOD may,0.0,inf,inf
MOD let ~ MOD may,0.0,inf,inf
MOD is to ~ PRES PERF,0.0,inf,inf
MOD may ~ PRES,0.0,inf,inf
MOD could ~ MOD might,0.0,inf,inf
IMPV ~ PRES PART,0.0,inf,inf
IMPV ~ PRES,inf,0.0,inf
MOD might ~ PRES PERF,inf,0.0,inf
MOD must ~ PAST,inf,0.0,inf
MOD must ~ PRES,0.0,inf,inf
MOD should ~ MOD would,0.0,inf,inf
FUT ~ MOD would,0.0,inf,inf
MOD should ~ PRES,0.0,inf,inf
MOD should ~ TO INF,0.0,inf,inf
MOD would ~ PRES,0.0,inf,inf
?TO INF ~ PRES,0.0,inf,inf
?TO INF,0.0,inf,inf
?PRES ~ TO INF,0.0,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf
?PRES ~ FUT,0.0,inf,inf
?PRES ~ ?VB,0.0,inf,inf
?PRES PERF ~ PAST,0.0,inf,inf
MOD let ~ PRES,0.0,inf,inf
?PAST ~ PRES PERF,0.0,inf,inf
PAST PROG ~ PRES PERF PROG,0.0,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf
PAST PROG ~ PRES PERF,0.0,inf,inf
