,Main,SubAdv,SubMod
PAST,6.98,0.14,inf
PAST ~ PRES PART,0.82,1.23,0.0
PAST ~ PAST PERF,0.24,4.16,0.0
PRES PERF,0.24,4.29,0.0
PRES,0.17,5.92,0.0
?PAST ~ PAST,1.64,0.62,0.0
PAST ~ PRES PERF,0.06,17.58,0.0
?PAST,inf,0.0,0.0
PAST ~ PRES,0.13,7.85,0.0
PAST ~ TO INF,inf,0.0,0.0
PAST PERF,0.13,7.88,0.0
PRES ~ PRES PERF,0.53,1.92,0.0
PAST ~ PAST PROG,0.34,2.96,0.0
PRES PART,0.07,14.27,0.0
FUT ~ PRES,inf,0.0,0.0
?PRES,inf,0.0,0.0
?PRES ~ PRES,0.16,6.43,0.0
MOD would,inf,0.0,0.0
MOD could ~ PAST,inf,0.0,0.0
TO INF,0.05,22.17,0.0
?VB ~ PAST,inf,0.0,0.0
?PRES ~ PAST,inf,0.0,0.0
FUT ~ PAST,inf,0.0,0.0
?PAST ~ PRES PART,inf,0.0,0.0
PAST PROG,inf,0.0,0.0
?VB,inf,0.0,0.0
PRES PART ~ PRES PERF,0.01,117.18,0.0
FUT ~ PRES PERF,inf,0.0,0.0
PAST PERF ~ PRES PERF,inf,0.0,0.0
MOD would ~ PAST,inf,0.0,0.0
?PAST did not ~ PAST,inf,0.0,0.0
PRES ~ PRES PART,inf,0.0,0.0
PRES ~ PRES PROG,inf,0.0,0.0
?TO INF ~ PAST,inf,0.0,0.0
MOD let ~ PAST,inf,0.0,0.0
?PAST ~ PRES,inf,0.0,0.0
?PAST ~ ?VB,0.03,38.58,0.0
PRES ~ TO INF,inf,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0
MOD let,inf,0.0,0.0
FUT ~ MOD shall,inf,0.0,0.0
PAST PERF ~ PRES PART,0.03,38.58,0.0
PRES PERF ~ TO INF,inf,0.0,0.0
??PAST,inf,0.0,0.0
?PRES PERF ~ PRES,inf,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0
?VB ~ PRES,inf,0.0,0.0
?VB ~ PRES PERF,inf,0.0,0.0
FUT,inf,0.0,0.0
?PRES ~ ?PRES PERF,inf,0.0,0.0
?PRES ~ PRES PERF,0.01,77.17,0.0
?FUT ~ PAST,inf,0.0,0.0
?PRES PERF,inf,0.0,0.0
MOD can ~ PRES,inf,0.0,0.0
??VB ~ ?PAST question,inf,0.0,0.0
MOD may ~ PAST,inf,0.0,0.0
?PRES ~ PRES PART,inf,0.0,0.0
?PAST wh-question,inf,0.0,0.0
?PAST wh-question ~ ?PRES,inf,0.0,0.0
?PAST question,inf,0.0,0.0
?PAST do-support ~ PAST,inf,0.0,0.0
?PAST wh-question ~ MOD let,inf,0.0,0.0
?PAST did not ~ TO INF,inf,0.0,0.0
?PAST wh-question ~ PAST,inf,0.0,0.0
?PAST wh-question ~ TO INF,inf,0.0,0.0
?PAST ~ ?TO INF,inf,0.0,0.0
?MOD would ~ PAST,inf,0.0,0.0
?PAST did not ~ ?PAST question,inf,0.0,0.0
?PAST PERF ~ PAST PERF,inf,0.0,0.0
?MOD would,inf,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0
?FUT ~ PRES PART,inf,0.0,0.0
?FUT ~ PRES,inf,0.0,0.0
?FUT ~ ?PRES,inf,0.0,0.0
??VB ~ PRES PERF,inf,0.0,0.0
??VB ~ PRES,inf,0.0,0.0
??VB ~ PAST,inf,0.0,0.0
??PRES ~ PAST,inf,0.0,0.0
??PAST ~ PAST,inf,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0
PRES PERF PROG,inf,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0
PRES PART ~ TO INF,inf,0.0,0.0
?PAST ~ PAST PERF,inf,0.0,0.0
MOD may,inf,0.0,0.0
MOD let ~ MOD may,inf,0.0,0.0
MOD is to ~ PRES PERF,inf,0.0,0.0
MOD may ~ PRES,inf,0.0,0.0
MOD could ~ MOD might,inf,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0
IMPV ~ PRES,0.0,inf,0.0
MOD might ~ PRES PERF,0.0,inf,0.0
MOD must ~ PAST,0.0,inf,0.0
MOD must ~ PRES,inf,0.0,0.0
MOD should ~ MOD would,inf,0.0,0.0
FUT ~ MOD would,inf,0.0,0.0
MOD should ~ PRES,inf,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0
?TO INF ~ PRES,inf,0.0,0.0
?TO INF,inf,0.0,0.0
?PRES ~ TO INF,inf,0.0,0.0
PAST PERF ~ TO INF,inf,0.0,0.0
PAST PROG ~ PRES PART,inf,0.0,0.0
?PRES ~ FUT,inf,0.0,0.0
?PRES ~ ?VB,inf,0.0,0.0
?PRES PERF ~ PAST,inf,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0
?PAST ~ PRES PERF,inf,0.0,0.0
PAST PROG ~ PRES PERF PROG,inf,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0
PAST PROG ~ PRES PERF,inf,0.0,0.0
