eng_TAMsimp,p3,p2,p1
FUT,2.09,16.05,0.62
FUT ~ MOD shall,0.21,5.44,52.1
PRES,0.45,4.07,7.79
IMPV ~ MOD shall,12.93,0.08,inf
IMPV,171.0,0.01,inf
MOD is to ~ MOD shall,0.15,6.7,inf
PAST,0.35,16.17,4.02
MOD shall,0.15,7.54,67.33
MOD must ~ MOD shall,0.26,3.94,152.0
FUT ~ PRES,0.57,3.78,5.47
MOD may,1.2,1.28,8.43
PAST ~ PRES,0.07,63.0,20.33
MOD shall ~ PRES,0.4,3.31,17.67
FUT ~ MOD may,0.23,9.8,9.8
PRES PERF,0.59,2.5,10.67
MOD shall ~ TO INF,0.4,2.5,inf
PRES ~ PRES PART,0.17,5.75,inf
PRES ~ PRES PERF,0.3,4.2,25.0
MOD would,0.09,11.5,inf
TO INF,0.92,1.78,7.33
FUT ~ MOD lest,0.5,5.0,5.0
MOD would ~ PAST,0.04,inf,23.0
MOD may ~ TO INF,0.92,2.83,3.6
MOD may ~ PRES,0.24,6.0,20.0
MOD let,0.5,6.0,4.25
FUT ~ IMPV,1.38,1.38,5.33
PRES ~ TO INF,0.9,1.71,8.5
MOD may ~ MOD shall,0.64,2.0,17.0
PAST ~ PRES PART,0.0,inf,inf
FUT ~ TO INF,1.29,3.0,2.2
MOD shall ~ PRES PART,0.6,1.67,inf
IMPV ~ PRES,14.0,0.07,inf
IMPV ~ MOD let,0.75,1.33,inf
PRES PART,0.08,13.0,inf
IMPV ~ TO INF,inf,0.0,inf
PAST ~ PRES PERF,0.86,12.0,1.6
FUT ~ MOD let,2.0,inf,0.5
FUT ~ PRES PART,1.0,5.0,2.0
MOD can ~ MOD may,0.57,2.67,10.0
FUT ~ MOD would,0.57,10.0,2.67
MOD can ~ MOD shall,2.33,0.43,inf
MOD shall ~ PAST,0.5,2.0,inf
MOD let ~ MOD shall,0.5,3.5,8.0
MOD is to ~ PRES,0.6,1.67,inf
MOD is to ~ MOD let,0.14,7.0,inf
MOD let ~ MOD may,0.6,3.0,7.0
FUT ~ PAST,0.6,inf,1.67
MOD is to ~ PAST,0.0,inf,inf
MOD lest ~ MOD may,2.5,2.5,1.33
PAST ~ TO INF,0.17,inf,6.0
MOD lest ~ TO INF,0.4,2.5,inf
PAST ~ PAST PROG,0.0,inf,inf
MOD shall ~ PRES PERF,1.0,1.0,inf
FUT ~ PRES PERF,2.0,2.0,2.0
IMPV ~ MOD lest,1.5,4.0,1.5
MOD shall ~ MOD would,1.5,inf,0.67
MOD may ~ MOD must,0.25,inf,4.0
MOD can,0.25,inf,4.0
MOD would ~ PRES,0.67,4.0,4.0
IMPV ~ PAST,inf,0.0,inf
MOD should ~ PRES,0.0,inf,inf
HAB used to ~ PAST,0.0,inf,inf
IMPV ~ MOD may,1.0,1.0,inf
IMPV ~ MOD must,inf,0.0,inf
PAST PERF,0.33,inf,3.0
MOD shall ~ MOD should,3.0,3.0,1.0
FUT ~ MOD can,0.33,3.0,inf
MOD let ~ TO INF,0.33,inf,3.0
FUT ~ FUT PERF,inf,3.0,0.33
MOD should,0.33,3.0,inf
MOD could ~ MOD may,0.0,inf,inf
PAST ~ PAST PERF,0.0,inf,inf
