eng_TAMsimp,p3,p2,p1
FUT,0.32,0.06,0.62
FUT ~ MOD shall,0.83,0.16,0.02
PRES,0.69,0.2,0.11
IMPV ~ MOD shall,0.07,0.93,0.0
IMPV,0.01,0.99,0.0
MOD is to ~ MOD shall,0.87,0.13,0.0
PAST,0.74,0.06,0.2
MOD shall,0.87,0.12,0.01
MOD must ~ MOD shall,0.79,0.2,0.01
FUT ~ PRES,0.64,0.21,0.15
MOD may,0.45,0.44,0.11
PAST ~ PRES,0.94,0.02,0.05
MOD shall ~ PRES,0.71,0.23,0.05
FUT ~ MOD may,0.81,0.09,0.09
PRES PERF,0.63,0.29,0.09
MOD shall ~ TO INF,0.71,0.29,0.0
PRES ~ PRES PART,0.85,0.15,0.0
PRES ~ PRES PERF,0.77,0.19,0.04
MOD would,0.92,0.08,0.0
TO INF,0.52,0.36,0.12
FUT ~ MOD lest,0.67,0.17,0.17
MOD would ~ PAST,0.96,0.0,0.04
MOD may ~ TO INF,0.52,0.26,0.22
MOD may ~ PRES,0.81,0.14,0.05
MOD let,0.67,0.14,0.19
FUT ~ IMPV,0.42,0.42,0.16
PRES ~ TO INF,0.53,0.37,0.11
MOD may ~ MOD shall,0.61,0.33,0.06
PAST ~ PRES PART,1.0,0.0,0.0
FUT ~ TO INF,0.44,0.25,0.31
MOD shall ~ PRES PART,0.62,0.38,0.0
IMPV ~ PRES,0.07,0.93,0.0
IMPV ~ MOD let,0.57,0.43,0.0
PRES PART,0.93,0.07,0.0
IMPV ~ TO INF,0.0,1.0,0.0
PAST ~ PRES PERF,0.54,0.08,0.38
FUT ~ MOD let,0.33,0.0,0.67
FUT ~ PRES PART,0.5,0.17,0.33
MOD can ~ MOD may,0.64,0.27,0.09
FUT ~ MOD would,0.64,0.09,0.27
MOD can ~ MOD shall,0.3,0.7,0.0
MOD shall ~ PAST,0.67,0.33,0.0
MOD let ~ MOD shall,0.67,0.22,0.11
MOD is to ~ PRES,0.62,0.38,0.0
MOD is to ~ MOD let,0.88,0.12,0.0
MOD let ~ MOD may,0.62,0.25,0.12
FUT ~ PAST,0.62,0.0,0.38
MOD is to ~ PAST,1.0,0.0,0.0
MOD lest ~ MOD may,0.29,0.29,0.43
PAST ~ TO INF,0.86,0.0,0.14
MOD lest ~ TO INF,0.71,0.29,0.0
PAST ~ PAST PROG,1.0,0.0,0.0
MOD shall ~ PRES PERF,0.5,0.5,0.0
FUT ~ PRES PERF,0.33,0.33,0.33
IMPV ~ MOD lest,0.4,0.2,0.4
MOD shall ~ MOD would,0.4,0.0,0.6
MOD may ~ MOD must,0.8,0.0,0.2
MOD can,0.8,0.0,0.2
MOD would ~ PRES,0.6,0.2,0.2
IMPV ~ PAST,0.0,1.0,0.0
MOD should ~ PRES,1.0,0.0,0.0
HAB used to ~ PAST,1.0,0.0,0.0
IMPV ~ MOD may,0.5,0.5,0.0
IMPV ~ MOD must,0.0,1.0,0.0
PAST PERF,0.75,0.0,0.25
MOD shall ~ MOD should,0.25,0.25,0.5
FUT ~ MOD can,0.75,0.25,0.0
MOD let ~ TO INF,0.75,0.0,0.25
FUT ~ FUT PERF,0.0,0.25,0.75
MOD should,0.75,0.25,0.0
MOD could ~ MOD may,1.0,0.0,0.0
PAST ~ PAST PERF,1.0,0.0,0.0
MOD can ~ PRES,1.0,0.0,0.0
MOD should ~ TO INF,0.67,0.33,0.0
IMPV ~ MOD would,1.0,0.0,0.0
MOD VB ~ PRES,1.0,0.0,0.0
MOD is to ~ TO INF,1.0,0.0,0.0
HAB used to ~ MOD would,1.0,0.0,0.0
HAB used to,1.0,0.0,0.0
MOD was to,1.0,0.0,0.0
FUT ~ FUT going-to,0.0,0.0,1.0
IMPV ~ MOD is to,0.0,1.0,0.0
MOD that be ~ TO INF,1.0,0.0,0.0
MOD was to ~ PAST,1.0,0.0,0.0
PRES ~ PRES PROG,0.0,1.0,0.0
FUT ~ MOD must,1.0,0.0,0.0
IMPV ~ PRES PART,0.0,1.0,0.0
MOD would ~ PRES PART,1.0,0.0,0.0
FUT going-to ~ MOD shall,0.0,1.0,0.0
PRES PART ~ PRES PERF,1.0,0.0,0.0
MOD may ~ PRES PART,0.5,0.5,0.0
MOD can ~ MOD let,1.0,0.0,0.0
MOD lest ~ MOD might,1.0,0.0,0.0
MOD may ~ MOD should,1.0,0.0,0.0
MOD let ~ PRES,0.5,0.0,0.5
MOD must ~ PRES,1.0,0.0,0.0
MOD let ~ MOD must,0.5,0.5,0.0
MOD lest ~ PRES PART,0.0,1.0,0.0
MOD lest ~ MOD must,1.0,0.0,0.0
MOD must ~ PRES PART,0.5,0.5,0.0
MOD is to ~ MOD may,0.0,1.0,0.0
MOD let ~ PRES PART,0.0,0.0,1.0
MOD should ~ MOD would,1.0,0.0,0.0
MOD let ~ MOD should,0.0,0.0,1.0
MOD let ~ MOD would,0.0,1.0,0.0
MOD can ~ TO INF,1.0,0.0,0.0
MOD would ~ PRES PROG,0.0,1.0,0.0
FUT ~ MOD is to,1.0,0.0,0.0
FUT ~ MOD VB,1.0,0.0,0.0
MOD ~ MOD would,1.0,0.0,0.0
MOD would ~ TO INF,1.0,0.0,0.0
MOD must,1.0,0.0,0.0
FUT ~ FUT PROG,0.0,1.0,0.0
MOD might ~ MOD would,0.0,0.0,1.0
PAST PROG ~ TO INF,1.0,0.0,0.0
FUT PROG,1.0,0.0,0.0
FUT ~ MOD should,0.0,0.0,1.0
FUT ~ MOD that be,1.0,0.0,0.0
PAST PERF ~ PRES PART,1.0,0.0,0.0
MOD could,0.0,0.0,1.0
PRES PERF ~ TO INF,0.0,1.0,0.0
MOD let ~ MOD might,1.0,0.0,0.0
MOD might,1.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,1.0
PRES ~ VB,1.0,0.0,0.0
MOD could ~ MOD would,1.0,0.0,0.0
MOD lest ~ PRES,1.0,0.0,0.0
HAB used to ~ PAST PROG,1.0,0.0,0.0
HAB used to ~ PRES PART,1.0,0.0,0.0
MOD could ~ TO INF,1.0,0.0,0.0
IMPV ~ MOD VB,0.0,1.0,0.0
MOD is to ~ MOD lest,1.0,0.0,0.0
MOD is to ~ PRES PART,1.0,0.0,0.0
MOD VB ~ MOD can,1.0,0.0,0.0
