eng_TAMsimp,Q,N
FUT ~ MOD shall,1.0,1644.0
IMPV ~ MOD shall,1.0,inf
FUT ~ PRES,1.0,inf
MOD must ~ MOD shall,1.0,inf
MOD is to ~ MOD shall,1.0,inf
MOD shall ~ PRES,1.0,inf
FUT ~ MOD may,1.0,inf
PAST ~ PRES,1.01,94.0
PRES ~ PRES PART,1.0,inf
PRES ~ PRES PERF,1.0,inf
FUT ~ MOD lest,1.0,inf
MOD can ~ PRES,1.0,inf
FUT ~ MOD can,1.0,inf
MOD may ~ MOD shall,1.0,inf
IMPV ~ PRES,1.0,inf
MOD should ~ PRES,1.0,inf
MOD can ~ MOD shall,1.0,inf
FUT ~ MOD would,1.0,inf
MOD may ~ PRES,1.0,inf
PRES ~ TO INF,1.0,inf
MOD shall ~ TO INF,1.0,inf
PAST ~ PRES PERF,1.0,inf
MOD can ~ MOD may,1.0,inf
MOD shall ~ MOD should,1.0,inf
FUT ~ TO INF,1.0,inf
MOD would ~ PRES,1.0,inf
FUT ~ IMPV,1.0,inf
MOD shall ~ PRES PART,1.0,inf
MOD must ~ PRES,1.0,inf
MOD should ~ TO INF,1.21,5.67
MOD lest ~ MOD may,1.0,inf
MOD shall ~ PAST,1.0,inf
MOD lest ~ PRES,1.0,inf
FUT ~ MOD let,1.0,inf
FUT ~ PAST,1.0,inf
PRES ~ PRES PROG,1.0,inf
IMPV ~ MOD may,1.0,inf
MOD should ~ MOD would,1.09,12.0
MOD may ~ TO INF,1.0,inf
MOD let ~ PRES,1.0,inf
FUT ~ PRES PART,1.0,inf
IMPV ~ MOD must,1.0,inf
PAST ~ PRES PART,1.0,inf
IMPV ~ MOD can,1.0,inf
FUT ~ MOD should,1.0,inf
IMPV ~ MOD let,1.0,inf
MOD let ~ MOD shall,1.0,inf
MOD may ~ MOD must,1.0,inf
MOD can ~ MOD should,1.0,inf
MOD can ~ MOD could,1.0,inf
FUT ~ MOD must,1.0,inf
PAST ~ TO INF,1.17,7.0
MOD would ~ PAST,1.0,inf
MOD could ~ PAST,1.2,6.0
MOD let ~ MOD must,1.0,inf
FUT going-to ~ MOD shall,1.0,inf
MOD could ~ MOD would,1.0,inf
FUT ~ PRES PERF,1.0,inf
MOD shall ~ MOD would,1.0,inf
HAB used to ~ PAST,1.0,inf
MOD was to ~ PAST,1.0,inf
PAST ~ PAST PERF,1.2,6.0
MOD lest ~ MOD might,1.0,inf
MOD might ~ MOD would,1.0,inf
MOD lest ~ TO INF,1.0,inf
MOD should ~ MOD was to,1.25,5.0
FUT ~ FUT going-to,1.0,inf
MOD is to ~ MOD must,1.0,inf
MOD is to ~ MOD may,1.0,inf
MOD can ~ TO INF,1.0,inf
MOD can ~ PRES PART,1.0,inf
MOD would ~ TO INF,1.25,5.0
PRES PART ~ TO INF,1.0,inf
IMPV ~ PRES PART,1.0,inf
MOD might ~ PAST,1.0,inf
MOD VB ~ PRES,1.0,inf
IMPV ~ MOD lest,1.0,inf
IMPV ~ PAST,1.0,inf
MOD can ~ PAST,1.0,inf
