eng_TAMsimp,Q,N
FUT ~ MOD shall,1.0,0.0
IMPV ~ MOD shall,1.0,0.0
FUT ~ PRES,1.0,0.0
MOD must ~ MOD shall,1.0,0.0
MOD is to ~ MOD shall,1.0,0.0
MOD shall ~ PRES,1.0,0.0
FUT ~ MOD may,1.0,0.0
IMPV ~ MOD let,1.0,0.0
MOD let ~ MOD may,1.0,0.0
PAST ~ PRES,0.99,0.01
PRES ~ PRES PART,1.0,0.0
PRES ~ PRES PERF,1.0,0.0
FUT ~ MOD lest,1.0,0.0
MOD can ~ PRES,1.0,0.0
FUT ~ MOD can,1.0,0.0
IMPV ~ PRES,1.0,0.0
MOD may ~ PRES,1.0,0.0
MOD may ~ MOD shall,1.0,0.0
MOD can ~ MOD may,1.0,0.0
MOD should ~ PRES,1.0,0.0
PRES ~ TO INF,1.0,0.0
FUT ~ MOD would,1.0,0.0
MOD can ~ MOD shall,1.0,0.0
MOD shall ~ TO INF,1.0,0.0
PAST ~ PRES PERF,1.0,0.0
MOD may ~ TO INF,1.0,0.0
MOD shall ~ MOD should,1.0,0.0
IMPV ~ MOD may,1.0,0.0
FUT ~ TO INF,1.0,0.0
FUT ~ IMPV,1.0,0.0
MOD would ~ PRES,1.0,0.0
FUT ~ MOD let,1.0,0.0
MOD shall ~ PRES PART,1.0,0.0
MOD let ~ PRES,1.0,0.0
MOD should ~ TO INF,0.83,0.17
MOD let ~ TO INF,1.0,0.0
MOD must ~ PRES,1.0,0.0
IMPV ~ MOD must,1.0,0.0
FUT ~ PRES PART,1.0,0.0
MOD lest ~ PRES,1.0,0.0
MOD lest ~ MOD may,1.0,0.0
MOD shall ~ PAST,1.0,0.0
FUT ~ PAST,1.0,0.0
PRES ~ PRES PROG,1.0,0.0
MOD should ~ MOD would,0.92,0.08
FUT ~ MOD should,1.0,0.0
PAST ~ PRES PART,1.0,0.0
IMPV ~ MOD can,1.0,0.0
MOD may ~ MOD must,1.0,0.0
MOD let ~ MOD shall,1.0,0.0
PAST ~ TO INF,0.89,0.11
