,Q,N
FUT ~ MOD shall,0.91,-0.91
IMPV ~ MOD shall,0.21,-0.21
FUT ~ PRES,-0.0,0.0
MOD must ~ MOD shall,-0.0,0.0
MOD is to ~ MOD shall,-0.0,0.0
FUT ~ MOD may,-0.0,0.0
MOD shall ~ PRES,-0.0,0.0
IMPV ~ MOD let,-0.0,0.0
MOD let ~ MOD may,-0.6,0.6
PAST ~ PRES,-0.72,0.72
PRES ~ PRES PART,-0.0,0.0
PRES ~ PRES PERF,-0.0,0.0
FUT ~ MOD lest,-0.0,0.0
MOD can ~ PRES,-0.0,0.0
MOD can ~ MOD may,-0.0,0.0
FUT ~ MOD can,-0.0,0.0
MOD may ~ PRES,-0.0,0.0
IMPV ~ PRES,-0.0,0.0
MOD may ~ MOD shall,-0.0,0.0
FUT ~ MOD would,-0.0,0.0
MOD may ~ TO INF,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
MOD can ~ MOD shall,-0.0,0.0
PRES ~ TO INF,-0.0,0.0
MOD shall ~ TO INF,-0.0,0.0
IMPV ~ MOD may,-0.0,0.0
FUT ~ MOD let,-0.0,0.0
PAST ~ PRES PERF,-0.0,0.0
MOD shall ~ MOD should,-0.0,0.0
FUT ~ TO INF,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
FUT ~ IMPV,-0.0,0.0
MOD let ~ TO INF,-0.0,0.0
MOD would ~ PRES,-0.0,0.0
MOD shall ~ PRES PART,-0.0,0.0
MOD should ~ TO INF,-5.22,5.22
MOD must ~ PRES,-0.0,0.0
FUT ~ PAST,-0.0,0.0
FUT ~ PRES PART,-0.0,0.0
MOD shall ~ PAST,-0.0,0.0
MOD let ~ MOD must,-0.0,0.0
MOD lest ~ PRES,-0.0,0.0
MOD lest ~ MOD may,-0.0,0.0
IMPV ~ MOD must,-0.0,0.0
PRES ~ PRES PROG,-0.0,0.0
IMPV ~ MOD can,-0.0,0.0
MOD let ~ MOD shall,-0.0,0.0
MOD should ~ MOD would,-1.6,1.6
IMPV ~ MOD should,-0.0,0.0
MOD may ~ MOD must,-0.0,0.0
PAST ~ PRES PART,-0.0,0.0
FUT ~ MOD should,-0.0,0.0
MOD let ~ MOD should,-0.0,0.0
MOD let ~ PAST,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
MOD is to ~ MOD let,-0.0,0.0
IMPV ~ TO INF,-0.0,0.0
PAST ~ TO INF,-1.72,1.72
MOD can ~ MOD should,-0.0,0.0
MOD can ~ MOD could,-0.0,0.0
FUT ~ MOD must,-0.0,0.0
