eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES,3.3,2.21,1.72,10.73,308.8
PAST,0.54,4.42,15.11,26.09,13.9
PRES PART,0.96,3.63,6.9,6.36,80.0
PRES ~ PRES PART,1.82,1.73,4.72,9.17,182.0
FUT,2.47,0.55,15.5,131.0,inf
PAST PROG,0.26,4.43,inf,61.5,124.0
PRES PROG,0.9,1.38,111.0,21.4,inf
PAST ~ PAST PROG,0.21,4.72,inf,inf,inf
PAST ~ PRES PART,0.54,2.92,46.0,inf,12.43
PRES ~ PRES PROG,0.96,1.84,21.0,11.57,87.0
PAST ~ PRES,2.59,2.21,2.05,19.33,29.5
FUT ~ PRES,2.0,1.0,12.5,9.8,inf
FUT ~ MOD shall,0.55,1.83,inf,inf,inf
PRES ~ PRES PERF,2.43,2.0,2.0,23.0,inf
PRES PERF,0.87,1.69,9.75,inf,inf
TO INF,2.07,0.79,9.75,inf,42.0
PAST PERF,0.07,20.5,42.0,inf,inf
PAST PROG ~ PRES PART,0.22,5.5,38.0,inf,inf
FUT ~ FUT going-to,0.89,1.12,inf,inf,inf
PAST ~ PRES PERF,1.07,1.82,6.75,30.0,inf
PAST ~ PAST PERF,0.18,12.0,inf,25.0,25.0
PRES PART ~ PRES PROG,0.39,3.17,24.0,inf,inf
FUT ~ PRES PROG,3.4,0.29,inf,inf,inf
FUT ~ PRES PART,5.0,0.64,5.0,17.0,inf
PAST ~ TO INF,0.14,15.0,inf,inf,15.0
FUT ~ TO INF,3.0,0.5,11.0,inf,inf
MOD may ~ PRES,1.4,3.0,3.0,11.0,inf
FUT going-to ~ PRES,0.83,2.67,inf,4.5,inf
MOD could ~ PAST,1.2,inf,inf,inf,0.83
PRES PART ~ TO INF,2.33,1.0,9.0,9.0,inf
FUT going-to ~ PRES PROG,4.0,0.67,inf,4.0,inf
PRES ~ TO INF,2.33,4.0,1.0,inf,inf
IMPV ~ PRES,1.67,1.67,7.0,7.0,inf
MOD is to ~ PRES,3.0,3.0,3.0,3.0,inf
MOD can ~ PRES,1.33,6.0,inf,2.5,6.0
MOD could,0.17,inf,6.0,inf,inf
PRES PART ~ PRES PERF,2.0,0.5,inf,inf,inf
MOD shall ~ PRES,4.0,1.5,4.0,4.0,inf
MOD should,0.25,4.0,inf,inf,inf
IMPV,0.67,4.0,4.0,inf,inf
MOD can,inf,0.25,inf,4.0,inf
PAST PERF ~ PAST PROG,0.67,1.5,inf,inf,inf
IMPV ~ MOD may,0.0,inf,inf,inf,inf
FUT going-to ~ MOD shall,1.0,1.0,inf,inf,inf
MOD would ~ PRES,0.0,inf,inf,inf,inf
MOD would ~ PAST,0.0,inf,inf,inf,inf
MOD would,1.0,inf,3.0,3.0,inf
FUT ~ MOD must,1.0,inf,1.0,inf,inf
MOD is to ~ MOD shall,3.0,inf,inf,1.0,3.0
PAST PROG ~ PRES,inf,3.0,1.0,3.0,inf
PAST ~ PRES PROG,inf,0.0,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf
MOD shall ~ TO INF,inf,0.5,inf,2.0,inf
PRES PERF PROG,0.5,2.0,inf,inf,inf
MOD is to ~ PRES PART,inf,0.5,inf,2.0,inf
PRES PERF ~ PRES PROG,0.5,2.0,inf,inf,inf
MOD may,2.0,inf,2.0,2.0,inf
MOD let ~ PRES,2.0,2.0,inf,2.0,inf
MOD is to,2.0,inf,0.5,inf,inf
MOD should ~ MOD would,2.0,0.5,inf,inf,inf
PRES PERF PROG ~ PRES PROG,0.5,inf,2.0,inf,inf
FUT PROG ~ PRES PART,0.0,inf,inf,inf,inf
MOD should ~ TO INF,0.0,inf,inf,inf,inf
MOD can ~ TO INF,inf,0.5,2.0,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf,inf
MOD was to ~ PAST,0.5,inf,inf,inf,2.0
PRES ~ PRES PERF PROG,2.0,0.5,inf,inf,inf
MOD can ~ MOD shall,2.0,0.5,inf,inf,inf
MOD can ~ PRES PART,0.0,inf,inf,inf,inf
MOD is to ~ TO INF,inf,inf,inf,0.0,inf
MOD let,inf,1.0,1.0,inf,inf
PRES ~ PRES PROG keep,inf,0.0,inf,inf,inf
MOD may ~ PAST,1.0,inf,1.0,inf,inf
PAST PERF PROG ~ PAST PROG,0.0,inf,inf,inf,inf
MOD was to ~ TO INF,0.0,inf,inf,inf,inf
FUT ~ MOD may,inf,inf,0.0,inf,inf
MOD must ~ MOD shall,0.0,inf,inf,inf,inf
MOD must ~ PRES,0.0,inf,inf,inf,inf
PAST PERF ~ PAST PERF PROG,0.0,inf,inf,inf,inf
PRES PART ~ PRES PERF PROG,0.0,inf,inf,inf,inf
FUT going-to ~ PRES PART,0.0,inf,inf,inf,inf
FUT ~ PAST PROG,inf,0.0,inf,inf,inf
PAST PERF ~ PRES PART,0.0,inf,inf,inf,inf
MOD may ~ TO INF,inf,inf,0.0,inf,inf
MOD was to ~ PAST PROG,0.0,inf,inf,inf,inf
PAST PERF ~ PRES,1.0,1.0,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf,inf
IMPV ~ PRES PROG,0.0,inf,inf,inf,inf
FUT ~ MOD can,inf,inf,0.0,inf,inf
HAB used to ~ PAST PERF,0.0,inf,inf,inf,inf
FUT PROG ~ MOD is to,0.0,inf,inf,inf,inf
IMPV ~ PAST,inf,inf,inf,inf,0.0
FUT ~ MOD would,inf,inf,0.0,inf,inf
FUT ~ VB,0.0,inf,inf,inf,inf
HAB used to ~ PAST,0.0,inf,inf,inf,inf
FUT ~ PAST,0.0,inf,inf,inf,inf
TO INF ~ VB,0.0,inf,inf,inf,inf
MOD can ~ MOD may,inf,0.0,inf,inf,inf
MOD could ~ PRES PART,inf,inf,inf,0.0,inf
PRES PROG ~ TO INF,inf,0.0,inf,inf,inf
PRES PROG ~ PRES PROG keep,inf,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf,inf
PRES PERF ~ PRES PERF PROG,0.0,inf,inf,inf,inf
PAST ~ VB,inf,0.0,inf,inf,inf
PAST PROG ~ TO INF,0.0,inf,inf,inf,inf
MOD would ~ PRES PROG,0.0,inf,inf,inf,inf
MOD would ~ PRES PERF,inf,0.0,inf,inf,inf
MOD was to ~ PRES PART,0.0,inf,inf,inf,inf
MOD was to,0.0,inf,inf,inf,inf
MOD that VB ~ PRES PART,0.0,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,0.0,inf,inf,inf
MOD should ~ PRES,inf,0.0,inf,inf,inf
MOD should ~ PAST,0.0,inf,inf,inf,inf
MOD should ~ MOD was to,0.0,inf,inf,inf,inf
MOD shall ~ PRES PART,inf,0.0,inf,inf,inf
MOD shall ~ PAST,0.0,inf,inf,inf,inf
MOD shall,0.0,inf,inf,inf,inf
MOD need not ~ TO INF,inf,0.0,inf,inf,inf
MOD must ~ PRES PART,0.0,inf,inf,inf,inf
MOD must,0.0,inf,inf,inf,inf
MOD might,0.0,inf,inf,inf,inf
MOD may ~ PRES PART,inf,inf,0.0,inf,inf
MOD let ~ TO INF,0.0,inf,inf,inf,inf
MOD is to ~ MOD would,0.0,inf,inf,inf,inf
MOD shall ~ PRES PERF,inf,0.0,inf,inf,inf
