,0,1
PAST,1.56,0.64
PAST ~ PRES PART,1.44,0.69
PRES,0.57,1.77
PAST ~ PAST PERF,0.72,1.39
PRES PERF,0.81,1.23
PAST ~ PRES PERF,0.5,1.99
PAST ~ PRES,1.71,0.58
PAST ~ TO INF,2.9,0.34
PAST PERF,0.08,12.01
PRES ~ PRES PERF,0.3,3.35
PAST ~ PAST PROG,0.98,1.02
PRES PART,inf,0.0
FUT ~ PRES,inf,0.0
MOD would,inf,0.0
MOD could ~ PAST,inf,0.0
TO INF,inf,0.0
FUT ~ PAST,inf,0.0
MOD let ~ PAST,inf,0.0
PRES ~ PRES PART,inf,0.0
PRES ~ TO INF,inf,0.0
PRES PART ~ PRES PERF,inf,0.0
PAST PROG,inf,0.0
PRES ~ PRES PROG,inf,0.0
MOD would ~ PAST,inf,0.0
IMPV ~ PAST,inf,0.0
FUT ~ PRES PERF,inf,0.0
PAST PERF ~ PRES PERF,inf,0.0
PAST PERF ~ PRES PART,inf,0.0
PRES PERF ~ TO INF,inf,0.0
PAST ~ VB,inf,0.0
MOD let,inf,0.0
FUT ~ MOD shall,0.07,13.34
FUT,inf,0.0
PRES PERF ~ PRES PROG,inf,0.0
MOD may ~ PAST,inf,0.0
MOD can ~ PRES,inf,0.0
PRES PERF PROG,inf,0.0
MOD is to ~ PRES PERF,inf,0.0
FUT ~ PRES PART,inf,0.0
FUT ~ MOD would,inf,0.0
PRES PART ~ TO INF,inf,0.0
IMPV ~ PRES,inf,0.0
IMPV ~ PRES PART,inf,0.0
MOD can ~ PAST,inf,0.0
MOD could ~ MOD might,inf,0.0
MOD might ~ PRES PERF,inf,0.0
PAST ~ PAST PERF PROG,inf,0.0
MOD let ~ MOD may,inf,0.0
MOD must ~ PAST,inf,0.0
MOD let ~ PRES,inf,0.0
PAST PROG ~ PRES PERF PROG,inf,0.0
PAST PROG ~ PRES PERF,0.0,inf
PAST PROG ~ PRES PART,inf,0.0
MOD let ~ PRES PART,inf,0.0
PAST PERF ~ TO INF,inf,0.0
MOD may,inf,0.0
MOD would ~ PRES,inf,0.0
MOD may ~ PRES,inf,0.0
MOD should ~ TO INF,inf,0.0
MOD should ~ PRES,inf,0.0
MOD should ~ MOD would,inf,0.0
MOD must ~ PRES,inf,0.0
??VB ~ PAST,0.0,inf
