,p3,p1,p2
PAST,63.04,-17.71,-56.48
PAST ~ PRES PART,-0.11,0.13,0.0
PAST ~ PAST PERF,2.12,-1.44,-0.72
PRES PERF,-36.52,19.77,15.26
PRES,-4.54,0.85,5.76
?PAST ~ PAST,-0.0,0.4,-0.93
PAST ~ PRES PERF,-49.27,14.89,33.9
?PAST,0.49,-0.09,-0.55
PAST ~ PRES,-3.53,0.55,4.43
PAST ~ TO INF,0.09,0.0,0.0
PAST PERF,0.74,-0.28,-0.2
PRES ~ PRES PERF,-7.3,2.46,5.73
PAST ~ PAST PROG,0.59,-0.19,0.0
PRES PART,-0.37,-0.2,1.77
FUT ~ PRES,-0.55,0.28,0.56
?PRES,-3.88,1.63,2.64
?PRES ~ PRES,-0.21,0.0,0.62
MOD would,-0.26,0.0,0.68
MOD could ~ PAST,-0.0,0.0,0.0
TO INF,-1.68,1.16,0.76
?VB ~ PAST,-2.64,1.16,1.84
?PRES ~ PAST,-2.01,0.0,3.51
FUT ~ PAST,-0.0,0.0,0.0
?PAST ~ PRES PART,-0.0,0.0,0.0
PAST PROG,-0.0,0.0,0.0
?VB,-0.52,0.65,0.0
PRES PART ~ PRES PERF,-1.37,1.66,0.0
FUT ~ PRES PERF,-3.94,2.96,0.99
PAST PERF ~ PRES PERF,-0.0,0.0,0.0
MOD would ~ PAST,-0.0,0.0,0.0
?PAST did not ~ PAST,-1.57,0.74,1.09
PRES ~ PRES PART,-0.6,0.0,1.09
PRES ~ PRES PROG,-1.57,0.0,2.59
?TO INF ~ PAST,-0.0,0.0,0.0
MOD let ~ PAST,-0.0,0.0,0.0
?PAST ~ PRES,-0.71,0.85,0.0
?PAST ~ ?VB,-0.71,0.85,0.0
PRES ~ TO INF,-0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.0,0.0
MOD let,-0.71,0.0,1.21
FUT ~ MOD shall,-0.0,0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0,0.0
PRES PERF ~ TO INF,-0.71,0.0,1.21
??PAST,-0.87,0.0,1.38
?PRES PERF ~ PRES,-2.31,2.62,0.0
PRES PERF ~ PRES PROG,-2.31,2.62,0.0
?PAST ~ IMPV,-0.0,0.0,0.0
?VB ~ PRES,-0.0,0.0,0.0
?VB ~ PRES PERF,-2.31,0.0,3.35
FUT,-0.0,0.0,0.0
?PRES ~ ?PRES PERF,-0.0,0.0,0.0
?PRES ~ PRES PERF,-0.0,0.0,0.0
?FUT ~ PAST,-0.87,1.02,0.0
?PRES PERF,-0.0,0.0,0.0
MOD can ~ PRES,-0.0,0.0,0.0
??VB ~ ?PAST question,-2.31,1.02,1.38
MOD may ~ PAST,-0.0,0.0,0.0
?PRES ~ PRES PART,-0.87,0.0,1.38
?PAST wh-question,-1.15,0.0,1.67
?PAST wh-question ~ ?PRES,-1.15,0.0,1.67
?PAST question,-0.0,0.0,0.0
?PAST do-support ~ PAST,-0.0,0.0,0.0
?PAST wh-question ~ MOD let,-1.15,0.0,1.67
?PAST did not ~ TO INF,-0.0,0.0,0.0
?PAST wh-question ~ PAST,-0.0,0.0,0.0
?PAST wh-question ~ TO INF,-0.0,0.0,0.0
?PAST ~ ?TO INF,-0.0,0.0,0.0
?MOD would ~ PAST,-0.0,0.0,0.0
?PAST did not ~ ?PAST question,-1.15,0.0,1.67
?PAST PERF ~ PAST PERF,-1.15,0.0,1.67
?MOD would,-0.0,0.0,0.0
?MOD let ~ PAST,-0.0,0.0,0.0
?FUT ~ PRES PART,-0.0,0.0,0.0
?FUT ~ PRES,-0.0,0.0,0.0
?FUT ~ ?PRES,-0.0,0.0,0.0
??VB ~ PRES PERF,-1.15,0.0,1.67
??VB ~ PRES,-1.15,0.0,1.67
??VB ~ PAST,-1.15,0.0,1.67
??PRES ~ PAST,-0.0,0.0,0.0
??PAST ~ PAST,-0.0,0.0,0.0
??PAST ~ ?TO INF,-0.0,0.0,0.0
??PAST ~ ?PAST,-0.0,0.0,0.0
PRES PERF PROG,-1.15,1.31,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0
?PAST ~ PAST PERF,-0.0,0.0,0.0
MOD may,-0.0,0.0,0.0
MOD let ~ MOD may,-0.0,0.0,0.0
MOD is to ~ PRES PERF,-0.0,0.0,0.0
MOD may ~ PRES,-0.0,0.0,0.0
MOD could ~ MOD might,-1.15,1.31,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0
IMPV ~ PRES,-1.15,0.0,1.67
MOD might ~ PRES PERF,-0.0,0.0,0.0
MOD must ~ PAST,-0.0,0.0,0.0
MOD must ~ PRES,-0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0
FUT ~ MOD would,-1.15,0.0,1.67
MOD should ~ PRES,-1.15,0.0,1.67
MOD should ~ TO INF,-0.0,0.0,0.0
MOD would ~ PRES,-0.0,0.0,0.0
?TO INF ~ PRES,-0.0,0.0,0.0
?TO INF,-1.15,0.0,1.67
?PRES ~ TO INF,-0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0
?PRES ~ FUT,-1.15,1.31,0.0
?PRES ~ ?VB,-0.0,0.0,0.0
?PRES PERF ~ PAST,-0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0
?PAST ~ PRES PERF,-0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-1.15,1.31,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0,0.0
