genre,poetry,prophetic,prose,prose,instruction,prose,prophetic,prophetic,poetry,poetry,instruction,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,prophetic,list,prophetic,list,prose,list,prophetic,list,prose,prose,list,instruction,prose,instruction,prophetic
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,D,Q,?,?,N,N,D,N,Q,N,D,D,?
person,p3,p3,p3,p2,p3,p1,p1,p2,p2,p1,p2,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p3,p3,p1,p2,p1,p3,p2,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES,2.51,4.97,11.05,20.24,9.75,43.6,45.95,28.41,17.08,20.76,61.23,15.94,266.6,177.4,82.62,91.28,40.17,242.27,190.14,891.0,2675.0,2675.0,534.2,inf,1337.0,inf,inf,2675.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,6.51,5.76,7.91,31.67,70.27,5.64,4.35,28.77,23.0,11.58,783.0,48.0,2351.0,77.4,72.5,469.4,155.8,inf,inf,122.79,inf,inf,469.4,inf,1175.0,inf,inf,inf,2351.0,inf,2351.0,inf,2351.0,inf,inf,2351.0,inf
FUT ~ MOD shall,11.75,1.38,4.41,14.32,16.65,71.79,123.79,10.97,144.58,50.38,133.38,872.5,1746.0,50.38,51.94,290.17,inf,1746.0,290.17,435.75,inf,173.7,inf,inf,inf,inf,inf,inf,1746.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,53.64,65.78,65.78,1.66,600.0,600.0,inf,2.98,2.49,inf,32.39,inf,inf,inf,600.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,600.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,600.0,inf,inf
IMPV ~ MOD shall,inf,252.5,45.09,3.41,28.82,inf,inf,19.28,inf,inf,0.76,inf,inf,inf,inf,100.4,inf,12.7,inf,inf,inf,inf,inf,inf,inf,83.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,506.0
PAST,2.89,10.17,54.88,110.75,446.0,62.86,21.35,62.86,14.96,8.12,inf,88.4,3.56,25.29,222.5,148.0,25.29,inf,446.0,inf,48.67,inf,inf,54.88,inf,inf,110.75,222.5,inf,446.0,446.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES,2.64,4.64,9.72,12.84,34.75,38.0,16.88,19.43,25.81,13.3,106.25,14.32,inf,70.5,142.0,inf,106.25,inf,inf,142.0,inf,inf,inf,inf,213.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
