eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT,0.54,2.56,19.46,50.15,inf
FUT ~ MOD shall,0.69,3.37,5.52,58.0,131.75
PRES,2.24,2.51,2.76,6.13,inf
IMPV ~ MOD shall,12.93,3.49,0.43,inf,138.33
IMPV,2.41,0.65,10.1,113.67,343.0
MOD is to ~ MOD shall,76.0,5.42,0.21,inf,153.0
PAST,4.57,0.87,12.73,4.02,67.67
MOD shall,67.33,6.32,0.18,inf,inf
MOD must ~ MOD shall,37.25,12.91,0.12,152.0,inf
FUT ~ PRES,1.39,2.06,5.88,8.17,inf
MOD may,7.25,0.83,2.0,inf,inf
PAST ~ PRES,8.14,31.0,11.8,11.8,0.42
MOD shall ~ PRES,2.11,2.73,1.55,inf,55.0
FUT ~ MOD may,1.0,2.38,3.91,inf,inf
PRES PERF,2.18,1.19,6.0,10.67,inf
MOD shall ~ TO INF,6.0,3.0,0.75,inf,27.0
PRES ~ PRES PART,3.5,2.38,2.86,12.5,5.75
PRES ~ PRES PERF,5.5,0.73,3.33,25.0,inf
MOD would,11.5,0.14,inf,inf,24.0
TO INF,2.57,0.79,5.25,inf,inf
FUT ~ MOD lest,3.8,2.0,3.8,3.0,inf
MOD would ~ PAST,11.0,0.14,inf,23.0,inf
MOD may ~ TO INF,inf,0.44,2.83,inf,22.0
MOD may ~ PRES,4.25,3.2,1.1,9.5,inf
MOD let,9.5,0.4,9.5,9.5,inf
FUT ~ IMPV,0.58,2.17,inf,18.0,inf
PRES ~ TO INF,2.17,1.71,2.17,inf,inf
MOD may ~ MOD shall,17.0,1.57,0.8,inf,inf
PAST ~ PRES PART,inf,0.89,inf,4.67,2.4
FUT ~ TO INF,1.29,1.29,15.0,15.0,inf
MOD shall ~ PRES PART,15.0,1.29,1.0,inf,inf
IMPV ~ PRES,4.0,0.5,6.5,inf,inf
IMPV ~ MOD let,inf,0.4,2.5,inf,inf
PRES PART,13.0,0.56,2.5,inf,inf
IMPV ~ TO INF,1.6,0.86,12.0,inf,inf
PAST ~ PRES PERF,0.86,2.25,inf,5.5,inf
FUT ~ MOD let,0.5,2.0,inf,inf,inf
FUT ~ PRES PART,0.71,1.4,inf,inf,inf
MOD can ~ MOD may,inf,0.22,4.5,inf,inf
