eng_TAMsimp,SBH,LBH
PRES,0.83,0.17
PAST,0.63,0.37
PRES PART,0.79,0.21
PAST PROG,0.84,0.16
PRES ~ PRES PART,0.83,0.17
PAST ~ PAST PROG,0.74,0.26
PAST ~ PRES PART,0.67,0.33
PRES PROG,0.79,0.21
PRES ~ PRES PROG,0.87,0.13
PAST PERF,0.57,0.42
FUT,0.95,0.05
FUT ~ MOD shall,0.81,0.19
PAST PROG ~ PRES PART,0.84,0.16
PAST ~ PRES,0.86,0.14
PRES PERF,0.83,0.17
PAST ~ PAST PERF,0.54,0.46
FUT ~ PRES,0.86,0.14
FUT ~ FUT going-to,0.83,0.17
PRES PART ~ PRES PROG,0.89,0.11
PRES ~ PRES PERF,0.75,0.25
PAST ~ PRES PERF,0.81,0.19
TO INF,0.6,0.4
PAST ~ TO INF,0.8,0.2
MOD could ~ PAST,0.55,0.45
FUT going-to ~ PRES,0.88,0.12
MOD could,0.5,0.5
MOD can ~ PRES,0.83,0.17
MOD may ~ PRES,0.67,0.33
FUT ~ PRES PART,1.0,0.0
FUT ~ PRES PROG,1.0,0.0
FUT going-to ~ PRES PROG,1.0,0.0
MOD is to ~ MOD shall,0.75,0.25
MOD is to ~ PRES,1.0,0.0
IMPV ~ PRES,0.5,0.5
MOD would ~ PAST,0.0,1.0
MOD would ~ PRES,0.75,0.25
MOD should,0.75,0.25
PAST ~ PAST PERF PROG,0.5,0.5
PRES PART ~ TO INF,0.5,0.5
MOD should ~ TO INF,0.0,1.0
FUT ~ TO INF,0.67,0.33
PAST PERF ~ PAST PROG,0.33,0.67
MOD would,0.67,0.33
FUT ~ MOD is to,0.67,0.33
MOD was to ~ PAST,0.67,0.33
IMPV ~ MOD may,1.0,0.0
PRES ~ TO INF,0.67,0.33
IMPV,0.67,0.33
PRES PERF PROG ~ PRES PROG,0.5,0.5
MOD may,1.0,0.0
PRES PERF PROG,0.5,0.5
MOD let ~ PRES,1.0,0.0
PAST PERF PROG ~ PAST PROG,1.0,0.0
MOD is to ~ TO INF,1.0,0.0
MOD must ~ MOD shall,0.5,0.5
PRES PART ~ PRES PERF,1.0,0.0
MOD can ~ PRES PART,1.0,0.0
PRES PART ~ PRES PERF PROG,1.0,0.0
PAST PERF ~ PRES PART,1.0,0.0
MOD must ~ PRES,1.0,0.0
PAST PERF ~ PAST PERF PROG,1.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0
FUT ~ MOD must,1.0,0.0
MOD shall ~ PRES,0.5,0.5
MOD was to ~ TO INF,0.0,1.0
MOD was to ~ PAST PROG,1.0,0.0
FUT PROG ~ PRES PART,1.0,0.0
FUT going-to ~ PRES PART,1.0,0.0
FUT ~ PAST,1.0,0.0
FUT going-to ~ MOD shall,1.0,0.0
FUT PROG ~ MOD is to,1.0,0.0
IMPV ~ PAST,0.0,1.0
HAB used to ~ PAST PERF,0.0,1.0
PRES PERF ~ PRES PERF PROG,1.0,0.0
HAB used to ~ PAST,1.0,0.0
PRES ~ PRES PERF PROG,1.0,0.0
FUT ~ FUT PROG,0.0,1.0
PRES PERF ~ TO INF,1.0,0.0
MOD can,1.0,0.0
IMPV ~ PRES PROG,1.0,0.0
MOD is to ~ MOD would,0.0,1.0
MOD can ~ MOD shall,1.0,0.0
MOD could ~ PRES PART,1.0,0.0
MOD was to ~ PRES PART,0.0,1.0
MOD was to,0.0,1.0
MOD that VB ~ PRES PART,0.0,1.0
MOD should ~ PAST,1.0,0.0
MOD should ~ MOD would,0.0,1.0
MOD should ~ MOD was to,0.0,1.0
PAST PERF ~ PRES,1.0,0.0
MOD shall ~ TO INF,1.0,0.0
MOD shall ~ PAST,1.0,0.0
MOD shall,1.0,0.0
MOD must ~ PRES PART,1.0,0.0
MOD must,1.0,0.0
MOD might,0.0,1.0
MOD may ~ PAST,1.0,0.0
MOD let ~ TO INF,1.0,0.0
MOD let,1.0,0.0
MOD is to ~ PRES PART,1.0,0.0
PAST PROG ~ PRES,1.0,0.0
MOD would ~ PRES PROG,1.0,0.0
PAST PROG ~ TO INF,1.0,0.0
MOD is to,1.0,0.0
TO INF ~ VB,0.0,1.0
