,qal,hif,piel,nif,pual,hit,hof,hotp,tif,poel,poal,nit,hsht,etpa
PAST..IND,0.78,1.41,1.06,1.06,1.4,1.61,1.27,2.65,inf,inf,0.0,0.0,0.0,inf
PRES.PERF.IND,1.04,1.14,1.39,0.45,0.41,0.73,0.3,0.61,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,1.59,0.33,0.45,1.91,1.63,0.39,1.83,0.73,0.0,0.0,0.0,inf,inf,0.0
PAST.PERF.IND,0.75,1.54,1.36,0.78,0.5,2.18,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,0.59,0.77,1.89,2.07,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,1.31,1.03,1.03,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,1.83,0.3,0.99,0.51,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,1.17,0.83,1.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,1.6,0.47,0.48,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,2.51,0.0,0.67,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.68,2.02,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
