,SBH,LBH
PAST,0.86,-0.86
PAST ~ PRES PART,-0.68,0.68
PAST ~ PAST PERF,-0.88,0.88
?PAST ~ PAST,0.44,-0.44
PRES PERF,-2.23,2.23
?PAST,-0.41,0.41
PAST ~ TO INF,-0.0,0.0
PAST ~ PRES PERF,-0.0,0.0
PAST PERF,-0.0,0.0
PAST ~ PRES,0.3,-0.3
PAST ~ PAST PROG,0.38,-0.38
PRES,-0.11,0.11
PRES PART,-0.12,0.12
PRES ~ PRES PERF,0.0,-0.0
MOD could ~ PAST,-0.66,0.66
?VB ~ PAST,0.0,-0.0
MOD would,0.22,-0.22
?PAST ~ PRES PART,-0.23,0.23
PAST PROG,-0.0,0.0
TO INF,-0.71,0.71
?VB,-0.89,0.89
?PRES ~ PAST,-0.0,0.0
?PAST did not ~ PAST,-0.38,0.38
PRES ~ PRES PROG,-0.0,0.0
FUT ~ PAST,-0.0,0.0
?TO INF ~ PAST,-0.0,0.0
MOD would ~ PAST,-0.0,0.0
PAST PERF ~ PRES PART,-0.38,0.38
PRES PART ~ PRES PERF,-0.38,0.38
PAST PERF ~ PRES PERF,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
?PAST ~ IMPV,-0.0,0.0
?PAST ~ ?VB,-0.0,0.0
?PRES PERF ~ PRES,-0.52,0.52
?VB ~ PRES PERF,-0.0,0.0
??VB ~ ?PAST question,-0.52,0.52
FUT ~ PRES,-0.0,0.0
?PAST ~ PRES,-0.52,0.52
MOD let,-0.0,0.0
MOD let ~ PAST,-0.52,0.52
?PAST ~ ?TO INF,-0.0,0.0
??PAST ~ ?PAST,-0.0,0.0
?PAST PERF ~ PAST PERF,-0.0,0.0
?PAST did not ~ ?PAST question,-0.0,0.0
?MOD would ~ PAST,-0.0,0.0
??PAST ~ ?TO INF,-0.0,0.0
??VB ~ PRES,-0.0,0.0
??PAST ~ PAST,-0.0,0.0
?PAST wh-question ~ MOD let,-0.0,0.0
?PAST wh-question,-0.0,0.0
?PAST wh-question ~ PAST,-0.0,0.0
?PAST wh-question ~ ?PRES,-0.0,0.0
?MOD let ~ PAST,-0.0,0.0
??PRES ~ PAST,-0.0,0.0
MOD could ~ MOD might,-0.0,0.0
?PAST ~ PRES PERF,-0.78,0.78
?PRES PERF,-0.0,0.0
PRES PERF ~ TO INF,-0.78,0.78
PRES PERF ~ PRES PROG,-0.0,0.0
PRES PERF PROG,-0.0,0.0
PRES PART ~ TO INF,-0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0
MOD should ~ TO INF,-0.78,0.78
MOD should ~ MOD would,-0.0,0.0
MOD may ~ PAST,-0.0,0.0
MOD let ~ PRES PART,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
?VB ~ PRES,-0.0,0.0
?PRES ~ PRES,-0.0,0.0
??PAST,-0.0,0.0
