eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,1.53,7.65,6.5,9.57,14.22,9.65,30.33,30.7,34.99,165.44,220.92
FUT,1.85,5.1,8.58,8.38,9.42,11.3,21.74,53.9,33.63,172.15,inf
FUT ~ MOD shall,3.08,5.75,8.04,5.23,4.12,35.74,31.58,20.59,39.16,85.35,inf
IMPV ~ MOD shall,0.63,2.07,71.0,125.0,49.4,83.0,inf,167.0,503.0,inf,inf
PAST,2.89,4.81,7.6,12.97,12.97,4.32,16.88,36.25,30.93,148.0,446.0
FUT ~ PRES,1.96,5.57,10.19,5.9,6.53,16.25,26.6,45.0,50.75,137.0,inf
MOD must ~ MOD shall,1.14,3.07,20.12,13.08,6.86,55.33,337.0,66.6,337.0,337.0,inf
MOD is to ~ MOD shall,1.3,4.55,7.4,9.14,11.25,41.0,97.0,21.62,146.0,inf,inf
MOD can,1.51,5.26,5.56,6.91,11.23,25.9,inf,23.45,inf,268.0,inf
MOD shall,1.35,5.84,6.55,5.08,14.64,23.33,inf,53.75,108.5,inf,inf
MOD may,1.61,6.23,5.06,6.52,19.89,61.67,16.09,22.5,187.0,93.0,inf
IMPV,1.43,1.53,inf,92.5,10.69,16.0,25.71,inf,inf,inf,inf
MOD shall ~ PRES,1.35,7.22,13.8,6.05,6.4,15.44,147.0,48.33,147.0,73.0,inf
MOD would,1.45,9.45,13.38,4.75,22.0,8.58,15.43,37.33,56.5,inf,inf
PAST ~ PRES,1.5,7.46,12.75,9.0,12.75,5.47,14.71,109.0,109.0,inf,inf
FUT ~ MOD may,1.86,5.87,7.58,19.6,16.17,11.88,16.17,11.88,33.33,24.75,inf
PRES ~ PRES PART,1.04,5.0,15.0,9.67,95.0,8.6,23.0,31.0,inf,inf,inf
PRES ~ PRES PERF,1.26,10.0,4.87,11.57,28.33,11.57,43.0,21.0,28.33,inf,inf
MOD should,0.93,12.17,3.39,18.75,38.5,78.0,78.0,14.8,78.0,inf,inf
MOD can ~ PRES,1.29,5.45,3.73,10.83,13.2,34.5,inf,70.0,inf,inf,inf
FUT ~ MOD lest,1.54,4.07,2.55,70.0,70.0,inf,inf,9.14,inf,inf,inf
FUT ~ MOD can,1.91,3.92,15.0,3.92,6.11,63.0,31.0,inf,inf,inf,inf
PRES PERF,1.35,9.17,2.81,29.5,60.0,11.2,29.5,29.5,inf,inf,60.0
MOD may ~ MOD shall,4.89,12.25,7.83,2.79,2.79,inf,52.0,25.5,25.5,52.0,inf
PRES PART,1.33,3.45,23.5,23.5,11.25,6.0,48.0,48.0,inf,inf,inf
IMPV ~ PRES,2.62,1.76,22.5,6.83,14.67,22.5,46.0,22.5,inf,inf,46.0
TO INF,1.35,2.92,inf,22.5,46.0,4.88,14.67,46.0,inf,inf,inf
MOD may ~ PRES,1.71,4.75,4.11,5.57,inf,22.0,22.0,45.0,inf,inf,inf
MOD can ~ MOD shall,0.76,13.67,13.67,10.0,10.0,inf,21.0,13.67,inf,inf,inf
MOD should ~ PRES,1.44,4.5,4.5,10.0,13.67,inf,13.67,inf,inf,inf,inf
PRES ~ TO INF,0.95,4.86,19.5,inf,40.0,5.83,19.5,40.0,inf,inf,40.0
FUT ~ MOD would,0.82,9.0,19.0,9.0,12.33,19.0,39.0,19.0,inf,inf,inf
MOD could,0.73,6.6,6.6,37.0,37.0,inf,18.0,18.0,inf,inf,inf
MOD shall ~ TO INF,1.31,3.62,inf,4.29,17.5,inf,17.5,36.0,inf,36.0,inf
MOD must,0.89,5.0,35.0,8.0,17.0,35.0,17.0,inf,35.0,inf,inf
MOD let,4.0,1.92,16.5,16.5,inf,7.75,10.67,34.0,16.5,16.5,inf
MOD can ~ MOD may,1.43,3.25,5.8,16.0,10.33,inf,16.0,inf,inf,inf,inf
PAST ~ PRES PERF,2.67,10.0,7.25,32.0,inf,3.12,10.0,32.0,7.25,inf,inf
MOD shall ~ MOD should,0.82,5.2,4.17,14.5,inf,inf,inf,30.0,inf,inf,inf
MOD would ~ PAST,2.22,1.9,28.0,13.5,6.25,28.0,inf,28.0,28.0,inf,inf
FUT ~ TO INF,4.4,2.38,8.0,5.75,26.0,5.75,12.5,inf,inf,inf,inf
MOD would ~ PRES,0.53,10.5,inf,10.5,22.0,22.0,22.0,inf,22.0,inf,inf
FUT ~ IMPV,4.25,2.5,20.0,4.25,20.0,4.25,20.0,inf,inf,inf,inf
PAST ~ PRES PART,2.0,2.5,9.5,20.0,20.0,20.0,6.0,inf,inf,inf,inf
MOD shall ~ PRES PART,1.22,5.67,9.0,inf,5.67,inf,19.0,9.0,inf,inf,inf
MOD should ~ TO INF,0.5,8.0,5.0,17.0,inf,inf,inf,inf,inf,inf,inf
