eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,1052,308,355,252,175,250,85,84,74,16,12
FUT,790,369,235,240,216,183,99,41,65,13,0
FUT ~ MOD shall,423,256,191,277,337,47,53,80,43,20,0
IMPV ~ MOD shall,309,164,7,4,10,6,0,3,1,0,0
PAST,115,77,52,32,32,84,25,12,14,3,1
FUT ~ PRES,140,63,37,60,55,24,15,9,8,3,0
MOD must ~ MOD shall,158,83,16,24,43,6,1,5,1,1,0
MOD is to ~ MOD shall,128,53,35,29,24,7,3,13,2,0,0
MOD can,107,43,41,34,22,10,0,11,0,1,0
MOD shall,93,32,29,36,14,9,0,4,2,0,0
MOD may,72,26,31,25,9,3,11,8,1,2,0
IMPV,77,74,0,2,16,11,7,0,0,0,0
MOD shall ~ PRES,63,18,10,21,20,9,1,3,1,2,0
MOD would,47,11,8,20,5,12,7,3,2,0,0
PAST ~ PRES,44,13,8,11,8,17,7,1,1,0,0
FUT ~ MOD may,36,15,12,5,6,8,6,8,3,4,0
PRES ~ PRES PART,47,16,6,9,1,10,4,3,0,0,0
PRES ~ PRES PERF,39,8,15,7,3,7,2,4,3,0,0
MOD should,41,6,18,4,2,1,1,5,1,0,0
MOD can ~ PRES,31,11,15,6,5,2,0,1,0,0,0
FUT ~ MOD lest,28,14,20,1,1,0,0,7,0,0,0
FUT ~ MOD can,22,13,4,13,9,1,2,0,0,0,0
PRES PERF,26,6,16,2,1,5,2,2,0,0,1
MOD may ~ MOD shall,9,4,6,14,14,0,1,2,2,1,0
PRES PART,21,11,2,2,4,7,1,1,0,0,0
IMPV ~ PRES,13,17,2,6,3,2,1,2,0,0,1
TO INF,20,12,0,2,1,8,3,1,0,0,0
MOD may ~ PRES,17,8,9,7,0,2,2,1,0,0,0
MOD can ~ MOD shall,25,3,3,4,4,0,2,3,0,0,0
MOD should ~ PRES,18,8,8,4,3,0,3,0,0,0,0
PRES ~ TO INF,21,7,2,0,1,6,2,1,0,0,1
FUT ~ MOD would,22,4,2,4,3,2,1,2,0,0,0
MOD could,22,5,5,1,1,0,2,2,0,0,0
MOD shall ~ TO INF,16,8,0,7,2,0,2,1,0,1,0
MOD must,19,6,1,4,2,1,2,0,1,0,0
MOD let,7,12,2,2,0,4,3,1,2,2,0
MOD can ~ MOD may,14,8,5,2,3,0,2,0,0,0,0
PAST ~ PRES PERF,9,3,4,1,0,8,3,1,4,0,0
MOD shall ~ MOD should,17,5,6,2,0,0,0,1,0,0,0
MOD would ~ PAST,9,10,1,2,4,1,0,1,1,0,0
FUT ~ TO INF,5,8,3,4,1,4,2,0,0,0,0
MOD would ~ PRES,15,2,0,2,1,1,1,0,1,0,0
FUT ~ IMPV,4,6,1,4,1,4,1,0,0,0,0
PAST ~ PRES PART,7,6,2,1,1,1,3,0,0,0,0
MOD shall ~ PRES PART,9,3,2,0,3,0,1,2,0,0,0
MOD should ~ TO INF,12,2,3,1,0,0,0,0,0,0,0
MOD must ~ PRES,11,3,0,2,0,0,0,2,0,0,0
PRES ~ PRES PROG,7,0,3,2,2,0,0,1,1,0,0
MOD lest ~ MOD may,10,2,1,0,3,0,0,0,0,0,0
MOD let ~ PRES,2,3,1,1,0,4,1,0,2,1,0
FUT ~ PRES PART,7,3,1,2,1,0,0,0,0,1,0
FUT ~ PAST,3,4,1,1,3,1,1,0,0,1,0
MOD shall ~ PAST,6,0,2,2,3,0,0,1,0,0,0
FUT ~ MOD let,5,2,0,0,1,2,0,0,3,1,0
MOD lest ~ PRES,10,3,0,0,0,0,0,1,0,0,0
MOD should ~ MOD would,3,3,0,3,0,1,2,1,1,0,0
IMPV ~ MOD may,7,5,0,0,0,0,1,0,0,0,0
MOD let ~ MOD shall,3,2,2,1,2,1,0,1,1,0,0
FUT ~ MOD should,6,1,1,2,2,0,0,0,0,0,0
HAB used to ~ PAST,4,2,4,1,0,0,0,1,0,0,0
MOD may ~ TO INF,6,1,1,0,0,0,4,0,0,0,0
IMPV ~ MOD must,7,2,0,1,1,0,0,0,1,0,0
IMPV ~ MOD let,4,1,0,2,1,1,0,1,1,0,0
IMPV ~ MOD can,2,9,0,0,0,0,0,0,0,0,0
MOD might,5,1,2,1,0,1,0,0,1,0,0
PAST ~ TO INF,5,1,2,0,1,2,0,0,0,0,0
MOD may ~ MOD must,5,3,0,0,2,0,0,0,0,0,0
PAST ~ PAST PERF,5,1,1,1,2,0,0,0,0,0,0
MOD is to,5,0,2,3,0,0,0,0,0,0,0
MOD was to ~ PAST,5,0,3,0,0,0,1,0,0,0,0
MOD can ~ MOD should,5,0,3,0,0,0,0,0,0,0,0
MOD can ~ MOD could,3,1,1,1,1,0,0,1,0,0,0
MOD lest,4,0,1,0,0,0,2,0,0,0,0
PAST PERF,0,0,2,0,2,1,0,2,0,0,0
FUT ~ MOD must,1,1,0,2,2,1,0,0,0,0,0
MOD should ~ MOD was to,5,0,1,0,1,0,0,0,0,0,0
MOD might ~ MOD would,2,1,1,0,1,0,1,0,0,0,0
MOD could ~ PAST,2,2,1,0,1,0,0,0,0,0,0
FUT ~ PRES PERF,2,0,0,2,0,2,0,0,0,0,0
PAST ~ PAST PROG,3,1,0,0,2,0,0,0,0,0,0
FUT going-to ~ MOD shall,5,0,0,0,0,0,1,0,0,0,0
MOD lest ~ MOD might,4,0,2,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,4,0,0,1,0,0,0,1,0,0,0
MOD let ~ MOD must,2,2,0,0,1,0,0,1,0,0,0
PRES PART ~ TO INF,2,3,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD may,4,0,1,0,1,0,0,0,0,0,0
MOD could ~ MOD would,3,2,0,1,0,0,0,0,0,0,0
FUT ~ FUT going-to,3,0,1,1,0,0,0,0,0,0,0
MOD VB ~ MOD may,0,1,1,1,1,0,0,0,1,0,0
MOD can ~ PRES PART,2,0,0,0,2,0,0,1,0,0,0
MOD is to ~ MOD must,4,0,0,1,0,0,0,0,0,0,0
MOD can ~ TO INF,2,2,0,1,0,0,0,0,0,0,0
IMPV ~ PRES PART,3,2,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,4,0,1,0,0,0,0,0,0,0,0
MOD might ~ TO INF,2,0,0,1,1,0,1,0,0,0,0
MOD may ~ PRES PART,1,3,0,0,0,0,1,0,0,0,0
MOD would ~ TO INF,3,0,0,1,1,0,0,0,0,0,0
MOD might ~ PAST,1,0,0,0,0,0,3,0,1,0,0
MOD might ~ MOD should,2,0,1,0,0,1,0,1,0,0,0
MOD was to,1,1,0,1,2,0,0,0,0,0,0
?VB ~ PAST,2,2,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,0,4,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,0,1,0,0,0,0,3,0,0,0,0
MOD could ~ MOD might,1,1,1,0,0,0,0,1,0,0,0
MOD can ~ PAST,0,1,1,1,1,0,0,0,0,0,0
FUT ~ MOD is to,2,0,1,1,0,0,0,0,0,0,0
MOD VB ~ PRES,2,0,1,0,1,0,0,0,0,0,0
