,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,1.11,0.61,1.37,0.89,0.61,1.68,0.94,1.11,1.51,0.98,10.55
FUT,0.88,1.02,0.95,1.05,1.02,1.33,1.44,0.57,1.56,0.94,0.0
FUT ~ MOD shall,0.49,0.88,1.03,1.85,2.88,0.36,0.9,1.8,1.26,2.26,0.0
IMPV ~ MOD shall,2.76,2.63,0.11,0.07,0.19,0.16,0.0,0.19,0.09,0.0,0.0
PAST,0.57,1.08,1.09,0.66,0.73,3.54,1.76,0.92,1.57,1.11,1.72
FUT ~ PRES,0.85,0.93,0.8,1.5,1.49,0.87,1.09,0.73,0.93,1.2,0.0
MOD must ~ MOD shall,1.48,1.71,0.4,0.66,1.41,0.25,0.08,0.49,0.14,0.48,0.0
MOD is to ~ MOD shall,1.29,1.14,1.12,0.95,0.85,0.34,0.29,1.56,0.32,0.0,0.0
MOD can,1.1,0.98,1.5,1.26,0.85,0.54,0.0,1.44,0.0,0.6,0.0
MOD shall,1.23,0.88,1.27,1.73,0.65,0.6,0.0,0.62,0.43,0.0,0.0
MOD may,1.03,0.83,1.65,1.34,0.48,0.23,1.82,1.49,0.25,1.78,0.0
IMPV,1.17,3.48,0.0,0.09,0.89,0.88,1.13,0.0,0.0,0.0,0.0
MOD shall ~ PRES,1.24,0.71,0.6,1.44,1.5,0.91,0.2,0.69,0.32,2.27,0.0
MOD would,1.15,0.54,0.62,1.84,0.43,1.66,1.89,0.89,0.84,0.0,0.0
PAST ~ PRES,1.11,0.69,0.65,0.97,0.75,2.62,1.99,0.3,0.43,0.0,0.0
FUT ~ MOD may,0.89,0.88,1.09,0.44,0.59,1.19,1.8,2.85,1.43,6.92,0.0
PRES ~ PRES PART,1.6,1.03,0.55,0.9,0.1,1.65,1.26,1.08,0.0,0.0,0.0
PRES ~ PRES PERF,1.33,0.51,1.7,0.75,0.34,1.22,0.67,1.6,1.69,0.0,0.0
MOD should,1.8,0.42,2.46,0.46,0.25,0.18,0.37,2.27,0.61,0.0,0.0
MOD can ~ PRES,1.29,0.95,2.23,0.8,0.72,0.41,0.0,0.47,0.0,0.0,0.0
FUT ~ MOD lest,1.08,1.27,3.27,0.12,0.14,0.0,0.0,3.7,0.0,0.0,0.0
FUT ~ MOD can,0.87,1.32,0.55,2.23,1.57,0.22,0.93,0.0,0.0,0.0,0.0
PRES PERF,1.24,0.56,2.96,0.29,0.16,1.26,0.98,1.13,0.0,0.0,13.24
MOD may ~ MOD shall,0.34,0.42,1.05,3.14,3.46,0.0,0.56,1.31,1.87,3.17,0.0
PRES PART,1.25,1.5,0.35,0.37,0.85,2.37,0.6,0.69,0.0,0.0,0.0
IMPV ~ PRES,0.64,2.95,0.37,1.27,0.65,0.63,0.63,1.49,0.0,0.0,17.29
TO INF,1.23,1.78,0.0,0.39,0.21,2.92,1.98,0.72,0.0,0.0,0.0
MOD may ~ PRES,0.98,1.09,2.02,1.56,0.0,0.64,1.32,0.74,0.0,0.0,0.0
MOD can ~ MOD shall,2.2,0.38,0.6,0.87,0.96,0.0,1.38,2.45,0.0,0.0,0.0
MOD should ~ PRES,1.15,1.15,1.84,0.87,0.7,0.0,2.13,0.0,0.0,0.0,0.0
PRES ~ TO INF,1.75,1.06,0.42,0.0,0.24,2.43,1.49,0.83,0.0,0.0,19.89
FUT ~ MOD would,2.04,0.57,0.43,0.97,0.77,0.74,0.74,1.76,0.0,0.0,0.0
MOD could,2.29,0.78,1.25,0.23,0.26,0.0,1.61,1.86,0.0,0.0,0.0
MOD shall ~ TO INF,1.27,1.43,0.0,2.03,0.55,0.0,1.66,0.93,0.0,4.58,0.0
MOD must,1.86,1.03,0.24,1.09,0.56,0.4,1.71,0.0,1.36,0.0,0.0
MOD let,0.41,2.71,0.5,0.53,0.0,1.83,2.73,0.98,2.9,10.14,0.0
MOD can ~ MOD may,1.17,1.59,1.43,0.54,0.93,0.0,1.81,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.62,0.52,1.14,0.27,0.0,4.56,2.91,1.04,6.65,0.0,0.0
MOD shall ~ MOD should,2.02,0.99,1.99,0.6,0.0,0.0,0.0,1.11,0.0,0.0,0.0
MOD would ~ PAST,0.75,2.73,0.29,0.64,1.53,0.5,0.0,1.19,1.7,0.0,0.0
FUT ~ TO INF,0.38,2.18,1.03,1.51,0.37,2.47,2.32,0.0,0.0,0.0,0.0
MOD would ~ PRES,3.13,0.49,0.0,0.83,0.43,0.64,1.32,0.0,2.17,0.0,0.0
FUT ~ IMPV,0.39,2.07,0.41,2.05,0.48,3.34,1.45,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.83,2.07,0.87,0.43,0.48,0.71,4.86,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,1.36,0.91,0.92,0.0,1.69,0.0,1.53,3.72,0.0,0.0,0.0
MOD should ~ TO INF,3.33,0.65,1.65,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,2.62,1.03,0.0,1.09,0.0,0.0,0.0,4.19,0.0,0.0,0.0
PRES ~ PRES PROG,1.29,0.0,1.91,1.24,1.37,0.0,0.0,2.23,3.18,0.0,0.0
MOD lest ~ MOD may,2.78,0.74,0.55,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.26,1.29,0.59,0.62,0.0,5.16,2.07,0.0,7.37,11.81,0.0
FUT ~ PRES PART,1.46,1.29,0.59,1.34,0.68,0.0,0.0,0.0,0.0,11.81,0.0
FUT ~ PAST,0.42,1.88,0.59,0.62,2.39,1.01,2.07,0.0,0.0,11.81,0.0
MOD shall ~ PAST,1.25,0.0,1.38,1.45,2.61,0.0,0.0,2.57,0.0,0.0,0.0
FUT ~ MOD let,0.92,0.86,0.0,0.0,0.74,2.36,0.0,0.0,13.11,12.72,0.0
MOD lest ~ PRES,4.17,1.41,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0
MOD should ~ MOD would,0.45,1.41,0.0,2.37,0.0,1.09,4.85,2.57,3.67,0.0,0.0
IMPV ~ MOD may,1.94,3.24,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0
