,0.0,1.0
PRES,0.23,-0.23
PAST,-0.0,0.0
PRES PART,1.25,-1.25
PRES PROG,-0.0,0.0
PRES ~ PRES PART,0.16,-0.16
FUT,-3.62,3.62
PRES ~ PRES PROG,-3.82,3.82
PAST PROG,-0.0,0.0
PAST ~ PAST PROG,0.2,-0.2
PAST ~ PRES PART,0.73,-0.73
PAST ~ PRES,-0.0,0.0
FUT ~ PRES,0.29,-0.29
PRES ~ PRES PERF,0.14,-0.14
FUT ~ MOD shall,-0.55,0.55
PRES PERF,-0.36,0.36
PAST PERF,0.58,-0.58
TO INF,0.58,-0.58
PAST PROG ~ PRES PART,-0.16,0.16
FUT ~ FUT going-to,-0.17,0.17
PAST ~ PRES PERF,-0.19,0.19
FUT ~ PRES PROG,-0.0,0.0
PRES PART ~ PRES PROG,-0.0,0.0
PAST ~ PAST PERF,-0.0,0.0
PAST ~ TO INF,-0.28,0.28
FUT ~ TO INF,-0.0,0.0
MOD may ~ PRES,-0.0,0.0
FUT going-to ~ PRES,-0.0,0.0
FUT going-to ~ PRES PROG,-0.39,0.39
MOD could ~ PAST,-0.0,0.0
FUT ~ PRES PART,-0.0,0.0
PRES ~ TO INF,-0.46,0.46
MOD is to ~ PRES,-0.5,0.5
PRES PART ~ TO INF,-0.0,0.0
IMPV ~ PRES,-0.0,0.0
MOD can ~ PRES,-0.0,0.0
PRES PERF ~ PRES PROG,-0.61,0.61
MOD could,-0.0,0.0
MOD should,-0.0,0.0
IMPV,-0.0,0.0
MOD shall ~ PRES,-0.0,0.0
MOD can,-0.0,0.0
MOD would,-0.77,0.77
MOD would ~ PAST,-0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0
IMPV ~ MOD may,-0.0,0.0
PAST ~ PRES PROG,-0.0,0.0
PAST PROG ~ PRES,-0.0,0.0
FUT going-to ~ MOD shall,-0.77,0.77
MOD is to ~ MOD shall,-0.0,0.0
PAST PERF ~ PAST PROG,-0.0,0.0
MOD would ~ PRES,-0.77,0.77
FUT ~ MOD must,-0.0,0.0
MOD shall ~ TO INF,-0.0,0.0
FUT ~ MOD is to,-0.88,0.88
MOD let ~ PRES,-0.0,0.0
MOD was to ~ PAST,-0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0
PRES PERF PROG ~ PRES PROG,-0.0,0.0
MOD is to,-0.88,0.88
MOD may,-0.0,0.0
MOD can ~ MOD shall,-0.0,0.0
MOD can ~ TO INF,-0.0,0.0
PAST PERF ~ PAST PERF PROG,-0.0,0.0
PRES ~ PRES PROG keep,-0.0,0.0
FUT PROG ~ PRES PART,-0.0,0.0
PRES ~ PRES PERF PROG,-1.05,1.05
PAST PERF ~ PRES PART,-0.0,0.0
PAST PERF ~ PRES,-0.0,0.0
FUT ~ MOD may,-0.0,0.0
PRES PERF PROG,-1.05,1.05
MOD was to ~ TO INF,-0.0,0.0
FUT ~ PAST PROG,-0.0,0.0
MOD should ~ TO INF,-0.0,0.0
MOD must ~ MOD shall,-0.0,0.0
MOD can ~ PRES PART,-0.0,0.0
MOD was to ~ PAST PROG,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
MOD may ~ TO INF,-0.0,0.0
MOD may ~ PAST,-0.0,0.0
MOD let,-0.0,0.0
MOD is to ~ TO INF,-0.0,0.0
MOD should ~ MOD would,-1.05,1.05
PRES PROG ~ PRES PROG keep,-0.0,0.0
PRES PROG ~ TO INF,-0.0,0.0
MOD could ~ PRES PART,-0.0,0.0
MOD might,-0.0,0.0
MOD is to ~ MOD would,-0.0,0.0
MOD can ~ MOD may,-0.0,0.0
FUT going-to ~ PRES PART,-0.0,0.0
FUT PROG ~ PRES PROG,-1.34,1.34
IMPV ~ PRES PROG,-0.0,0.0
PRES PART ~ PRES PERF PROG,-1.34,1.34
MOD may ~ PRES PART,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
FUT ~ FUT PROG,-0.0,0.0
HAB used to ~ PAST,-0.0,0.0
FUT ~ VB,-0.0,0.0
PAST ~ VB,-0.0,0.0
MOD was to ~ PRES PART,-0.0,0.0
MOD must,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
MOD was to,-0.0,0.0
MOD that VB ~ PRES PART,-0.0,0.0
FUT ~ PAST,-0.0,0.0
MOD would ~ PRES PERF,-0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0
FUT ~ MOD would,-0.0,0.0
MOD should ~ PRES PERF,-0.0,0.0
PAST PERF PROG ~ PAST PROG,-0.0,0.0
MOD should ~ PAST,-0.0,0.0
FUT ~ MOD can,-0.0,0.0
MOD should ~ MOD was to,-0.0,0.0
MOD shall ~ PRES PERF,-0.0,0.0
FUT PROG ~ MOD is to,-0.0,0.0
MOD shall ~ PAST,-0.0,0.0
PAST PROG ~ TO INF,-0.0,0.0
MOD shall,-0.0,0.0
MOD need not ~ TO INF,-0.0,0.0
MOD must ~ PRES PROG,-0.0,0.0
MOD shall ~ PRES PART,-0.0,0.0
