,prose,prophetic,poetry,instruction,list
?PAST do-support ~ PAST,-0.48,0.78,0.0,0.0,0.0
?PAST did not ~ TO INF,-0.48,0.0,0.94,0.0,0.0
??VB ~ PRES PERF,-0.48,0.0,0.94,0.0,0.0
?FUT ~ ?PRES,-0.48,0.0,0.94,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0,0.0,0.0
?PAST did not ~ ?PAST question,-0.0,0.0,0.0,0.0,0.0
?PAST PERF ~ PAST PERF,-0.0,0.0,0.0,0.0,0.0
?MOD would ~ PAST,-0.0,0.0,0.0,0.0,0.0
?MOD let ~ PAST,-0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-0.48,0.78,0.0,0.0,0.0
?PRES PERF ~ PAST,-0.48,0.0,0.94,0.0,0.0
?PAST ~ PAST PERF,-0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.48,0.0,0.94,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,-0.48,0.78,0.0,0.0,0.0
MOD let ~ MOD may,-0.48,0.0,0.94,0.0,0.0
MOD is to ~ PRES PERF,-0.48,0.78,0.0,0.0,0.0
MOD must ~ PAST,-0.48,0.0,0.94,0.0,0.0
MOD could ~ MOD might,-0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,-0.48,0.0,0.0,0.0,1.75
IMPV ~ PRES,-0.48,0.0,0.94,0.0,0.0
MOD must ~ PRES,-0.48,0.78,0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.48,0.0,0.94,0.0,0.0
MOD would ~ PRES,-0.48,0.0,0.94,0.0,0.0
?TO INF ~ PRES,-0.48,0.0,0.94,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0,0.0,0.0
?PRES ~ TO INF,-0.48,0.78,0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0,0.0,0.0,0.0
?PRES ~ FUT,-0.48,0.0,0.94,0.0,0.0
?PRES ~ ?VB,-0.48,0.78,0.0,0.0,0.0
?PAST ~ PRES PERF,-0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.0,0.0,0.0,0.0,0.0
??PAST ~ ?PAST,-0.0,0.0,0.0,0.0,0.0
