,0,0,1,1
,0,1,1,0
PRES,0.27,0.67,33.33,3.62
FUT,inf,0.0,0.0,0.0
FUT ~ MOD shall,inf,0.0,0.0,0.0
IMPV ~ MOD shall,inf,0.0,0.0,0.0
PAST,inf,0.0,0.0,0.0
FUT ~ PRES,1.13,1.22,0.0,1.86
MOD must ~ MOD shall,inf,0.0,0.0,0.0
MOD is to ~ MOD shall,0.05,75.52,0.0,0.0
MOD can,inf,0.0,0.0,0.0
MOD shall,inf,0.0,0.0,0.0
MOD may,inf,0.0,0.0,0.0
IMPV,inf,0.0,0.0,0.0
MOD shall ~ PRES,0.21,12.12,0.0,0.0
MOD would,inf,0.0,0.0,0.0
PAST ~ PRES,0.61,0.0,0.0,8.79
FUT ~ MOD may,inf,0.0,0.0,0.0
PRES ~ PRES PART,0.24,4.55,2.62,4.7
PRES ~ PRES PERF,0.48,0.0,0.0,11.23
MOD should,inf,0.0,0.0,0.0
MOD can ~ PRES,0.15,2.94,0.0,26.49
FUT ~ MOD lest,inf,0.0,0.0,0.0
FUT ~ MOD can,inf,0.0,0.0,0.0
PRES PERF,inf,0.0,0.0,0.0
MOD may ~ MOD shall,inf,0.0,0.0,0.0
PRES PART,0.24,0.0,10.25,2.2
IMPV ~ PRES,2.23,0.0,0.0,2.3
TO INF,inf,0.0,0.0,0.0
MOD may ~ PRES,0.32,2.23,0.0,10.34
MOD can ~ MOD shall,inf,0.0,0.0,0.0
MOD should ~ PRES,0.66,2.33,0.0,2.46
PRES ~ TO INF,0.23,6.89,0.0,5.47
FUT ~ MOD would,inf,0.0,0.0,0.0
MOD could,inf,0.0,0.0,0.0
MOD shall ~ TO INF,inf,0.0,0.0,0.0
MOD must,inf,0.0,0.0,0.0
MOD let,inf,0.0,0.0,0.0
MOD can ~ MOD may,inf,0.0,0.0,0.0
PAST ~ PRES PERF,inf,0.0,0.0,0.0
MOD shall ~ MOD should,inf,0.0,0.0,0.0
MOD would ~ PAST,inf,0.0,0.0,0.0
FUT ~ TO INF,inf,0.0,0.0,0.0
MOD would ~ PRES,1.06,0.0,0.0,4.81
FUT ~ IMPV,inf,0.0,0.0,0.0
PAST ~ PRES PART,inf,0.0,0.0,0.0
MOD shall ~ PRES PART,0.43,5.45,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0
MOD must ~ PRES,inf,0.0,0.0,0.0
