,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,0.71,0.72,0.42,2.8,0.58,0.78,0.63,3.72,0.55,0.74,0.77,1.0,1.03,5.53,1.28,1.37,0.42,1.33,1.59,1.58,0.44,13.94,0.98,3.49,1.09,1.76,1.01,0.85,1.89,2.5,0.87,1.25,4.06,3.04,0.67,1.62,12.19,12.19,2.03,1.74,1.16,2.43,1.35,1.62,1.62,4.05,6.08,inf,1.35,4.05,0.0,1.35,12.16,0.0,2.03,2.03,0.0,8.11,2.03,4.05,0.0,4.05,0.0,inf,0.0,inf,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,inf,0.0,0.0
FUT,1.0,1.37,0.93,0.56,1.2,1.31,1.06,0.45,1.34,1.02,0.89,1.84,0.64,0.16,0.55,1.17,0.78,1.1,0.98,1.55,2.83,0.11,2.21,1.43,0.65,1.05,0.73,1.68,0.23,0.5,2.59,0.3,1.1,0.36,0.36,1.9,0.95,0.43,0.43,0.53,2.37,2.85,0.68,0.79,0.79,0.95,1.19,0.0,0.0,0.0,1.58,0.0,1.58,2.37,2.37,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
FUT ~ MOD shall,0.6,1.3,0.99,0.26,2.86,2.08,1.6,0.33,0.65,0.72,0.18,1.28,4.53,0.04,2.48,1.44,0.16,0.3,1.72,0.37,0.9,0.0,0.73,0.56,2.16,0.43,5.18,2.38,0.0,1.59,0.0,0.0,0.0,1.84,5.07,1.12,0.0,0.0,1.35,2.89,1.93,0.96,0.96,2.7,0.0,1.35,0.0,0.0,6.74,0.0,0.0,2.25,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,4.49,0.68,1.36,0.02,0.53,0.14,1.62,0.0,1.48,1.33,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.88,0.0,0.54,1.16,0.67,6.96,0.74,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,1.53,1.85,0.7,0.02,0.19,0.1,1.92,0.11,3.66,5.5,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.93,3.45,0.0,1.32,0.67,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,1.33,1.36,0.75,0.74,0.77,0.96,2.0,1.2,1.07,0.79,0.0,0.9,0.94,0.77,0.78,0.0,0.0,0.43,0.46,0.0,0.0,0.68,1.5,0.0,2.94,0.91,0.0,0.0,0.0,3.09,0.0,0.0,1.95,2.25,0.0,2.25,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.61,0.87,0.85,0.98,1.72,2.0,0.71,0.9,0.82,1.2,0.48,2.21,1.33,2.83,1.68,0.34,0.73,0.45,1.5,5.06,0.61,0.71,0.0,1.65,1.97,0.0,0.0,1.39,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,4.8,0.34,2.63,0.06,0.31,1.14,0.23,0.0,0.57,0.39,0.08,0.32,0.37,0.0,0.47,0.0,0.0,0.0,0.57,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.87,2.05,0.62,0.0,1.69,0.84,1.4,0.05,2.56,2.83,0.0,0.96,1.48,0.0,1.31,0.43,0.0,1.16,0.0,2.18,1.59,0.0,0.97,1.03,0.0,0.0,1.35,1.77,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.52,0.57,3.78,2.72,0.4,1.3,0.77,0.4,0.49,1.01,0.18,0.12,0.21,1.63,0.8,0.91,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
