,Q,N
PRES ~ PRES PART,11.87,-11.87
PAST ~ PAST PROG,-33.94,33.94
PRES ~ PRES PROG,10.54,-10.54
PAST ~ PRES PART,-27.63,27.63
PAST ~ PRES,1.6,-1.6
FUT ~ PRES,6.71,-6.71
PRES ~ PRES PERF,6.03,-6.03
FUT ~ MOD shall,5.77,-5.77
PAST PROG ~ PRES PART,-14.34,14.34
FUT ~ FUT going-to,4.46,-4.46
PAST ~ PRES PERF,4.01,-4.01
PAST ~ PAST PERF,-9.83,9.83
PRES PART ~ PRES PROG,2.26,-2.26
FUT ~ PRES PROG,2.91,-2.91
FUT ~ PRES PART,2.01,-2.01
PAST ~ TO INF,-5.12,5.12
MOD may ~ PRES,1.36,-1.36
FUT ~ TO INF,1.37,-1.37
FUT going-to ~ PRES,1.37,-1.37
FUT going-to ~ PRES PROG,1.15,-1.15
PRES PART ~ TO INF,-0.33,0.33
MOD could ~ PAST,-4.6,4.6
IMPV ~ PRES,0.93,-0.93
MOD can ~ PRES,0.7,-0.7
MOD is to ~ PRES,0.7,-0.7
PRES ~ TO INF,-0.0,0.0
PRES PART ~ PRES PERF,0.48,-0.48
MOD shall ~ PRES,0.48,-0.48
PAST PERF ~ PAST PROG,-1.7,1.7
MOD would ~ PAST,-2.29,2.29
MOD would ~ PRES,0.24,-0.24
FUT ~ MOD must,0.24,-0.24
IMPV ~ MOD may,0.24,-0.24
PAST ~ PRES PROG,0.24,-0.24
MOD is to ~ MOD shall,-0.0,0.0
PAST ~ PAST PERF PROG,-2.29,2.29
FUT going-to ~ MOD shall,0.24,-0.24
MOD can ~ MOD shall,0.25,-0.25
PRES ~ PRES PERF PROG,0.25,-0.25
FUT PROG ~ PRES PART,0.25,-0.25
MOD shall ~ TO INF,0.25,-0.25
PRES PERF ~ PRES PROG,0.25,-0.25
MOD should ~ MOD would,0.0,-0.0
PRES PERF PROG ~ PRES PROG,0.25,-0.25
MOD is to ~ PRES PART,0.25,-0.25
MOD should ~ TO INF,0.25,-0.25
MOD was to ~ PAST,-1.72,1.72
FUT ~ MOD is to,0.25,-0.25
MOD can ~ TO INF,0.25,-0.25
PAST PROG ~ PRES,0.25,-0.25
MOD can ~ PRES PART,-0.0,0.0
MOD may ~ PAST,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
MOD may ~ TO INF,-0.0,0.0
MOD must ~ MOD shall,-0.0,0.0
MOD is to ~ TO INF,-0.0,0.0
MOD was to ~ TO INF,-1.14,1.14
MOD must ~ PRES,-0.0,0.0
PAST PERF PROG ~ PAST PROG,-1.14,1.14
PRES ~ PRES PROG keep,-0.0,0.0
FUT going-to ~ PRES PART,-0.0,0.0
PRES PART ~ PRES PERF PROG,-0.0,0.0
PAST PERF ~ PRES PART,-1.14,1.14
PAST PERF ~ PRES,-1.14,1.14
FUT ~ PAST PROG,-0.0,0.0
PAST PERF ~ PAST PERF PROG,-1.14,1.14
MOD was to ~ PAST PROG,-1.14,1.14
FUT ~ MOD may,-0.0,0.0
FUT ~ MOD can,-0.0,0.0
HAB used to ~ PAST,-0.57,0.57
HAB used to ~ PAST PERF,-0.57,0.57
FUT ~ VB,-0.0,0.0
FUT ~ FUT PROG,-0.0,0.0
FUT ~ MOD would,-0.0,0.0
FUT ~ PAST,-0.0,0.0
TO INF ~ VB,-0.57,0.57
MOD shall ~ PRES PART,-0.0,0.0
IMPV ~ PRES PROG,-0.0,0.0
MOD should ~ PRES PERF,-0.0,0.0
PRES PROG ~ TO INF,-0.0,0.0
PRES PROG ~ PRES PROG keep,-0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0
PRES PERF ~ PRES PERF PROG,-0.0,0.0
PAST ~ VB,-0.0,0.0
PAST PROG ~ TO INF,-0.57,0.57
MOD would ~ PRES PROG,-0.0,0.0
MOD would ~ PRES PERF,-0.0,0.0
MOD was to ~ PRES PART,-0.57,0.57
MOD that VB ~ PRES PART,-0.57,0.57
MOD should ~ PRES,-0.0,0.0
MOD can ~ MOD may,-0.0,0.0
MOD should ~ PAST,-0.57,0.57
MOD should ~ MOD was to,-0.57,0.57
MOD shall ~ PRES PERF,-0.0,0.0
MOD shall ~ PAST,-0.0,0.0
MOD need not ~ TO INF,-0.0,0.0
MOD must ~ PRES PART,-0.0,0.0
MOD may ~ PRES PART,-0.0,0.0
MOD let ~ TO INF,-0.0,0.0
MOD is to ~ MOD would,-0.0,0.0
MOD could ~ PRES PART,-0.57,0.57
FUT PROG ~ MOD is to,-0.0,0.0
