eng_TAMsimp,Q,N
PRES ~ PRES PART,0.93,0.07
PAST ~ PAST PROG,0.17,0.83
PRES ~ PRES PROG,0.99,0.01
PAST ~ PRES PART,0.19,0.81
PAST ~ PRES,0.87,0.13
FUT ~ PRES,1.0,0.0
PRES ~ PRES PERF,1.0,0.0
FUT ~ MOD shall,1.0,0.0
PAST PROG ~ PRES PART,0.13,0.87
FUT ~ FUT going-to,1.0,0.0
PAST ~ PRES PERF,1.0,0.0
PAST ~ PAST PERF,0.12,0.88
PRES PART ~ PRES PROG,0.96,0.04
FUT ~ PRES PROG,1.0,0.0
FUT ~ PRES PART,1.0,0.0
PAST ~ TO INF,0.19,0.81
MOD may ~ PRES,1.0,0.0
FUT ~ TO INF,1.0,0.0
FUT going-to ~ PRES,1.0,0.0
FUT going-to ~ PRES PROG,1.0,0.0
PRES PART ~ TO INF,0.6,0.4
MOD could ~ PAST,0.0,1.0
IMPV ~ PRES,1.0,0.0
MOD can ~ PRES,1.0,0.0
MOD is to ~ PRES,1.0,0.0
PRES ~ TO INF,0.83,0.17
PRES PART ~ PRES PERF,1.0,0.0
MOD shall ~ PRES,1.0,0.0
PAST PERF ~ PAST PROG,0.2,0.8
MOD would ~ PAST,0.0,1.0
MOD would ~ PRES,1.0,0.0
FUT ~ MOD must,1.0,0.0
IMPV ~ MOD may,1.0,0.0
PAST ~ PRES PROG,1.0,0.0
MOD is to ~ MOD shall,0.75,0.25
PAST ~ PAST PERF PROG,0.0,1.0
FUT going-to ~ MOD shall,1.0,0.0
MOD can ~ MOD shall,1.0,0.0
PRES ~ PRES PERF PROG,1.0,0.0
FUT PROG ~ PRES PART,1.0,0.0
MOD shall ~ TO INF,1.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0
MOD should ~ MOD would,0.67,0.33
PRES PERF PROG ~ PRES PROG,1.0,0.0
MOD is to ~ PRES PART,1.0,0.0
MOD should ~ TO INF,1.0,0.0
MOD was to ~ PAST,0.0,1.0
FUT ~ MOD is to,1.0,0.0
MOD can ~ TO INF,1.0,0.0
PAST PROG ~ PRES,1.0,0.0
MOD can ~ PRES PART,1.0,0.0
MOD may ~ PAST,1.0,0.0
MOD let ~ PRES,1.0,0.0
MOD may ~ TO INF,1.0,0.0
MOD must ~ MOD shall,1.0,0.0
MOD is to ~ TO INF,1.0,0.0
MOD was to ~ TO INF,0.0,1.0
MOD must ~ PRES,1.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,1.0
PRES ~ PRES PROG keep,1.0,0.0
FUT going-to ~ PRES PART,1.0,0.0
PRES PART ~ PRES PERF PROG,1.0,0.0
PAST PERF ~ PRES PART,0.0,1.0
PAST PERF ~ PRES,0.0,1.0
FUT ~ PAST PROG,1.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,1.0
MOD was to ~ PAST PROG,0.0,1.0
FUT ~ MOD may,1.0,0.0
FUT ~ MOD can,1.0,0.0
HAB used to ~ PAST,0.0,1.0
HAB used to ~ PAST PERF,0.0,1.0
FUT ~ VB,1.0,0.0
FUT ~ FUT PROG,1.0,0.0
FUT ~ MOD would,1.0,0.0
FUT ~ PAST,1.0,0.0
TO INF ~ VB,0.0,1.0
MOD shall ~ PRES PART,1.0,0.0
IMPV ~ PRES PROG,1.0,0.0
MOD should ~ PRES PERF,1.0,0.0
PRES PROG ~ TO INF,1.0,0.0
PRES PROG ~ PRES PROG keep,1.0,0.0
PRES PERF ~ TO INF,1.0,0.0
PRES PERF ~ PRES PERF PROG,1.0,0.0
PAST ~ VB,1.0,0.0
PAST PROG ~ TO INF,0.0,1.0
MOD would ~ PRES PROG,1.0,0.0
MOD would ~ PRES PERF,1.0,0.0
MOD was to ~ PRES PART,0.0,1.0
MOD that VB ~ PRES PART,0.0,1.0
MOD should ~ PRES,1.0,0.0
MOD can ~ MOD may,1.0,0.0
MOD should ~ PAST,0.0,1.0
MOD should ~ MOD was to,0.0,1.0
MOD shall ~ PRES PERF,1.0,0.0
MOD shall ~ PAST,1.0,0.0
MOD need not ~ TO INF,1.0,0.0
MOD must ~ PRES PART,1.0,0.0
MOD may ~ PRES PART,1.0,0.0
MOD let ~ TO INF,1.0,0.0
MOD is to ~ MOD would,1.0,0.0
MOD could ~ PRES PART,0.0,1.0
FUT PROG ~ MOD is to,1.0,0.0
