,prophetic,prose,instruction,poetry,list
FUT ~ PAST,2.53,1.36,0.0,0.7,0.0
MOD let ~ PRES,1.1,0.68,0.0,4.02,0.0
MOD lest ~ PRES,0.17,6.86,0.25,0.76,0.0
FUT ~ MOD let,0.88,1.52,0.0,2.54,0.0
MOD should ~ MOD would,0.37,1.09,0.25,4.59,0.0
MOD shall ~ PAST,2.21,1.52,0.55,0.0,0.0
IMPV ~ MOD may,0.18,2.34,0.6,2.03,0.0
MOD let ~ MOD shall,0.98,0.82,2.82,0.0,0.0
HAB used to ~ PAST,0.44,8.22,0.0,0.41,0.0
MOD may ~ TO INF,0.44,5.48,0.3,0.41,0.0
FUT ~ MOD should,1.1,0.54,0.3,3.27,0.0
IMPV ~ MOD must,0.44,8.22,0.3,0.0,0.0
IMPV ~ MOD let,0.83,1.56,1.88,0.0,0.0
PAST ~ TO INF,0.49,1.02,0.33,1.71,36.18
IMPV ~ MOD can,0.0,0.61,0.0,20.73,0.0
MOD may ~ MOD must,0.0,2.73,3.29,0.0,0.0
PAST ~ PAST PERF,0.24,2.73,0.0,3.05,0.0
MOD was to ~ PAST,0.63,1.36,1.64,0.57,0.0
MOD can ~ MOD should,1.33,2.73,0.0,0.65,0.0
MOD can ~ MOD could,0.32,1.64,0.0,4.58,0.0
FUT ~ MOD must,0.88,1.09,0.0,3.43,0.0
MOD should ~ MOD was to,0.0,6.83,0.0,1.83,0.0
MOD could ~ MOD would,4.43,1.36,0.0,0.0,0.0
MOD let ~ MOD must,0.0,5.46,1.64,0.0,0.0
MOD could ~ PAST,0.0,1.36,0.0,9.16,0.0
MOD is to ~ MOD may,0.0,1.36,6.57,0.0,0.0
FUT going-to ~ MOD shall,0.44,13.67,0.0,0.0,0.0
PRES PART ~ TO INF,0.44,0.0,3.28,2.29,0.0
FUT ~ PRES PERF,1.1,2.73,0.0,0.91,0.0
MOD shall ~ MOD would,0.0,1.36,0.66,4.58,0.0
MOD lest ~ MOD might,0.44,5.46,0.66,0.0,0.0
MOD might ~ MOD would,1.1,0.0,0.66,4.58,0.0
PAST ~ PAST PROG,1.1,2.73,0.0,0.91,0.0
MOD may ~ PRES PART,3.32,1.82,0.0,0.0,0.0
MOD can ~ TO INF,0.55,0.68,0.0,6.87,0.0
MOD is to ~ MOD must,0.55,10.93,0.0,0.0,0.0
MOD would ~ TO INF,0.55,0.68,0.0,6.87,0.0
MOD lest ~ TO INF,0.0,10.93,0.82,0.0,0.0
IMPV ~ PRES PART,0.55,4.09,0.82,0.0,0.0
MOD might ~ MOD should,0.0,4.09,0.0,3.05,0.0
MOD might ~ TO INF,1.47,0.68,0.0,3.05,0.0
MOD can ~ PRES PART,0.55,0.68,0.0,6.87,0.0
FUT ~ FUT going-to,0.0,inf,0.0,0.0,0.0
MOD VB ~ MOD may,1.47,0.0,0.82,3.05,0.0
MOD might ~ PAST,3.32,0.0,0.0,3.05,0.0
FUT ~ MOD is to,0.74,8.19,0.0,0.0,0.0
IMPV ~ TO INF,0.74,0.0,3.28,1.52,0.0
IMPV ~ PAST,6.64,0.0,0.0,1.52,0.0
MOD can ~ PAST,6.64,0.91,0.0,0.0,0.0
IMPV ~ MOD lest,2.21,0.91,0.0,1.52,0.0
MOD VB ~ PRES,0.0,0.0,0.0,inf,0.0
MOD could ~ MOD might,0.0,inf,0.0,0.0,0.0
?VB ~ PAST,0.0,2.73,0.0,4.57,0.0
MOD should ~ PAST,0.74,0.91,0.0,4.57,0.0
PAST PERF ~ PRES,0.74,2.73,0.0,1.52,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.74,0.91,1.09,1.52,0.0
MOD shall ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD would ~ PRES PART,1.1,1.36,0.0,2.28,0.0
MOD may ~ MOD might,1.1,1.36,0.0,2.28,0.0
PRES PART ~ PRES PERF,1.1,0.0,0.0,9.15,0.0
MOD can ~ MOD let,0.0,inf,0.0,0.0,0.0
MOD could ~ MOD must,0.0,0.0,0.0,inf,0.0
MOD could ~ MOD should,1.1,5.46,0.0,0.0,0.0
FUT ~ MOD that be,0.0,5.46,1.64,0.0,0.0
MOD lest ~ MOD would,0.0,5.46,1.64,0.0,0.0
FUT ~ PRES PROG,1.1,5.46,0.0,0.0,0.0
FUT PROG ~ PRES,0.0,0.0,6.56,2.28,0.0
MOD is to ~ PRES PART,0.0,5.46,0.0,2.28,0.0
IMPV ~ MOD is to,0.0,inf,0.0,0.0,0.0
MOD can ~ MOD might,0.0,inf,0.0,0.0,0.0
MOD must ~ MOD should,0.0,2.73,0.0,4.57,0.0
MOD can ~ MOD must,0.0,2.73,0.0,4.57,0.0
MOD should ~ PRES PERF,2.21,2.73,0.0,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,0.0,0.0,3.28,4.57,0.0
MOD need not ~ MOD shall,0.0,2.73,0.0,4.57,0.0
MOD may ~ PAST,0.0,2.73,0.0,4.57,0.0
MOD need not ~ PRES,2.21,0.0,3.28,0.0,0.0
PAST PROG ~ PRES,2.21,0.0,0.0,4.57,0.0
MOD lest ~ MOD shall,2.21,2.73,0.0,0.0,0.0
PRES ~ PRES do,0.0,0.0,0.0,inf,0.0
MOD let ~ PAST,0.0,0.0,3.28,4.57,0.0
MOD is to ~ TO INF,0.0,2.73,0.0,4.57,0.0
MOD lest ~ MOD should,0.0,0.0,0.0,inf,0.0
MOD let ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD could ~ TO INF,0.0,2.73,0.0,4.57,0.0
HAB used to ~ PRES,0.0,inf,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,inf,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,inf,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,0.0,inf,0.0
MOD should ~ PRES PART,0.0,inf,0.0,0.0,0.0
FUT ~ PRES shall,0.0,0.0,inf,0.0,0.0
FUT going-to ~ MOD lest,0.0,inf,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD was to ~ PRES,0.0,inf,0.0,0.0,0.0
MOD would ~ PAST PERF,inf,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,0.0,0.0,0.0,inf,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,inf,0.0
PRES ~ PRES can,0.0,inf,0.0,0.0,0.0
FUT ~ MOD,0.0,inf,0.0,0.0,0.0
MOD ~ PRES,0.0,inf,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.0,0.0,inf,0.0
PRES PART ~ PRES PROG,0.0,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,0.0,inf,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,0.0,inf,0.0
MOD may ~ MOD should,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD let,0.0,inf,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,inf,0.0,0.0,0.0
MOD is to ~ PRES,0.0,inf,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,inf,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,inf,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,0.0,inf,0.0
MOD could ~ PAST PERF,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD should,0.0,inf,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD that be,0.0,0.0,0.0,inf,0.0
MOD let ~ PRES PART,0.0,inf,0.0,0.0,0.0
MOD let ~ PRES PERF,0.0,0.0,0.0,inf,0.0
MOD may ~ MOD would,0.0,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,inf,0.0,0.0,0.0
MOD can ~ MOD lest,0.0,inf,0.0,0.0,0.0
MOD VB ~ TO INF,0.0,0.0,0.0,inf,0.0
MOD VB ~ MOD shall,inf,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,0.0,inf,0.0
JJ ~ PRES,0.0,0.0,0.0,inf,0.0
MOD must ~ MOD quest must,inf,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,inf,0.0,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,inf,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,inf,0.0
MOD must ~ PRES shall,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,inf,0.0,0.0
MOD must ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,inf,0.0,0.0,0.0
