eng_TAMsimp,prose,prophetic,instruction,poetry,list
FUT ~ MOD shall,0.27,0.55,0.07,0.11,0.01
IMPV ~ MOD shall,0.25,0.05,0.68,0.0,0.01
FUT ~ PRES,0.19,0.3,0.04,0.47,0.0
MOD must ~ MOD shall,0.18,0.07,0.75,0.0,0.0
MOD is to ~ MOD shall,0.19,0.1,0.69,0.0,0.02
FUT ~ MOD may,0.42,0.21,0.12,0.25,0.0
MOD shall ~ PRES,0.23,0.24,0.36,0.16,0.02
IMPV ~ MOD let,0.54,0.16,0.04,0.26,0.0
MOD let ~ MOD may,0.28,0.05,0.01,0.67,0.0
PAST ~ PRES,0.11,0.32,0.03,0.52,0.02
PRES ~ PRES PART,0.18,0.29,0.11,0.42,0.0
PRES ~ PRES PERF,0.24,0.22,0.19,0.35,0.0
MOD can ~ PRES,0.28,0.22,0.01,0.49,0.0
FUT ~ MOD lest,0.46,0.14,0.21,0.19,0.0
MOD can ~ MOD may,0.7,0.09,0.07,0.14,0.0
MOD may ~ PRES,0.4,0.16,0.15,0.29,0.0
FUT ~ MOD can,0.28,0.37,0.01,0.33,0.0
IMPV ~ PRES,0.24,0.27,0.03,0.46,0.0
MOD may ~ MOD shall,0.28,0.09,0.38,0.26,0.0
MOD may ~ TO INF,0.83,0.07,0.07,0.04,0.0
FUT ~ MOD would,0.35,0.22,0.0,0.43,0.0
MOD can ~ MOD shall,0.37,0.3,0.04,0.28,0.0
MOD should ~ PRES,0.42,0.2,0.04,0.33,0.0
PRES ~ TO INF,0.16,0.16,0.38,0.31,0.0
MOD shall ~ TO INF,0.58,0.26,0.13,0.03,0.0
IMPV ~ MOD may,0.65,0.03,0.09,0.24,0.0
FUT ~ MOD let,0.38,0.21,0.03,0.38,0.0
PAST ~ PRES PERF,0.06,0.24,0.06,0.65,0.0
MOD shall ~ MOD should,0.48,0.42,0.03,0.06,0.0
FUT ~ TO INF,0.48,0.23,0.0,0.29,0.0
MOD would ~ PAST,0.55,0.24,0.07,0.1,0.03
MOD let ~ PRES,0.28,0.21,0.0,0.52,0.0
FUT ~ IMPV,0.33,0.29,0.04,0.33,0.0
MOD would ~ PRES,0.21,0.04,0.04,0.71,0.0
MOD let ~ TO INF,0.68,0.05,0.0,0.27,0.0
PAST ~ PRES PART,0.24,0.33,0.05,0.33,0.05
MOD shall ~ PRES PART,0.1,0.43,0.48,0.0,0.0
FUT ~ PRES PART,0.32,0.58,0.0,0.11,0.0
MOD must ~ PRES,0.26,0.11,0.26,0.37,0.0
MOD should ~ TO INF,0.53,0.16,0.0,0.26,0.05
FUT ~ PAST,0.29,0.47,0.0,0.24,0.0
MOD let ~ MOD shall,0.24,0.35,0.41,0.0,0.0
PRES ~ PRES PROG,0.44,0.12,0.31,0.12,0.0
MOD lest ~ MOD may,0.19,0.12,0.44,0.25,0.0
IMPV ~ MOD must,0.79,0.14,0.07,0.0,0.0
MOD shall ~ PAST,0.36,0.5,0.14,0.0,0.0
MOD let ~ MOD must,0.79,0.07,0.14,0.0,0.0
MOD lest ~ PRES,0.71,0.07,0.07,0.14,0.0
MOD should ~ MOD would,0.29,0.14,0.07,0.5,0.0
PAST ~ TO INF,0.31,0.23,0.08,0.23,0.15
MOD may ~ MOD must,0.5,0.0,0.42,0.08,0.0
IMPV ~ MOD can,0.17,0.0,0.0,0.83,0.0
FUT ~ MOD should,0.17,0.33,0.08,0.42,0.0
HAB used to ~ PAST,0.75,0.17,0.0,0.08,0.0
MOD let ~ PAST,0.08,0.08,0.08,0.75,0.0
MOD let ~ MOD should,0.82,0.09,0.0,0.09,0.0
IMPV ~ MOD should,0.09,0.91,0.0,0.0,0.0
IMPV ~ PRES PART,0.3,0.3,0.2,0.2,0.0
PAST ~ PAST PERF,0.5,0.1,0.0,0.4,0.0
MOD is to ~ MOD let,0.6,0.0,0.4,0.0,0.0
IMPV ~ TO INF,0.33,0.33,0.22,0.11,0.0
MOD was to ~ PAST,0.33,0.22,0.33,0.11,0.0
MOD can ~ MOD should,0.5,0.38,0.0,0.12,0.0
MOD can ~ MOD could,0.38,0.12,0.0,0.5,0.0
PRES PART ~ TO INF,0.14,0.14,0.43,0.29,0.0
MOD can ~ TO INF,0.29,0.29,0.0,0.43,0.0
MOD could ~ MOD might,0.57,0.29,0.0,0.14,0.0
MOD could ~ MOD would,0.29,0.57,0.0,0.14,0.0
MOD can ~ MOD let,0.86,0.14,0.0,0.0,0.0
MOD should ~ MOD was to,0.71,0.0,0.0,0.29,0.0
MOD may ~ PRES PART,0.57,0.43,0.0,0.0,0.0
FUT ~ MOD must,0.29,0.29,0.0,0.43,0.0
IMPV ~ PAST,0.29,0.57,0.0,0.14,0.0
MOD might ~ MOD would,0.0,0.43,0.14,0.43,0.0
FUT ~ FUT going-to,1.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.5,0.33,0.0,0.17,0.0
MOD is to ~ MOD may,0.33,0.0,0.67,0.0,0.0
