eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT ~ MOD shall,961,462,129,185,10
IMPV ~ MOD shall,28,126,347,0,6
FUT ~ PRES,132,82,19,196,0
MOD must ~ MOD shall,24,59,253,1,1
MOD is to ~ MOD shall,29,55,203,0,7
MOD shall ~ PRES,35,35,55,22,3
FUT ~ MOD may,31,50,19,34,0
IMPV ~ MOD let,21,58,5,28,0
PAST ~ PRES,37,13,3,56,2
MOD let ~ MOD may,5,25,1,73,0
PRES ~ PRES PART,27,17,11,41,0
PRES ~ PRES PERF,19,21,17,31,0
FUT ~ MOD lest,10,33,15,14,0
MOD can ~ PRES,16,19,1,35,0
FUT ~ MOD can,23,18,1,22,0
MOD may ~ PRES,11,22,10,19,0
MOD may ~ MOD shall,5,16,22,15,0
IMPV ~ PRES,16,11,2,26,0
MOD can ~ MOD may,6,32,5,7,0
PRES ~ TO INF,7,7,17,14,0
MOD should ~ PRES,9,19,2,15,0
MOD can ~ MOD shall,12,17,2,13,0
FUT ~ MOD would,10,14,0,18,0
MOD shall ~ TO INF,10,22,5,1,0
PAST ~ PRES PERF,7,2,2,22,0
MOD may ~ TO INF,3,26,3,1,0
MOD shall ~ MOD should,13,15,1,2,0
IMPV ~ MOD may,1,19,3,7,0
FUT ~ TO INF,6,14,0,9,0
MOD would ~ PAST,7,16,2,3,1
MOD would ~ PRES,1,5,1,16,0
FUT ~ IMPV,7,7,1,8,0
MOD let ~ PRES,6,4,0,12,0
FUT ~ MOD let,5,7,0,9,0
PAST ~ PRES PART,7,5,1,7,1
MOD shall ~ PRES PART,8,2,10,0,0
MOD should ~ TO INF,3,10,0,5,1
MOD must ~ PRES,2,5,5,6,0
FUT ~ PRES PART,10,5,0,2,0
MOD let ~ TO INF,1,12,0,4,0
MOD lest ~ MOD may,2,3,7,4,0
PRES ~ PRES PROG,2,7,5,2,0
FUT ~ PAST,8,5,0,2,0
MOD let ~ MOD shall,6,3,6,0,0
MOD should ~ MOD would,2,4,1,7,0
MOD lest ~ PRES,1,10,1,2,0
IMPV ~ MOD must,2,11,1,0,0
MOD shall ~ PAST,7,5,2,0,0
PAST ~ TO INF,3,4,1,3,2
FUT ~ MOD should,4,2,1,5,0
HAB used to ~ PAST,2,9,0,1,0
MOD may ~ MOD must,0,5,5,1,0
IMPV ~ MOD can,0,2,0,9,0
PAST ~ PAST PERF,1,5,0,4,0
MOD is to ~ MOD let,0,5,4,0,0
MOD let ~ MOD must,1,6,2,0,0
MOD was to ~ PAST,2,3,3,1,0
MOD can ~ MOD should,3,4,0,1,0
MOD can ~ MOD could,1,3,0,4,0
MOD let ~ MOD should,1,6,0,1,0
MOD let ~ PAST,1,1,1,5,0
MOD could ~ MOD would,4,2,0,1,0
IMPV ~ MOD should,6,1,0,0,0
MOD might ~ MOD would,3,0,1,3,0
IMPV ~ PRES PART,3,3,1,0,0
FUT ~ MOD must,2,2,0,3,0
IMPV ~ TO INF,2,2,2,1,0
MOD should ~ MOD was to,0,5,0,2,0
IMPV ~ PAST,4,2,0,1,0
MOD lest ~ MOD might,1,4,1,0,0
MOD is to ~ MOD may,0,2,4,0,0
MOD can ~ TO INF,1,2,0,3,0
MOD could ~ PAST,0,2,0,4,0
MOD could ~ MOD might,1,4,0,1,0
PRES PART ~ TO INF,1,0,3,2,0
PAST ~ PAST PROG,2,3,0,1,0
MOD shall ~ MOD would,0,2,1,3,0
?VB ~ MOD let,0,1,0,5,0
FUT ~ PRES PERF,2,3,0,1,0
FUT ~ FUT going-to,0,6,0,0,0
MOD may ~ PRES PART,3,3,0,0,0
FUT going-to ~ MOD shall,1,5,0,0,0
MOD let ~ PRES PART,1,2,0,2,0
MOD VB ~ MOD may,2,0,1,2,0
MOD is to ~ MOD must,1,4,0,0,0
MOD might ~ TO INF,2,1,0,2,0
MOD lest ~ TO INF,0,4,1,0,0
MOD might ~ PAST,3,0,0,2,0
MOD can ~ MOD let,1,4,0,0,0
MOD might ~ MOD should,0,3,0,2,0
MOD can ~ PRES PART,1,1,0,3,0
MOD would ~ TO INF,1,1,0,3,0
MOD can ~ PAST,3,1,0,0,0
?VB ~ PAST,0,2,0,2,0
PRES PERF ~ TO INF,4,0,0,0,0
FUT ~ MOD is to,1,3,0,0,0
MOD VB ~ PRES,0,0,0,4,0
MOD should ~ PAST,1,1,0,2,0
PAST PERF ~ PRES,1,2,0,1,0
FUT ~ PRES PROG,1,3,0,0,0
IMPV ~ MOD lest,2,1,0,1,0
MOD can ~ MOD might,0,3,0,0,0
MOD could ~ MOD should,1,2,0,0,0
MOD would ~ PRES PART,1,1,0,1,0
FUT PROG ~ PRES,0,0,2,1,0
FUT ~ MOD that be,0,2,1,0,0
PRES PART ~ PRES PERF,1,0,0,2,0
MOD could ~ MOD must,0,0,0,3,0
IMPV ~ MOD is to,0,3,0,0,0
MOD shall ~ PRES PERF,0,3,0,0,0
MOD may ~ PAST,0,1,0,2,0
MOD need not ~ MOD shall,0,1,0,2,0
MOD may ~ MOD might,1,1,0,1,0
MOD may ~ PRES PERF,0,1,1,1,0
MOD let ~ PRES PERF,0,2,0,1,0
MOD let ~ MOD would,0,2,0,1,0
MOD is to ~ PRES PART,0,2,0,1,0
MOD lest ~ MOD would,0,2,1,0,0
MOD should ~ PRES PERF,1,1,0,0,0
MOD let ~ MOD that be,0,1,0,1,0
MOD must ~ MOD should,0,1,0,1,0
PAST PROG ~ PRES,1,0,0,1,0
MOD lest ~ MOD should,0,0,0,2,0
PRES ~ PRES do,0,0,0,2,0
??VB ~ MOD let,0,2,0,0,0
MOD lest ~ MOD shall,1,1,0,0,0
MOD is to ~ PRES,0,2,0,0,0
MOD could ~ TO INF,0,1,0,1,0
MOD is to ~ TO INF,0,1,0,1,0
MOD need not ~ PRES,1,0,1,0,0
?VB ~ MOD shall,0,1,1,0,0
?VB ~ MOD must,0,2,0,0,0
MOD can ~ MOD must,0,1,0,1,0
?VB ~ IMPV,0,1,0,0,0
PRES PART ~ PRES PROG,0,1,0,0,0
?VB ~ MOD lest,0,0,0,1,0
MOD should ~ PRES PART,0,1,0,0,0
MOD might ~ PRES PERF,1,0,0,0,0
MOD must ~ MOD quest must,1,0,0,0,0
MOD quest must ~ MOD shall,0,1,0,0,0
PRES PERF ~ PRES PROG,0,0,0,1,0
FUT PROG ~ MOD shall,0,0,1,0,0
FUT going-to ~ MOD is to,1,0,0,0,0
MOD must ~ PRES PROG,0,0,0,1,0
PRES ~ PRES can,0,1,0,0,0
FUT ~ MOD,0,1,0,0,0
FUT PERF ~ PRES,0,1,0,0,0
MOD may ~ MOD would,0,1,0,0,0
MOD must ~ PRES shall,0,0,1,0,0
FUT ~ FUT PROG,0,0,0,1,0
MOD must ~ TO INF,0,1,0,0,0
FUT going-to ~ MOD lest,0,1,0,0,0
MOD must ~ PRES PART,0,1,0,0,0
MOD could ~ MOD shall,0,1,0,0,0
MOD may ~ MOD should,0,0,0,1,0
MOD that be ~ TO INF,0,0,1,0,0
MOD could ~ PRES PERF,0,0,0,1,0
MOD is to ~ MOD lest,1,0,0,0,0
MOD would ~ PAST PROG,0,0,0,1,0
MOD is to ~ MOD should,0,1,0,0,0
MOD is to ~ PRES PROG,0,1,0,0,0
MOD ~ PRES,0,1,0,0,0
MOD can ~ MOD lest,0,1,0,0,0
MOD lest ~ MOD let,0,1,0,0,0
MOD VB ~ TO INF,0,0,0,1,0
PRES ~ PRES shall,0,0,1,0,0
MOD VB ~ MOD shall,1,0,0,0,0
MOD lest ~ MOD must,0,0,1,0,0
MOD VB ~ MOD can,0,0,0,1,0
JJ ~ PRES,0,0,0,1,0
IMPV ~ PRES PERF,1,0,0,0,0
MOD lest ~ MOD that be,0,0,1,0,0
MOD would ~ PAST PERF,1,0,0,0,0
IMPV ~ MOD need not,0,0,1,0,0
MOD let ~ MOD might,1,0,0,0,0
PAST PROG ~ PRES PART,1,0,0,0,0
MOD was to ~ PRES,0,1,0,0,0
IMPV ~ MOD,0,1,0,0,0
HAB used to ~ PRES PERF,0,0,0,1,0
MOD could ~ PAST PERF,0,1,0,0,0
MOD let ~ VB,0,1,0,0,0
HAB used to ~ MOD would,0,0,0,1,0
FUT ~ PRES shall,0,0,1,0,0
HAB used to ~ PRES,0,1,0,0,0
