eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT ~ MOD shall,1.82,3.78,13.54,9.44,174.7
IMPV ~ MOD shall,18.11,4.02,1.46,inf,84.5
FUT ~ PRES,3.25,5.23,22.58,2.19,inf
MOD must ~ MOD shall,14.08,5.73,1.34,338.0,338.0
MOD is to ~ MOD shall,10.14,5.35,1.45,inf,42.0
MOD shall ~ PRES,4.29,4.29,2.73,6.82,50.0
FUT ~ MOD may,4.32,2.68,7.05,3.94,inf
IMPV ~ MOD let,5.33,1.93,22.4,4.0,inf
PAST ~ PRES,3.0,8.54,37.0,1.98,55.5
MOD let ~ MOD may,20.8,4.16,104.0,1.42,inf
PRES ~ PRES PART,3.56,5.65,8.73,2.34,inf
PRES ~ PRES PERF,4.63,4.19,5.18,2.84,inf
FUT ~ MOD lest,7.2,2.18,4.8,5.14,inf
MOD can ~ PRES,4.44,3.74,71.0,2.03,inf
FUT ~ MOD can,2.78,3.56,64.0,2.91,inf
MOD may ~ PRES,5.64,2.82,6.2,3.26,inf
MOD may ~ MOD shall,11.6,3.62,2.64,3.87,inf
IMPV ~ PRES,3.44,5.0,27.5,2.12,inf
MOD can ~ MOD may,8.33,1.56,10.0,7.14,inf
PRES ~ TO INF,6.43,6.43,2.65,3.21,inf
MOD should ~ PRES,5.0,2.37,22.5,3.0,inf
MOD can ~ MOD shall,3.67,2.59,22.0,3.38,inf
FUT ~ MOD would,4.2,3.0,inf,2.33,inf
MOD shall ~ TO INF,3.8,1.73,7.6,38.0,inf
PAST ~ PRES PERF,4.71,16.5,16.5,1.5,inf
MOD may ~ TO INF,11.0,1.27,11.0,33.0,inf
MOD shall ~ MOD should,2.38,2.07,31.0,15.5,inf
IMPV ~ MOD may,30.0,1.58,10.0,4.29,inf
FUT ~ TO INF,4.83,2.07,inf,3.22,inf
MOD would ~ PAST,4.14,1.81,14.5,9.67,29.0
MOD would ~ PRES,23.0,4.6,23.0,1.44,inf
FUT ~ IMPV,3.29,3.29,23.0,2.88,inf
MOD let ~ PRES,3.67,5.5,inf,1.83,inf
FUT ~ MOD let,4.2,3.0,inf,2.33,inf
PAST ~ PRES PART,3.0,4.2,21.0,3.0,21.0
MOD shall ~ PRES PART,2.5,10.0,2.0,inf,inf
MOD should ~ TO INF,6.33,1.9,inf,3.8,19.0
MOD must ~ PRES,9.0,3.6,3.6,3.0,inf
FUT ~ PRES PART,1.7,3.4,inf,8.5,inf
MOD let ~ TO INF,17.0,1.42,inf,4.25,inf
MOD lest ~ MOD may,8.0,5.33,2.29,4.0,inf
PRES ~ PRES PROG,8.0,2.29,3.2,8.0,inf
FUT ~ PAST,1.88,3.0,inf,7.5,inf
MOD let ~ MOD shall,2.5,5.0,2.5,inf,inf
MOD should ~ MOD would,7.0,3.5,14.0,2.0,inf
MOD lest ~ PRES,14.0,1.4,14.0,7.0,inf
IMPV ~ MOD must,7.0,1.27,14.0,inf,inf
MOD shall ~ PAST,2.0,2.8,7.0,inf,inf
PAST ~ TO INF,4.33,3.25,13.0,4.33,6.5
FUT ~ MOD should,3.0,6.0,12.0,2.4,inf
HAB used to ~ PAST,6.0,1.33,inf,12.0,inf
MOD may ~ MOD must,inf,2.2,2.2,11.0,inf
