eng_TAMsimp,TOTAL,prophetic,prose,instruction,poetry,list
FUT ~ MOD shall,1727,957,454,129,177,10
IMPV ~ MOD shall,504,28,125,345,0,6
FUT ~ PRES,414,131,81,19,183,0
MOD must ~ MOD shall,338,24,59,253,1,1
MOD is to ~ MOD shall,294,29,55,203,0,7
MOD shall ~ PRES,148,35,35,55,20,3
PAST ~ PRES,110,37,13,3,55,2
FUT ~ MOD may,103,26,36,19,22,0
PRES ~ PRES PART,96,27,17,11,41,0
PRES ~ PRES PERF,88,19,21,17,31,0
FUT ~ MOD lest,71,10,32,15,14,0
MOD can ~ PRES,71,16,19,1,35,0
FUT ~ MOD can,64,23,18,1,22,0
MOD may ~ MOD shall,53,5,14,22,12,0
IMPV ~ PRES,47,15,7,2,23,0
MOD may ~ PRES,46,10,10,10,16,0
MOD should ~ PRES,44,9,19,2,14,0
MOD can ~ MOD shall,44,12,17,2,13,0
PRES ~ TO INF,41,7,7,13,14,0
FUT ~ MOD would,40,10,13,0,17,0
MOD shall ~ TO INF,37,10,21,5,1,0
MOD can ~ MOD may,34,5,17,5,7,0
PAST ~ PRES PERF,33,7,2,2,22,0
MOD shall ~ MOD should,31,13,15,1,2,0
MOD would ~ PAST,29,7,16,2,3,1
FUT ~ TO INF,27,6,12,0,9,0
MOD would ~ PRES,23,1,5,1,16,0
PAST ~ PRES PART,21,7,5,1,7,1
FUT ~ IMPV,21,5,7,1,8,0
MOD shall ~ PRES PART,20,8,2,10,0,0
MOD must ~ PRES,18,2,5,5,6,0
MOD should ~ TO INF,18,2,10,0,5,1
MOD lest ~ MOD may,16,2,3,7,4,0
PRES ~ PRES PROG,16,2,7,5,2,0
FUT ~ PRES PART,15,10,3,0,2,0
FUT ~ PAST,15,8,5,0,2,0
MOD let ~ PRES,15,5,3,0,7,0
MOD lest ~ PRES,14,1,10,1,2,0
FUT ~ MOD let,14,4,5,0,5,0
MOD should ~ MOD would,14,2,4,1,7,0
MOD shall ~ PAST,14,7,5,2,0,0
IMPV ~ MOD may,13,1,6,2,4,0
MOD let ~ MOD shall,13,4,3,6,0,0
HAB used to ~ PAST,12,2,9,0,1,0
MOD may ~ TO INF,12,2,8,1,1,0
FUT ~ MOD should,12,4,2,1,5,0
IMPV ~ MOD must,12,2,9,1,0,0
IMPV ~ MOD let,11,3,4,4,0,0
PAST ~ TO INF,11,2,3,1,3,2
IMPV ~ MOD can,11,0,2,0,9,0
MOD may ~ MOD must,10,0,5,5,0,0
PAST ~ PAST PERF,10,1,5,0,4,0
MOD was to ~ PAST,9,2,3,3,1,0
MOD can ~ MOD should,8,3,4,0,1,0
MOD can ~ MOD could,8,1,3,0,4,0
FUT ~ MOD must,7,2,2,0,3,0
MOD should ~ MOD was to,7,0,5,0,2,0
MOD could ~ MOD would,6,4,2,0,0,0
MOD let ~ MOD must,6,0,4,2,0,0
MOD could ~ PAST,6,0,2,0,4,0
MOD is to ~ MOD may,6,0,2,4,0,0
FUT going-to ~ MOD shall,6,1,5,0,0,0
PRES PART ~ TO INF,6,1,0,3,2,0
FUT ~ PRES PERF,6,2,3,0,1,0
MOD shall ~ MOD would,6,0,2,1,3,0
MOD lest ~ MOD might,6,1,4,1,0,0
MOD might ~ MOD would,6,2,0,1,3,0
PAST ~ PAST PROG,6,2,3,0,1,0
MOD may ~ PRES PART,5,3,2,0,0,0
MOD can ~ TO INF,5,1,1,0,3,0
MOD is to ~ MOD must,5,1,4,0,0,0
MOD would ~ TO INF,5,1,1,0,3,0
MOD lest ~ TO INF,5,0,4,1,0,0
IMPV ~ PRES PART,5,1,3,1,0,0
MOD might ~ MOD should,5,0,3,0,2,0
MOD might ~ TO INF,5,2,1,0,2,0
MOD can ~ PRES PART,5,1,1,0,3,0
FUT ~ FUT going-to,5,0,5,0,0,0
MOD VB ~ MOD may,5,2,0,1,2,0
MOD might ~ PAST,5,3,0,0,2,0
FUT ~ MOD is to,4,1,3,0,0,0
IMPV ~ TO INF,4,1,0,2,1,0
IMPV ~ PAST,4,3,0,0,1,0
MOD can ~ PAST,4,3,1,0,0,0
IMPV ~ MOD lest,4,2,1,0,1,0
MOD VB ~ PRES,4,0,0,0,4,0
MOD could ~ MOD might,4,0,4,0,0,0
?VB ~ PAST,4,0,2,0,2,0
MOD should ~ PAST,4,1,1,0,2,0
PAST PERF ~ PRES,4,1,2,0,1,0
PRES PERF ~ TO INF,4,4,0,0,0,0
MOD let ~ MOD may,4,1,1,1,1,0
MOD shall ~ PRES PERF,3,0,3,0,0,0
MOD would ~ PRES PART,3,1,1,0,1,0
MOD may ~ MOD might,3,1,1,0,1,0
PRES PART ~ PRES PERF,3,1,0,0,2,0
MOD can ~ MOD let,3,0,3,0,0,0
MOD could ~ MOD must,3,0,0,0,3,0
MOD could ~ MOD should,3,1,2,0,0,0
FUT ~ MOD that be,3,0,2,1,0,0
MOD lest ~ MOD would,3,0,2,1,0,0
FUT ~ PRES PROG,3,1,2,0,0,0
FUT PROG ~ PRES,3,0,0,2,1,0
MOD is to ~ PRES PART,3,0,2,0,1,0
IMPV ~ MOD is to,3,0,3,0,0,0
MOD can ~ MOD might,3,0,3,0,0,0
MOD must ~ MOD should,2,0,1,0,1,0
MOD can ~ MOD must,2,0,1,0,1,0
