eng_TAMsimp,prophetic,prose,instruction,poetry,list
MOD can ~ TO INF,4.0,4.0,inf,0.67,inf
MOD is to ~ MOD must,4.0,0.25,inf,inf,inf
MOD would ~ TO INF,4.0,4.0,inf,0.67,inf
MOD lest ~ TO INF,inf,0.25,4.0,inf,inf
IMPV ~ PRES PART,4.0,0.67,4.0,inf,inf
MOD might ~ MOD should,inf,0.67,inf,1.5,inf
MOD might ~ TO INF,1.5,4.0,inf,1.5,inf
MOD can ~ PRES PART,4.0,4.0,inf,0.67,inf
FUT ~ FUT going-to,inf,0.0,inf,inf,inf
MOD VB ~ MOD may,1.5,inf,4.0,1.5,inf
MOD might ~ PAST,0.67,inf,inf,1.5,inf
FUT ~ MOD is to,3.0,0.33,inf,inf,inf
IMPV ~ TO INF,3.0,inf,1.0,3.0,inf
IMPV ~ PAST,0.33,inf,inf,3.0,inf
MOD can ~ PAST,0.33,3.0,inf,inf,inf
IMPV ~ MOD lest,1.0,3.0,inf,3.0,inf
MOD VB ~ PRES,inf,inf,inf,0.0,inf
MOD could ~ MOD might,inf,0.0,inf,inf,inf
?VB ~ PAST,inf,1.0,inf,1.0,inf
MOD should ~ PAST,3.0,3.0,inf,1.0,inf
PAST PERF ~ PRES,3.0,1.0,inf,3.0,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf,inf
MOD let ~ MOD may,3.0,3.0,3.0,3.0,inf
MOD shall ~ PRES PERF,inf,0.0,inf,inf,inf
MOD would ~ PRES PART,2.0,2.0,inf,2.0,inf
MOD may ~ MOD might,2.0,2.0,inf,2.0,inf
PRES PART ~ PRES PERF,2.0,inf,inf,0.5,inf
MOD can ~ MOD let,inf,0.0,inf,inf,inf
MOD could ~ MOD must,inf,inf,inf,0.0,inf
MOD could ~ MOD should,2.0,0.5,inf,inf,inf
FUT ~ MOD that be,inf,0.5,2.0,inf,inf
MOD lest ~ MOD would,inf,0.5,2.0,inf,inf
FUT ~ PRES PROG,2.0,0.5,inf,inf,inf
FUT PROG ~ PRES,inf,inf,0.5,2.0,inf
MOD is to ~ PRES PART,inf,0.5,inf,2.0,inf
IMPV ~ MOD is to,inf,0.0,inf,inf,inf
MOD can ~ MOD might,inf,0.0,inf,inf,inf
MOD must ~ MOD should,inf,1.0,inf,1.0,inf
MOD can ~ MOD must,inf,1.0,inf,1.0,inf
MOD should ~ PRES PERF,1.0,1.0,inf,inf,inf
IMPV ~ MOD should,0.0,inf,inf,inf,inf
MOD may ~ PRES PERF,inf,inf,1.0,1.0,inf
MOD need not ~ MOD shall,inf,1.0,inf,1.0,inf
MOD may ~ PAST,inf,1.0,inf,1.0,inf
MOD need not ~ PRES,1.0,inf,1.0,inf,inf
PAST PROG ~ PRES,1.0,inf,inf,1.0,inf
MOD lest ~ MOD shall,1.0,1.0,inf,inf,inf
PRES ~ PRES do,inf,inf,inf,0.0,inf
MOD let ~ PAST,inf,inf,1.0,1.0,inf
MOD is to ~ TO INF,inf,1.0,inf,1.0,inf
MOD lest ~ MOD should,inf,inf,inf,0.0,inf
MOD let ~ TO INF,inf,0.0,inf,inf,inf
MOD could ~ TO INF,inf,1.0,inf,1.0,inf
HAB used to ~ PRES,inf,0.0,inf,inf,inf
FUT PERF ~ PRES,inf,0.0,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,0.0,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf,inf
HAB used to ~ MOD would,inf,inf,inf,0.0,inf
MOD should ~ PRES PART,inf,0.0,inf,inf,inf
FUT ~ PRES shall,inf,inf,0.0,inf,inf
FUT going-to ~ MOD lest,inf,0.0,inf,inf,inf
MOD that be ~ TO INF,inf,inf,0.0,inf,inf
MOD was to ~ PRES,inf,0.0,inf,inf,inf
MOD would ~ PAST PERF,0.0,inf,inf,inf,inf
MOD would ~ PAST PROG,inf,inf,inf,0.0,inf
FUT ~ FUT PROG,inf,inf,inf,0.0,inf
PRES ~ PRES can,inf,0.0,inf,inf,inf
FUT ~ MOD,inf,0.0,inf,inf,inf
MOD ~ PRES,inf,0.0,inf,inf,inf
PRES PERF ~ PRES PROG,inf,inf,inf,0.0,inf
PRES PART ~ PRES PROG,inf,0.0,inf,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf,inf,inf
MOD lest ~ MOD must,inf,inf,0.0,inf,inf
HAB used to ~ PRES PERF,inf,inf,inf,0.0,inf
MOD may ~ MOD should,inf,inf,inf,0.0,inf
MOD lest ~ MOD let,inf,0.0,inf,inf,inf
MOD is to ~ PRES PROG,inf,0.0,inf,inf,inf
MOD is to ~ PRES,inf,0.0,inf,inf,inf
MOD is to ~ MOD should,inf,0.0,inf,inf,inf
MOD lest ~ MOD that be,inf,inf,0.0,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,inf,inf,0.0,inf
MOD could ~ PAST PERF,inf,0.0,inf,inf,inf
MOD let ~ MOD should,inf,0.0,inf,inf,inf
MOD could ~ MOD shall,inf,0.0,inf,inf,inf
MOD let ~ MOD that be,inf,inf,inf,0.0,inf
MOD let ~ PRES PART,inf,0.0,inf,inf,inf
MOD let ~ PRES PERF,inf,inf,inf,0.0,inf
MOD may ~ MOD would,inf,0.0,inf,inf,inf
MOD quest must ~ MOD shall,inf,0.0,inf,inf,inf
MOD can ~ MOD lest,inf,0.0,inf,inf,inf
MOD VB ~ TO INF,inf,inf,inf,0.0,inf
MOD VB ~ MOD shall,0.0,inf,inf,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf,inf,inf
MOD VB ~ MOD can,inf,inf,inf,0.0,inf
JJ ~ PRES,inf,inf,inf,0.0,inf
MOD must ~ MOD quest must,0.0,inf,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf,inf
PRES ~ PRES shall,inf,inf,0.0,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,0.0,inf
MOD must ~ PRES shall,inf,inf,0.0,inf,inf
IMPV ~ MOD need not,inf,inf,0.0,inf,inf
MOD must ~ TO INF,inf,0.0,inf,inf,inf
MOD must ~ PRES PART,inf,0.0,inf,inf,inf
