,prophetic,prose,instruction,poetry,prose,instruction,prophetic,list,prophetic,instruction,prose,list,instruction,poetry,prophetic,prose,poetry,list
,Q,Q,Q,Q,N,D,?,N,D,?,D,Q,N,?,N,?,D,?
FUT,4.06,0.98,0.12,0.46,0.0,0.13,2.87,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0
FUT ~ MOD shall,2.83,0.7,0.51,0.41,0.0,0.04,2.72,0.0,2.06,0.45,0.23,2.89,0.0,0.0,0.0,0.0,0.0,0.0
PRES,0.76,0.99,0.72,4.32,0.09,5.56,0.69,0.0,1.03,1.34,0.0,0.0,0.0,42.6,0.0,0.0,inf,0.0
IMPV ~ MOD shall,0.14,0.71,8.2,0.0,0.0,1.22,0.0,0.0,0.0,0.49,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.79,4.29,0.31,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.02,0.45,12.05,0.0,0.0,0.52,0.0,0.0,0.0,9.41,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.37,0.37,0.08,8.0,49.72,0.0,0.0,1.42,0.0,0.0,10.91,0.0,69.38,0.0,13.39,inf,0.0,0.0
MOD shall,0.03,0.39,7.54,0.0,0.0,8.06,0.0,0.0,0.0,9.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.05,0.19,19.26,0.17,0.0,1.88,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,1.2,1.23,0.39,2.74,0.0,1.01,1.62,0.0,0.0,1.99,0.0,0.0,0.0,12.8,6.34,0.0,0.0,0.0
MOD may,0.26,3.08,1.32,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.23,0.08,0.27,2.28,0.0,0.0,0.0,942.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.91,0.92,1.97,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,1.81,1.06,0.65,0.0,0.0,2.11,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.89,2.14,0.54,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.32,0.84,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.33,1.06,1.14,2.14,0.0,0.0,4.65,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.35,3.46,0.77,1.06,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.17,0.63,0.0,0.0,29.28,0.0,0.0,0.0,0.0,0.0,84.9,12.29,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.61,3.23,0.44,0.0,0.0,2.28,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,0.51,1.26,0.65,9.09,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.17,0.36,0.0,1.16,44.92,0.0,0.0,0.0,0.0,0.0,71.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,5.82,0.9,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,13.41,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.45,0.79,2.45,2.81,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
