genre,prophetic,prose,instruction,poetry,prose,instruction,prophetic,list,prophetic,instruction,prose,list,instruction,poetry,prophetic,prose,poetry,list
domain2,Q,Q,Q,Q,N,D,?,N,D,?,D,Q,N,?,N,?,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT,0.69,2.56,20.8,50.15,inf,331.5,28.56,inf,41.9,inf,inf,inf,inf,inf,1329.0,inf,inf,inf
FUT ~ MOD shall,0.85,3.41,5.76,58.0,inf,1061.0,27.7,inf,58.0,211.4,530.0,131.75,inf,inf,inf,inf,inf,inf
PRES,2.49,2.54,4.41,7.79,491.0,13.47,81.0,inf,97.4,81.0,inf,inf,inf,60.5,inf,inf,97.4,inf
IMPV ~ MOD shall,12.93,3.49,0.49,inf,inf,45.44,inf,inf,inf,208.0,inf,138.33,inf,inf,inf,inf,inf,inf
IMPV,2.41,0.65,10.1,113.67,inf,inf,inf,inf,inf,inf,inf,343.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,76.0,5.42,0.32,inf,inf,101.67,inf,inf,inf,16.11,inf,153.0,inf,inf,inf,inf,inf,inf
PAST,5.06,6.63,40.2,4.02,2.17,inf,inf,67.67,inf,inf,17.73,inf,19.6,inf,67.67,28.43,inf,inf
MOD shall,67.33,6.32,0.47,inf,inf,8.32,inf,inf,inf,14.77,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,37.25,12.91,0.19,152.0,inf,29.6,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,1.62,2.06,8.17,10.0,inf,54.0,35.67,inf,inf,54.0,inf,inf,inf,54.0,109.0,inf,inf,inf
MOD may,7.25,0.83,2.47,inf,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,8.14,31.0,11.8,11.8,inf,inf,inf,0.42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,2.11,2.73,1.67,inf,inf,inf,inf,inf,inf,55.0,inf,55.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,1.08,2.38,5.0,inf,inf,26.0,53.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,2.18,1.19,6.0,10.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,6.0,3.0,0.75,inf,inf,inf,inf,inf,inf,inf,inf,27.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,5.75,2.38,2.86,12.5,inf,inf,12.5,5.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,5.5,0.73,4.2,25.0,inf,25.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,11.5,4.0,inf,inf,1.78,inf,inf,inf,inf,inf,2.12,24.0,inf,inf,inf,inf,inf,inf
TO INF,3.17,0.79,7.33,inf,inf,24.0,inf,inf,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,3.8,2.0,5.0,3.0,inf,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,11.0,7.0,inf,23.0,1.18,inf,inf,inf,inf,inf,2.43,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,inf,0.44,3.6,inf,inf,22.0,inf,inf,inf,inf,inf,22.0,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,4.25,3.2,1.33,9.5,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,9.5,0.4,20.0,9.5,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,0.58,2.17,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,2.17,1.71,2.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,17.0,1.57,1.0,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,inf,7.5,inf,4.67,1.83,inf,inf,2.4,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,1.29,1.29,15.0,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,inf,1.29,1.0,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,4.0,0.5,14.0,inf,inf,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,inf,0.4,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,13.0,1.33,13.0,inf,3.67,3.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,1.6,0.86,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,0.86,2.25,inf,5.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,0.71,1.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,inf,0.22,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,4.5,0.38,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,inf,0.43,4.0,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,0.8,inf,2.0,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,2.0,0.8,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,7.0,3.0,1.0,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD let,inf,7.0,0.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,7.0,0.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf
FUT ~ PAST,7.0,1.0,7.0,7.0,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PAST,6.0,inf,0.75,inf,inf,inf,inf,inf,inf,2.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,2.5,6.0,inf,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,2.5,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,1.33,inf,inf,inf,inf,6.0
MOD lest ~ TO INF,6.0,0.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,6.0,6.0,inf,inf,1.33,inf,inf,inf,inf,inf,6.0,inf,inf,inf,6.0,inf,inf,inf
MOD shall ~ PRES PERF,1.0,5.0,5.0,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,1.5,1.5,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,inf,4.0,0.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,4.0,1.5,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,1.5,4.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,inf,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,3.0,1.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,inf,inf,inf,inf,0.33,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
