genre,prophetic,prose,instruction,poetry,prose,instruction,prophetic,list,prophetic,instruction,prose,list,instruction,poetry,prophetic,prose,poetry,list
domain2,Q,Q,Q,Q,N,D,?,N,D,?,D,Q,N,?,N,?,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT,1.69,3.56,21.8,51.15,inf,332.5,29.56,inf,42.9,inf,inf,inf,inf,inf,1330.0,inf,inf,inf
FUT ~ MOD shall,1.85,4.41,6.76,59.0,inf,1062.0,28.7,inf,59.0,212.4,531.0,132.75,inf,inf,inf,inf,inf,inf
PRES,3.49,3.54,5.41,8.79,492.0,14.47,82.0,inf,98.4,82.0,inf,inf,inf,61.5,inf,inf,98.4,inf
IMPV ~ MOD shall,13.93,4.49,1.49,inf,inf,46.44,inf,inf,inf,209.0,inf,139.33,inf,inf,inf,inf,inf,inf
IMPV,3.41,1.65,11.1,114.67,inf,inf,inf,inf,inf,inf,inf,344.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,77.0,6.42,1.32,inf,inf,102.67,inf,inf,inf,17.11,inf,154.0,inf,inf,inf,inf,inf,inf
PAST,6.06,7.63,41.2,5.02,3.17,inf,inf,68.67,inf,inf,18.73,inf,20.6,inf,68.67,29.43,inf,inf
MOD shall,68.33,7.32,1.47,inf,inf,9.32,inf,inf,inf,15.77,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,38.25,13.91,1.19,153.0,inf,30.6,inf,inf,inf,51.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,2.62,3.06,9.17,11.0,inf,55.0,36.67,inf,inf,55.0,inf,inf,inf,55.0,110.0,inf,inf,inf
MOD may,8.25,1.83,3.47,inf,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,9.14,32.0,12.8,12.8,inf,inf,inf,1.42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,3.11,3.73,2.67,inf,inf,inf,inf,inf,inf,56.0,inf,56.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,2.08,3.38,6.0,inf,inf,27.0,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,3.18,2.19,7.0,11.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,7.0,4.0,1.75,inf,inf,inf,inf,inf,inf,inf,inf,28.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,6.75,3.38,3.86,13.5,inf,inf,13.5,6.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,6.5,1.73,5.2,26.0,inf,26.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,12.5,5.0,inf,inf,2.78,inf,inf,inf,inf,inf,3.12,25.0,inf,inf,inf,inf,inf,inf
TO INF,4.17,1.79,8.33,inf,inf,25.0,inf,inf,25.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,4.8,3.0,6.0,4.0,inf,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,12.0,8.0,inf,24.0,2.18,inf,inf,inf,inf,inf,3.43,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,inf,1.44,4.6,inf,inf,23.0,inf,inf,inf,inf,inf,23.0,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,5.25,4.2,2.33,10.5,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,10.5,1.4,21.0,10.5,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,1.58,3.17,inf,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,3.17,2.71,3.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,18.0,2.57,2.0,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,inf,8.5,inf,5.67,2.83,inf,inf,3.4,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,2.29,2.29,16.0,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,inf,2.29,2.0,inf,inf,inf,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,5.0,1.5,15.0,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,inf,1.4,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,14.0,2.33,14.0,inf,4.67,4.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,2.6,1.86,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,1.86,3.25,inf,6.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,1.71,2.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,inf,1.22,5.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,5.5,1.38,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,inf,1.43,5.0,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,1.8,inf,3.0,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,3.0,1.8,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES,8.0,4.0,2.0,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD let,inf,8.0,1.14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,8.0,1.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf
FUT ~ PAST,8.0,2.0,8.0,8.0,inf,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PAST,7.0,inf,1.75,inf,inf,inf,inf,inf,inf,3.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,3.5,7.0,inf,1.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,3.5,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,2.33,inf,inf,inf,inf,7.0
MOD lest ~ TO INF,7.0,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,7.0,7.0,inf,inf,2.33,inf,inf,inf,inf,inf,7.0,inf,inf,inf,7.0,inf,inf,inf
MOD shall ~ PRES PERF,2.0,6.0,6.0,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,2.5,2.5,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,inf,5.0,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,5.0,2.5,inf,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,2.5,5.0,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,inf,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,4.0,2.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,inf,inf,inf,inf,1.33,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf
