genre,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
person,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUT,6.93,221.67,8.99,41.56,2.38,332.5,6.86,36.94,88.67,inf,29.56,665.0,inf,26.08,inf,63.33,221.67,inf,266.0,inf,inf,inf,147.78,inf,1330.0,inf,inf,inf,1330.0,665.0,inf,inf,inf
FUT ~ MOD shall,2.17,7.48,6.56,16.86,354.0,70.8,66.38,12.8,75.86,inf,28.7,1062.0,inf,inf,212.4,62.47,1062.0,531.0,354.0,inf,132.75,inf,inf,inf,inf,inf,inf,inf,1062.0,inf,inf,inf,inf
PRES,5.12,6.15,7.24,10.47,25.89,49.2,20.5,18.92,12.95,inf,82.0,16.97,inf,492.0,82.0,164.0,49.2,inf,61.5,98.4,inf,inf,246.0,61.5,inf,inf,inf,98.4,inf,inf,inf,inf,492.0
IMPV ~ MOD shall,inf,19.0,209.0,4.59,inf,1.61,inf,13.93,inf,inf,inf,104.5,inf,inf,209.0,inf,inf,inf,inf,83.6,inf,inf,inf,inf,inf,inf,139.33,inf,inf,inf,inf,inf,inf
IMPV,344.0,inf,344.0,1.66,inf,11.1,inf,3.44,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,114.67,inf,inf,inf,inf,inf,inf,inf,344.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,77.0,1.45,11.0,15.4,inf,15.4,inf,inf,inf,inf,inf,102.67,inf,inf,17.11,inf,inf,inf,inf,inf,154.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,12.12,68.67,15.85,206.0,18.73,206.0,15.85,34.33,9.36,3.17,inf,inf,68.67,206.0,inf,inf,13.73,18.73,51.5,inf,inf,22.89,inf,inf,68.67,29.43,inf,inf,inf,inf,inf,206.0,inf
MOD shall,205.0,1.6,13.67,20.5,inf,18.64,68.33,102.5,inf,inf,inf,9.76,inf,inf,15.77,inf,inf,inf,inf,205.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,51.0,1.43,30.6,25.5,inf,6.95,inf,153.0,inf,inf,inf,51.0,inf,inf,51.0,inf,153.0,inf,inf,76.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,2.97,18.33,9.17,7.86,22.0,22.0,11.0,inf,22.0,inf,36.67,55.0,inf,110.0,55.0,inf,110.0,inf,27.5,inf,inf,inf,inf,55.0,110.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,11.0,5.5,6.0,3.67,inf,9.43,9.43,33.0,inf,inf,inf,66.0,inf,inf,inf,inf,inf,inf,inf,33.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,12.8,12.8,64.0,inf,64.0,inf,64.0,64.0,16.0,inf,inf,inf,1.42,inf,inf,inf,64.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,4.31,3.5,6.22,14.0,56.0,11.2,28.0,14.0,inf,inf,inf,inf,inf,inf,56.0,inf,inf,inf,inf,inf,56.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,2.57,6.75,4.5,18.0,18.0,inf,54.0,27.0,inf,inf,54.0,27.0,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,3.89,8.75,5.0,5.0,35.0,35.0,17.5,35.0,17.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,35.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,7.0,2.55,7.0,9.33,inf,5.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
