,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
FUT,0.76,0.02,0.96,0.15,41.15,0.03,5.73,0.4,0.42,0.0,2.87,0.08,0.0,28.66,0.0,3.13,0.52,0.0,0.56,0.0,0.0,0.0,14.71,0.0,0.41,0.0,0.0,0.0,3.25,inf,0.0,0.0,0.0
FUT ~ MOD shall,7.23,0.84,1.53,0.44,0.02,0.15,0.22,1.57,0.52,0.0,2.72,0.05,0.0,0.0,0.45,2.85,0.1,0.23,0.42,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0
PRES,1.18,1.1,1.27,0.81,0.3,0.24,0.85,0.93,4.71,0.0,0.69,6.4,0.0,0.19,1.34,0.78,3.22,0.0,3.26,3.3,0.0,0.0,2.33,42.6,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf
IMPV ~ MOD shall,0.0,0.29,0.03,2.38,0.0,52.3,0.0,1.33,0.0,0.0,0.0,0.66,0.0,0.0,0.49,0.0,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.01,0.0,0.02,17.04,0.0,1.26,0.0,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.06,16.44,0.77,0.53,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,9.41,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.42,0.08,0.51,0.04,0.44,0.06,1.13,0.49,6.02,50.75,0.0,0.0,1.42,0.47,0.0,0.0,15.19,10.91,3.57,0.0,0.0,62.12,0.0,0.0,13.39,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0
MOD shall,0.02,10.8,0.6,0.39,0.0,0.7,0.24,0.16,0.0,0.0,0.0,10.6,0.0,0.0,9.15,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.09,14.79,0.26,0.31,0.0,2.17,0.0,0.11,0.0,0.0,0.0,1.43,0.0,0.0,2.18,0.0,0.85,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
