genre,prophetic,instruction,prose,prose,prophetic,instruction,prose,prophetic,poetry,prose,prophetic,instruction,list,instruction,instruction,prophetic,poetry,prose,poetry,instruction,list,instruction,prophetic,poetry,prophetic,prose,list,poetry,prophetic,instruction,list,instruction,prose
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,N,?,D,N,Q,?,D,Q,D,Q,D,Q,N,D,?,N,?,Q,D,D,D,?,N,N
person,p3,p3,p3,p2,p1,p2,p1,p2,p3,p3,p3,p3,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p1,p3,p3,p3,p2,p3,p2,p1,p3,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUT,192,6,148,32,560,4,194,36,15,0,45,2,0,51,0,21,6,0,5,0,0,0,9,0,1,0,0,0,1,2,0,0,0
FUT ~ MOD shall,489,142,162,63,3,15,16,83,14,0,37,1,0,0,5,17,1,2,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0
PRES,96,80,68,47,19,10,24,26,38,0,6,29,0,1,6,3,10,0,8,5,0,0,2,8,0,0,0,5,0,0,0,0,1
IMPV ~ MOD shall,0,22,2,91,0,259,0,30,0,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0
IMPV,1,0,1,207,0,31,0,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD shall,4,213,28,20,0,20,0,0,0,0,0,3,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PAST,17,3,13,1,11,1,13,6,22,65,0,0,3,1,0,0,15,11,4,0,0,9,0,0,3,7,0,0,0,0,0,1,0
MOD shall,1,128,15,10,0,11,3,2,0,0,0,21,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,3,107,5,6,0,22,0,1,0,0,0,3,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,37,6,12,14,5,5,10,0,5,0,3,2,0,1,2,0,1,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0
MOD may,6,12,11,18,0,7,7,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,5,5,1,0,1,0,1,1,4,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,13,16,9,4,1,5,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,21,8,12,3,3,0,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,9,4,7,7,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,4,11,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,4,6,5,3,0,1,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,4,3,11,3,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,2,0,4,1,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TO INF,4,1,7,4,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,2,4,6,2,3,0,0,0,3,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,1,0,3,0,1,0,0,0,1,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,0,3,8,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,4,9,2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,1,1,10,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,6,0,2,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
