eng_TAMsimp,TOTAL,"('prophetic', 'Q', 'p3')","('instruction', 'Q', 'p3')","('prose', 'Q', 'p3')","('prose', 'Q', 'p2')","('prophetic', 'Q', 'p1')","('instruction', 'Q', 'p2')","('prose', 'Q', 'p1')","('prophetic', 'Q', 'p2')","('poetry', 'Q', 'p3')","('prose', 'N', 'p3')","('prophetic', '?', 'p3')","('instruction', 'D', 'p3')","('list', 'N', 'p3')","('instruction', 'Q', 'p1')","('instruction', '?', 'p3')","('prophetic', 'D', 'p3')","('poetry', 'Q', 'p1')","('prose', 'D', 'p3')","('poetry', 'Q', 'p2')","('instruction', 'D', 'p2')","('list', 'Q', 'p3')","('instruction', 'N', 'p3')","('prophetic', 'D', 'p1')","('poetry', '?', 'p3')","('prophetic', 'N', 'p3')","('prose', '?', 'p3')","('list', 'Q', 'p2')","('poetry', 'D', 'p3')","('prophetic', 'D', 'p2')","('instruction', 'D', 'p1')","('list', '?', 'p3')","('instruction', 'N', 'p1')","('prose', 'N', 'p2')"
FUT,1330,192,6,148,32,560,4,194,36,15,0,45,2,0,51,0,21,6,0,5,0,0,0,9,0,1,0,0,0,1,2,0,0,0
FUT ~ MOD shall,1062,489,142,162,63,3,15,16,83,14,0,37,1,0,0,5,17,1,2,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0
PRES,492,96,80,68,47,19,10,24,26,38,0,6,29,0,1,6,3,10,0,8,5,0,0,2,8,0,0,0,5,0,0,0,0,1
IMPV ~ MOD shall,418,0,22,2,91,0,259,0,30,0,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0
IMPV,344,1,0,1,207,0,31,0,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD shall,308,4,213,28,20,0,20,0,0,0,0,0,3,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PAST,206,17,3,13,1,11,1,13,6,22,65,0,0,3,1,0,0,15,11,4,0,0,9,0,0,3,7,0,0,0,0,0,1,0
MOD shall,205,1,128,15,10,0,11,3,2,0,0,0,21,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,153,3,107,5,6,0,22,0,1,0,0,0,3,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,110,37,6,12,14,5,5,10,0,5,0,3,2,0,1,2,0,1,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0
MOD may,66,6,12,11,18,0,7,7,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,64,5,5,1,0,1,0,1,1,4,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,56,13,16,9,4,1,5,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,54,21,8,12,3,3,0,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,35,9,4,7,7,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,28,4,11,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,27,4,6,5,3,0,1,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
