eng_TAMsimp,Main,SubAdv,SubMod
FUT,0.01,101.31,inf
FUT ~ MOD shall,0.02,65.38,inf
PRES,0.18,5.65,inf
IMPV ~ MOD shall,0.0,inf,inf
IMPV,0.0,inf,inf
MOD is to ~ MOD shall,0.0,307.0,inf
PAST,0.11,11.12,67.67
MOD shall,0.0,204.0,inf
MOD must ~ MOD shall,0.02,50.0,inf
FUT ~ PRES,0.05,21.0,inf
MOD may,0.02,65.0,inf
PAST ~ PRES,0.02,63.0,inf
MOD shall ~ PRES,0.04,27.0,inf
FUT ~ MOD may,0.0,inf,inf
PRES PERF,0.13,7.75,inf
MOD shall ~ TO INF,0.0,inf,inf
PRES ~ PRES PART,0.5,2.0,inf
PRES ~ PRES PERF,0.24,4.2,inf
MOD would,0.04,24.0,inf
TO INF,0.09,11.5,inf
FUT ~ MOD lest,0.09,11.0,inf
MOD would ~ PAST,0.09,11.0,inf
MOD may ~ TO INF,0.1,10.5,inf
MOD may ~ PRES,0.24,4.25,inf
MOD let,0.0,inf,inf
FUT ~ IMPV,0.0,inf,inf
PRES ~ TO INF,0.19,5.33,inf
MOD may ~ MOD shall,0.0,inf,inf
PAST ~ PRES PART,0.0,inf,inf
FUT ~ TO INF,0.07,15.0,inf
MOD shall ~ PRES PART,0.0,inf,inf
IMPV ~ PRES,0.15,6.5,inf
IMPV ~ MOD let,0.0,inf,inf
PRES PART,0.4,2.5,inf
IMPV ~ TO INF,0.18,5.5,inf
PAST ~ PRES PERF,0.08,12.0,inf
FUT ~ MOD let,0.0,inf,inf
FUT ~ PRES PART,0.0,inf,inf
MOD can ~ MOD may,0.0,inf,inf
FUT ~ MOD would,0.0,inf,inf
MOD can ~ MOD shall,0.0,inf,inf
MOD shall ~ PAST,0.0,inf,inf
MOD let ~ MOD shall,0.0,inf,inf
MOD is to ~ PRES,0.0,inf,inf
MOD is to ~ MOD let,0.0,inf,inf
MOD let ~ MOD may,0.0,inf,inf
FUT ~ PAST,0.14,7.0,inf
MOD is to ~ PAST,0.0,inf,inf
MOD lest ~ MOD may,0.0,inf,inf
PAST ~ TO INF,0.4,2.5,inf
MOD lest ~ TO INF,0.4,2.5,inf
PAST ~ PAST PROG,0.17,6.0,inf
MOD shall ~ PRES PERF,0.0,inf,inf
FUT ~ PRES PERF,0.5,2.0,inf
IMPV ~ MOD lest,0.25,4.0,inf
MOD shall ~ MOD would,0.0,inf,inf
MOD may ~ MOD must,0.67,1.5,inf
MOD can,0.67,1.5,inf
MOD would ~ PRES,0.25,4.0,inf
IMPV ~ PAST,0.0,inf,inf
MOD should ~ PRES,0.33,3.0,inf
HAB used to ~ PAST,0.33,3.0,inf
IMPV ~ MOD may,0.0,inf,inf
IMPV ~ MOD must,0.0,inf,inf
PAST PERF,0.33,3.0,inf
MOD shall ~ MOD should,0.0,inf,inf
FUT ~ MOD can,0.0,inf,inf
MOD let ~ TO INF,0.0,inf,inf
FUT ~ FUT PERF,0.0,inf,inf
MOD should,0.0,inf,inf
MOD could ~ MOD may,2.0,0.5,inf
PAST ~ PAST PERF,0.5,2.0,inf
MOD can ~ PRES,0.0,inf,inf
MOD should ~ TO INF,inf,0.0,inf
IMPV ~ MOD would,0.0,inf,inf
MOD VB ~ PRES,0.0,inf,inf
MOD is to ~ TO INF,0.0,inf,inf
HAB used to ~ MOD would,0.0,inf,inf
HAB used to,0.0,inf,inf
MOD was to,0.0,inf,inf
FUT ~ FUT going-to,0.0,inf,inf
IMPV ~ MOD is to,0.0,inf,inf
MOD that be ~ TO INF,0.0,inf,inf
MOD was to ~ PAST,0.0,inf,inf
PRES ~ PRES PROG,0.0,inf,inf
FUT ~ MOD must,0.0,inf,inf
IMPV ~ PRES PART,0.0,inf,inf
MOD would ~ PRES PART,0.0,inf,inf
FUT going-to ~ MOD shall,0.0,inf,inf
PRES PART ~ PRES PERF,1.0,1.0,inf
MOD may ~ PRES PART,0.0,inf,inf
MOD can ~ MOD let,0.0,inf,inf
MOD lest ~ MOD might,0.0,inf,inf
MOD may ~ MOD should,inf,0.0,inf
MOD let ~ PRES,0.0,inf,inf
MOD must ~ PRES,0.0,inf,inf
MOD let ~ MOD must,0.0,inf,inf
MOD lest ~ PRES PART,0.0,inf,inf
MOD lest ~ MOD must,0.0,inf,inf
MOD must ~ PRES PART,0.0,inf,inf
MOD is to ~ MOD may,0.0,inf,inf
MOD let ~ PRES PART,0.0,inf,inf
MOD should ~ MOD would,0.0,inf,inf
MOD let ~ MOD should,0.0,inf,inf
MOD let ~ MOD would,0.0,inf,inf
MOD can ~ TO INF,0.0,inf,inf
MOD would ~ PRES PROG,0.0,inf,inf
FUT ~ MOD is to,0.0,inf,inf
FUT ~ MOD VB,0.0,inf,inf
MOD ~ MOD would,0.0,inf,inf
MOD would ~ TO INF,0.0,inf,inf
MOD must,0.0,inf,inf
