,Main,SubAdv,SubMod
MOD would ~ PRES,-0.76,0.77,0.0
IMPV ~ PAST,-0.0,0.0,0.0
MOD should ~ PRES,-0.85,0.86,0.0
HAB used to ~ PAST,-0.85,0.86,0.0
IMPV ~ MOD may,-0.0,0.0,0.0
IMPV ~ MOD must,-0.0,0.0,0.0
PAST PERF,-0.85,0.86,0.0
MOD shall ~ MOD should,-0.0,0.0,0.0
FUT ~ MOD can,-0.0,0.0,0.0
MOD let ~ TO INF,-0.0,0.0,0.0
FUT ~ FUT PERF,-0.0,0.0,0.0
MOD should,-0.0,0.0,0.0
MOD could ~ MOD may,-2.39,2.4,0.0
PAST ~ PAST PERF,-0.97,0.97,0.0
MOD can ~ PRES,-0.0,0.0,0.0
MOD should ~ TO INF,-4.29,4.31,0.0
IMPV ~ MOD would,-0.0,0.0,0.0
MOD VB ~ PRES,-0.0,0.0,0.0
MOD is to ~ TO INF,-0.0,0.0,0.0
HAB used to ~ MOD would,-0.0,0.0,0.0
HAB used to,-0.0,0.0,0.0
MOD was to,-0.0,0.0,0.0
FUT ~ FUT going-to,-0.0,0.0,0.0
IMPV ~ MOD is to,-0.0,0.0,0.0
MOD that be ~ TO INF,-0.0,0.0,0.0
MOD was to ~ PAST,-0.0,0.0,0.0
PRES ~ PRES PROG,-0.0,0.0,0.0
FUT ~ MOD must,-0.0,0.0,0.0
IMPV ~ PRES PART,-0.0,0.0,0.0
MOD would ~ PRES PART,-0.0,0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0,0.0
PRES PART ~ PRES PERF,-1.13,1.14,0.0
MOD may ~ PRES PART,-0.0,0.0,0.0
MOD can ~ MOD let,-0.0,0.0,0.0
MOD lest ~ MOD might,-0.0,0.0,0.0
MOD may ~ MOD should,-2.86,2.87,0.0
MOD let ~ PRES,-0.0,0.0,0.0
MOD must ~ PRES,-0.0,0.0,0.0
MOD let ~ MOD must,-0.0,0.0,0.0
MOD lest ~ PRES PART,-0.0,0.0,0.0
MOD lest ~ MOD must,-0.0,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.0
MOD is to ~ MOD may,-0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0
MOD let ~ MOD should,-0.0,0.0,0.0
MOD let ~ MOD would,-0.0,0.0,0.0
MOD can ~ TO INF,-0.0,0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0,0.0
FUT ~ MOD is to,-0.0,0.0,0.0
FUT ~ MOD VB,-0.0,0.0,0.0
MOD ~ MOD would,-0.0,0.0,0.0
MOD would ~ TO INF,-0.0,0.0,0.0
MOD must,-0.0,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0
MOD might ~ MOD would,-0.0,0.0,0.0
PAST PROG ~ TO INF,-0.0,0.0,0.0
FUT PROG,-0.0,0.0,0.0
FUT ~ MOD should,-0.0,0.0,0.0
FUT ~ MOD that be,-0.0,0.0,0.0
PAST PERF ~ PRES PART,-1.43,1.43,0.0
MOD could,-0.0,0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0
MOD let ~ MOD might,-0.0,0.0,0.0
MOD might,-0.0,0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0,0.0
PRES ~ VB,-1.43,1.43,0.0
MOD could ~ MOD would,-0.0,0.0,0.0
MOD lest ~ PRES,-0.0,0.0,0.0
HAB used to ~ PAST PROG,-0.0,0.0,0.0
HAB used to ~ PRES PART,-0.0,0.0,0.0
MOD could ~ TO INF,-1.43,1.43,0.0
IMPV ~ MOD VB,-0.0,0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0,0.0
MOD VB ~ MOD can,-1.43,1.43,0.0
