,Q,N
FUT ~ MOD shall,19.1,-19.1
IMPV ~ MOD shall,6.66,-6.66
MOD is to ~ MOD shall,4.32,-4.32
MOD must ~ MOD shall,2.05,-2.05
FUT ~ PRES,0.58,-0.58
PAST ~ PRES,-55.01,55.01
MOD shall ~ PRES,0.58,-0.58
FUT ~ MOD may,0.58,-0.58
MOD shall ~ TO INF,0.21,-0.21
PRES ~ PRES PERF,-0.0,0.0
PRES ~ PRES PART,-1.99,1.99
FUT ~ MOD lest,-0.0,0.0
MOD may ~ TO INF,-0.0,0.0
MOD may ~ PRES,-0.0,0.0
FUT ~ IMPV,-0.0,0.0
PRES ~ TO INF,-0.0,0.0
MOD would ~ PAST,-12.24,12.24
MOD may ~ MOD shall,-0.0,0.0
PAST ~ PRES PART,-12.68,12.68
FUT ~ TO INF,-0.0,0.0
MOD shall ~ PRES PART,-0.0,0.0
IMPV ~ PRES,-0.0,0.0
IMPV ~ MOD let,-0.0,0.0
PAST ~ PRES PERF,-0.0,0.0
IMPV ~ TO INF,-0.0,0.0
FUT ~ PRES PART,-0.0,0.0
FUT ~ MOD let,-0.0,0.0
FUT ~ MOD would,-0.0,0.0
MOD can ~ MOD may,-0.0,0.0
MOD let ~ MOD shall,-0.0,0.0
MOD can ~ MOD shall,-0.0,0.0
MOD let ~ MOD may,-1.53,1.53
MOD is to ~ MOD let,-0.0,0.0
MOD shall ~ PAST,-0.0,0.0
MOD lest ~ TO INF,-0.0,0.0
MOD is to ~ PRES,-0.0,0.0
FUT ~ PAST,-0.0,0.0
MOD lest ~ MOD may,-0.0,0.0
PAST ~ TO INF,-3.11,3.11
PAST ~ PAST PROG,-4.7,4.7
FUT ~ PRES PERF,-0.0,0.0
MOD would ~ PRES,-0.0,0.0
MOD shall ~ MOD would,-0.0,0.0
MOD is to ~ PAST,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
MOD shall ~ PRES PERF,-0.0,0.0
IMPV ~ MOD lest,-0.0,0.0
MOD may ~ MOD must,-0.0,0.0
MOD shall ~ MOD should,-0.0,0.0
IMPV ~ MOD must,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
MOD let ~ TO INF,-0.0,0.0
FUT ~ FUT PERF,-0.0,0.0
FUT ~ MOD can,-0.0,0.0
MOD should ~ TO INF,-0.0,0.0
FUT ~ FUT going-to,-0.0,0.0
MOD can ~ PRES,-0.0,0.0
PAST ~ PAST PERF,-4.38,4.38
HAB used to ~ PAST,-4.38,4.38
IMPV ~ MOD would,-2.45,2.45
MOD could ~ MOD may,-0.0,0.0
IMPV ~ MOD may,-0.0,0.0
MOD VB ~ PRES,-0.0,0.0
MOD can ~ MOD let,-0.0,0.0
FUT ~ MOD must,-0.0,0.0
HAB used to ~ MOD would,-2.91,2.91
IMPV ~ MOD is to,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0
MOD may ~ MOD should,-0.0,0.0
MOD was to ~ PAST,-2.91,2.91
PRES ~ PRES PROG,-0.0,0.0
MOD may ~ PRES PART,-0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0
MOD is to ~ TO INF,-0.0,0.0
MOD lest ~ MOD might,-0.0,0.0
MOD lest ~ MOD must,-0.0,0.0
MOD lest ~ PRES PART,-0.0,0.0
MOD must ~ PRES PART,-0.0,0.0
MOD let ~ MOD must,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
MOD that be ~ TO INF,-0.0,0.0
FUT ~ MOD that be,-0.0,0.0
FUT ~ MOD should,-0.0,0.0
MOD should ~ MOD would,-0.0,0.0
FUT ~ MOD is to,-0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0
MOD would ~ TO INF,-0.0,0.0
PAST PERF ~ PRES PART,-1.46,1.46
FUT ~ MOD VB,-0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0
FUT ~ FUT PROG,-0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0
MOD can ~ TO INF,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
MOD might ~ MOD would,-0.0,0.0
MOD could ~ MOD would,-0.0,0.0
MOD let ~ PRES PART,-0.0,0.0
HAB used to ~ PRES PART,-1.46,1.46
IMPV ~ MOD VB,-0.0,0.0
MOD let ~ MOD would,-0.0,0.0
MOD let ~ MOD should,-0.0,0.0
MOD let ~ MOD might,-0.0,0.0
MOD lest ~ PRES,-0.0,0.0
MOD is to ~ PRES PART,-0.0,0.0
MOD is to ~ MOD may,-0.0,0.0
MOD VB ~ MOD can,-0.0,0.0
MOD is to ~ MOD lest,-0.0,0.0
MOD could ~ TO INF,-0.0,0.0
PRES ~ VB,-0.0,0.0
