,Q,N
FUT ~ MOD shall,inf,0.0
IMPV ~ MOD shall,inf,0.0
MOD is to ~ MOD shall,inf,0.0
MOD must ~ MOD shall,inf,0.0
FUT ~ PRES,3.74,0.27
PAST ~ PRES,0.01,122.97
MOD shall ~ PRES,inf,0.0
FUT ~ MOD may,inf,0.0
MOD shall ~ TO INF,inf,0.0
PRES ~ PRES PERF,inf,0.0
PRES ~ PRES PART,0.18,5.43
FUT ~ MOD lest,inf,0.0
MOD may ~ TO INF,inf,0.0
MOD may ~ PRES,inf,0.0
FUT ~ IMPV,inf,0.0
PRES ~ TO INF,inf,0.0
MOD would ~ PAST,0.02,56.94
MOD may ~ MOD shall,inf,0.0
PAST ~ PRES PART,0.01,68.36
FUT ~ TO INF,inf,0.0
MOD shall ~ PRES PART,inf,0.0
IMPV ~ PRES,inf,0.0
IMPV ~ MOD let,inf,0.0
PAST ~ PRES PERF,inf,0.0
IMPV ~ TO INF,inf,0.0
FUT ~ PRES PART,inf,0.0
FUT ~ MOD let,inf,0.0
FUT ~ MOD would,inf,0.0
MOD can ~ MOD may,inf,0.0
MOD let ~ MOD shall,inf,0.0
MOD can ~ MOD shall,inf,0.0
MOD let ~ MOD may,0.11,9.35
MOD is to ~ MOD let,inf,0.0
MOD shall ~ PAST,inf,0.0
MOD lest ~ TO INF,inf,0.0
MOD is to ~ PRES,inf,0.0
FUT ~ PAST,inf,0.0
MOD lest ~ MOD may,inf,0.0
PAST ~ TO INF,0.04,28.39
PAST ~ PAST PROG,0.02,57.43
FUT ~ PRES PERF,inf,0.0
MOD would ~ PRES,inf,0.0
MOD shall ~ MOD would,inf,0.0
MOD is to ~ PAST,inf,0.0
IMPV ~ PAST,inf,0.0
MOD shall ~ PRES PERF,inf,0.0
IMPV ~ MOD lest,inf,0.0
MOD may ~ MOD must,inf,0.0
MOD shall ~ MOD should,inf,0.0
IMPV ~ MOD must,inf,0.0
MOD should ~ PRES,inf,0.0
MOD let ~ TO INF,inf,0.0
FUT ~ FUT PERF,inf,0.0
FUT ~ MOD can,inf,0.0
MOD should ~ TO INF,inf,0.0
FUT ~ FUT going-to,inf,0.0
MOD can ~ PRES,inf,0.0
PAST ~ PAST PERF,0.0,inf
HAB used to ~ PAST,0.0,inf
IMPV ~ MOD would,0.02,56.22
MOD could ~ MOD may,inf,0.0
IMPV ~ MOD may,inf,0.0
MOD VB ~ PRES,inf,0.0
MOD can ~ MOD let,inf,0.0
FUT ~ MOD must,inf,0.0
HAB used to ~ MOD would,0.0,inf
IMPV ~ MOD is to,inf,0.0
IMPV ~ PRES PART,inf,0.0
FUT going-to ~ MOD shall,inf,0.0
MOD may ~ MOD should,inf,0.0
MOD was to ~ PAST,0.0,inf
PRES ~ PRES PROG,inf,0.0
MOD may ~ PRES PART,inf,0.0
PRES PART ~ PRES PERF,inf,0.0
MOD is to ~ TO INF,inf,0.0
MOD lest ~ MOD might,inf,0.0
MOD lest ~ MOD must,inf,0.0
MOD lest ~ PRES PART,inf,0.0
MOD must ~ PRES PART,inf,0.0
MOD let ~ MOD must,inf,0.0
MOD let ~ PRES,inf,0.0
MOD that be ~ TO INF,inf,0.0
FUT ~ MOD that be,inf,0.0
FUT ~ MOD should,inf,0.0
MOD should ~ MOD would,inf,0.0
FUT ~ MOD is to,inf,0.0
MOD would ~ PRES PROG,inf,0.0
MOD would ~ TO INF,inf,0.0
PAST PERF ~ PRES PART,0.0,inf
FUT ~ MOD VB,inf,0.0
PRES PERF ~ TO INF,inf,0.0
FUT ~ FUT PROG,inf,0.0
MOD quest must ~ MOD shall,inf,0.0
MOD can ~ TO INF,inf,0.0
MOD must ~ PRES,inf,0.0
MOD might ~ MOD would,inf,0.0
MOD could ~ MOD would,inf,0.0
MOD let ~ PRES PART,inf,0.0
HAB used to ~ PRES PART,0.0,inf
IMPV ~ MOD VB,inf,0.0
MOD let ~ MOD would,inf,0.0
MOD let ~ MOD should,inf,0.0
MOD let ~ MOD might,inf,0.0
MOD lest ~ PRES,inf,0.0
MOD is to ~ PRES PART,inf,0.0
MOD is to ~ MOD may,inf,0.0
MOD VB ~ MOD can,inf,0.0
MOD is to ~ MOD lest,inf,0.0
MOD could ~ TO INF,inf,0.0
PRES ~ VB,inf,0.0
