eng_TAMsimp,Q,N
FUT ~ MOD shall,1.0,inf
IMPV ~ MOD shall,1.0,inf
MOD is to ~ MOD shall,1.0,inf
MOD must ~ MOD shall,1.0,inf
FUT ~ PRES,1.01,101.0
PAST ~ PRES,3.37,1.42
MOD shall ~ PRES,1.0,inf
FUT ~ MOD may,1.0,inf
MOD shall ~ TO INF,1.0,inf
PRES ~ PRES PERF,1.0,inf
PRES ~ PRES PART,1.19,6.25
FUT ~ MOD lest,1.0,inf
MOD may ~ TO INF,1.0,inf
MOD may ~ PRES,1.0,inf
FUT ~ IMPV,1.0,inf
PRES ~ TO INF,1.0,inf
MOD would ~ PAST,2.83,1.55
MOD may ~ MOD shall,1.0,inf
PAST ~ PRES PART,3.2,1.45
FUT ~ TO INF,1.0,inf
MOD shall ~ PRES PART,1.0,inf
IMPV ~ PRES,1.0,inf
IMPV ~ MOD let,1.0,inf
PAST ~ PRES PERF,1.0,inf
IMPV ~ TO INF,1.0,inf
FUT ~ PRES PART,1.0,inf
FUT ~ MOD let,1.0,inf
FUT ~ MOD would,1.0,inf
MOD can ~ MOD may,1.0,inf
MOD let ~ MOD shall,1.0,inf
MOD can ~ MOD shall,1.0,inf
MOD let ~ MOD may,1.33,4.0
MOD is to ~ MOD let,1.0,inf
MOD shall ~ PAST,1.0,inf
MOD lest ~ TO INF,1.0,inf
MOD is to ~ PRES,1.0,inf
FUT ~ PAST,1.0,inf
MOD lest ~ MOD may,1.0,inf
PAST ~ TO INF,2.0,2.0
PAST ~ PAST PROG,3.0,1.5
FUT ~ PRES PERF,1.0,inf
MOD would ~ PRES,1.0,inf
MOD shall ~ MOD would,1.0,inf
MOD is to ~ PAST,1.0,inf
IMPV ~ PAST,1.0,inf
MOD shall ~ PRES PERF,1.0,inf
IMPV ~ MOD lest,1.0,inf
MOD may ~ MOD must,1.0,inf
MOD shall ~ MOD should,1.0,inf
IMPV ~ MOD must,1.0,inf
MOD should ~ PRES,1.0,inf
MOD let ~ TO INF,1.0,inf
FUT ~ FUT PERF,1.0,inf
FUT ~ MOD can,1.0,inf
MOD should ~ TO INF,1.0,inf
FUT ~ FUT going-to,1.0,inf
MOD can ~ PRES,1.0,inf
PAST ~ PAST PERF,inf,1.0
HAB used to ~ PAST,inf,1.0
IMPV ~ MOD would,3.0,1.5
MOD could ~ MOD may,1.0,inf
IMPV ~ MOD may,1.0,inf
MOD VB ~ PRES,1.0,inf
MOD can ~ MOD let,1.0,inf
FUT ~ MOD must,1.0,inf
HAB used to ~ MOD would,inf,1.0
IMPV ~ MOD is to,1.0,inf
IMPV ~ PRES PART,1.0,inf
FUT going-to ~ MOD shall,1.0,inf
MOD may ~ MOD should,1.0,inf
MOD was to ~ PAST,inf,1.0
PRES ~ PRES PROG,1.0,inf
MOD may ~ PRES PART,1.0,inf
PRES PART ~ PRES PERF,1.0,inf
MOD is to ~ TO INF,1.0,inf
MOD lest ~ MOD might,1.0,inf
MOD lest ~ MOD must,1.0,inf
MOD lest ~ PRES PART,1.0,inf
MOD must ~ PRES PART,1.0,inf
MOD let ~ MOD must,1.0,inf
MOD let ~ PRES,1.0,inf
MOD that be ~ TO INF,1.0,inf
FUT ~ MOD that be,1.0,inf
FUT ~ MOD should,1.0,inf
MOD should ~ MOD would,1.0,inf
FUT ~ MOD is to,1.0,inf
MOD would ~ PRES PROG,1.0,inf
MOD would ~ TO INF,1.0,inf
PAST PERF ~ PRES PART,inf,1.0
FUT ~ MOD VB,1.0,inf
PRES PERF ~ TO INF,1.0,inf
FUT ~ FUT PROG,1.0,inf
MOD quest must ~ MOD shall,1.0,inf
MOD can ~ TO INF,1.0,inf
MOD must ~ PRES,1.0,inf
MOD might ~ MOD would,1.0,inf
MOD could ~ MOD would,1.0,inf
MOD let ~ PRES PART,1.0,inf
HAB used to ~ PRES PART,inf,1.0
IMPV ~ MOD VB,1.0,inf
MOD let ~ MOD would,1.0,inf
MOD let ~ MOD should,1.0,inf
MOD let ~ MOD might,1.0,inf
MOD lest ~ PRES,1.0,inf
MOD is to ~ PRES PART,1.0,inf
MOD is to ~ MOD may,1.0,inf
MOD VB ~ MOD can,1.0,inf
MOD is to ~ MOD lest,1.0,inf
MOD could ~ TO INF,1.0,inf
PRES ~ VB,1.0,inf
