eng_TAMsimp,Q,N
FUT ~ MOD shall,0.0,inf
IMPV ~ MOD shall,0.0,inf
MOD is to ~ MOD shall,0.0,inf
MOD must ~ MOD shall,0.0,inf
FUT ~ PRES,0.01,100.0
PAST ~ PRES,2.37,0.42
MOD shall ~ PRES,0.0,inf
FUT ~ MOD may,0.0,inf
MOD shall ~ TO INF,0.0,inf
PRES ~ PRES PERF,0.0,inf
PRES ~ PRES PART,0.19,5.25
FUT ~ MOD lest,0.0,inf
MOD may ~ TO INF,0.0,inf
MOD may ~ PRES,0.0,inf
FUT ~ IMPV,0.0,inf
PRES ~ TO INF,0.0,inf
MOD would ~ PAST,1.83,0.55
MOD may ~ MOD shall,0.0,inf
PAST ~ PRES PART,2.2,0.45
FUT ~ TO INF,0.0,inf
MOD shall ~ PRES PART,0.0,inf
IMPV ~ PRES,0.0,inf
IMPV ~ MOD let,0.0,inf
PAST ~ PRES PERF,0.0,inf
IMPV ~ TO INF,0.0,inf
FUT ~ PRES PART,0.0,inf
FUT ~ MOD let,0.0,inf
FUT ~ MOD would,0.0,inf
MOD can ~ MOD may,0.0,inf
MOD let ~ MOD shall,0.0,inf
MOD can ~ MOD shall,0.0,inf
MOD let ~ MOD may,0.33,3.0
MOD is to ~ MOD let,0.0,inf
MOD shall ~ PAST,0.0,inf
MOD lest ~ TO INF,0.0,inf
MOD is to ~ PRES,0.0,inf
FUT ~ PAST,0.0,inf
MOD lest ~ MOD may,0.0,inf
PAST ~ TO INF,1.0,1.0
PAST ~ PAST PROG,2.0,0.5
FUT ~ PRES PERF,0.0,inf
MOD would ~ PRES,0.0,inf
MOD shall ~ MOD would,0.0,inf
MOD is to ~ PAST,0.0,inf
IMPV ~ PAST,0.0,inf
MOD shall ~ PRES PERF,0.0,inf
IMPV ~ MOD lest,0.0,inf
MOD may ~ MOD must,0.0,inf
MOD shall ~ MOD should,0.0,inf
IMPV ~ MOD must,0.0,inf
MOD should ~ PRES,0.0,inf
MOD let ~ TO INF,0.0,inf
FUT ~ FUT PERF,0.0,inf
FUT ~ MOD can,0.0,inf
MOD should ~ TO INF,0.0,inf
FUT ~ FUT going-to,0.0,inf
MOD can ~ PRES,0.0,inf
PAST ~ PAST PERF,inf,0.0
HAB used to ~ PAST,inf,0.0
IMPV ~ MOD would,2.0,0.5
MOD could ~ MOD may,0.0,inf
IMPV ~ MOD may,0.0,inf
MOD VB ~ PRES,0.0,inf
MOD can ~ MOD let,0.0,inf
FUT ~ MOD must,0.0,inf
HAB used to ~ MOD would,inf,0.0
IMPV ~ MOD is to,0.0,inf
IMPV ~ PRES PART,0.0,inf
FUT going-to ~ MOD shall,0.0,inf
MOD may ~ MOD should,0.0,inf
MOD was to ~ PAST,inf,0.0
PRES ~ PRES PROG,0.0,inf
MOD may ~ PRES PART,0.0,inf
PRES PART ~ PRES PERF,0.0,inf
MOD is to ~ TO INF,0.0,inf
MOD lest ~ MOD might,0.0,inf
MOD lest ~ MOD must,0.0,inf
MOD lest ~ PRES PART,0.0,inf
MOD must ~ PRES PART,0.0,inf
MOD let ~ MOD must,0.0,inf
MOD let ~ PRES,0.0,inf
MOD that be ~ TO INF,0.0,inf
FUT ~ MOD that be,0.0,inf
FUT ~ MOD should,0.0,inf
MOD should ~ MOD would,0.0,inf
FUT ~ MOD is to,0.0,inf
MOD would ~ PRES PROG,0.0,inf
MOD would ~ TO INF,0.0,inf
PAST PERF ~ PRES PART,inf,0.0
FUT ~ MOD VB,0.0,inf
PRES PERF ~ TO INF,0.0,inf
FUT ~ FUT PROG,0.0,inf
MOD quest must ~ MOD shall,0.0,inf
MOD can ~ TO INF,0.0,inf
MOD must ~ PRES,0.0,inf
MOD might ~ MOD would,0.0,inf
MOD could ~ MOD would,0.0,inf
MOD let ~ PRES PART,0.0,inf
HAB used to ~ PRES PART,inf,0.0
IMPV ~ MOD VB,0.0,inf
MOD let ~ MOD would,0.0,inf
MOD let ~ MOD should,0.0,inf
MOD let ~ MOD might,0.0,inf
MOD lest ~ PRES,0.0,inf
MOD is to ~ PRES PART,0.0,inf
MOD is to ~ MOD may,0.0,inf
MOD VB ~ MOD can,0.0,inf
MOD is to ~ MOD lest,0.0,inf
MOD could ~ TO INF,0.0,inf
PRES ~ VB,0.0,inf
